trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
342,CAD_CHF,2021-07-07 08:00:00,2021-07-07 12:00:00,2021-07-08 08:00:00,stoploss,6,0,-1.023622873,0.565705639,-3.012537941,1.5,1.9,2
350,EUR_JPY,2021-07-09 00:00:00,2021-07-09 04:00:00,2021-07-13 12:00:00,trail_stop,15,1,0.6833325919,1.57394939,-0.2732440058,1,1,2
363,EUR_GBP,2021-07-15 20:00:00,2021-07-16 00:00:00,2021-07-21 12:00:00,trail_stop,22,1,2.42349005,3.436413833,-0.397014911,0.8,0.8,2
399,USD_CHF,2021-08-10 08:00:00,2021-08-10 12:00:00,2021-08-13 16:00:00,stoploss,20,0,-1.011502213,0.8166571079,-1.514458017,0.9,0.9,2
408,NZD_JPY,2021-08-20 16:00:00,2021-08-20 20:00:00,2021-09-08 08:00:00,trail_stop,76,1,4.100702556,5.017968162,-0.4891464763,1,1,2
409,NZD_USD,2021-08-20 16:00:00,2021-08-20 20:00:00,2021-09-07 08:00:00,trail_stop,70,1,4.798364398,5.770818322,-0.2986249169,1.1,1.1,2
415,GBP_JPY,2021-08-23 00:00:00,2021-08-23 04:00:00,2021-08-24 16:00:00,trail_stop,10,1,0.2071005878,1.315867231,-0.1133562357,2.4,2.4,2
417,NZD_CAD,2021-08-24 04:00:00,2021-08-24 08:00:00,2021-08-31 00:00:00,trail_stop,29,1,1.050309755,2.449693009,-0.1208154891,2.8,2.9,2
439,CAD_JPY,2021-09-17 04:00:00,2021-09-17 08:00:00,2021-09-17 16:00:00,stoploss,3,0,-1.011353031,0.5600828516,-1.114489188,1.2,1.2,2
442,CAD_CHF,2021-09-22 16:00:00,2021-09-22 20:00:00,2021-09-24 12:00:00,trail_stop,11,1,0.2294194664,1.104896693,-0.243983497,1.8,2,2
444,GBP_JPY,2021-09-22 16:00:00,2021-09-22 20:00:00,2021-09-28 12:00:00,trail_stop,23,1,2.260806918,3.166874663,-0.3251411359,2.4,2.4,2
446,USD_CHF,2021-09-24 04:00:00,2021-09-24 08:00:00,2021-09-30 20:00:00,trail_stop,28,1,1.449795822,2.629215699,-0.6424480152,0.9,0.9,2
452,USD_JPY,2021-10-05 04:00:00,2021-10-05 08:00:00,2021-10-06 12:00:00,trail_stop,8,1,0.3569076539,1.171788564,-0.231998407,0.6,0.6,2
460,NZD_CAD,2021-10-15 04:00:00,2021-10-15 08:00:00,2021-10-21 16:00:00,trail_stop,27,1,2.251522629,3.128941241,-0.3793817304,3,3.3,2
463,GBP_AUD,2021-10-18 08:00:00,2021-10-18 12:00:00,2021-10-19 04:00:00,stoploss,5,0,-1.020693119,0.4376594627,-1.023274725,4,4,2
496,GBP_NZD,2021-11-12 00:00:00,2021-11-12 04:00:00,2021-11-15 08:00:00,stoploss,8,0,-1.02167288,0.1273281675,-1.016819266,4.8,4.8,2
497,AUD_CAD,2021-11-12 08:00:00,2021-11-12 12:00:00,2021-11-17 08:00:00,stoploss,18,0,-1.019769239,0.9208303571,-1.018636067,1.9,1.9,2
507,EUR_JPY,2021-11-17 00:00:00,2021-11-17 04:00:00,2021-11-17 16:00:00,stoploss,4,0,-1.012018194,0.04635589303,-1.557214629,1.4,1.4,2
511,CAD_CHF,2021-11-22 00:00:00,2021-11-22 04:00:00,2021-11-23 08:00:00,stoploss,8,0,-1.01797666,0.238490355,-1.070210488,1.5,1.5,2
526,CAD_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 04:00:00,stoploss,1,0,-1.006957184,0.05681700012,-1.047056145,1.2,1.2,2
528,GBP_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 16:00:00,stoploss,4,0,-1.010282168,0.01713694656,-1.566316916,2.4,2.4,2
529,NZD_CHF,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 08:00:00,stoploss,2,0,-1.015799559,0.0399635898,-1.103180956,1.7,1.7,2
530,NZD_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 04:00:00,stoploss,1,0,-1.006635544,0.03583193715,-1.15591175,1,1,2
601,NZD_CHF,2022-02-07 20:00:00,2022-02-08 00:00:00,2022-02-11 00:00:00,trail_stop,19,1,0.9385730652,2.234804554,-0.2177626647,1.7,1.7,2
605,GBP_JPY,2022-02-14 16:00:00,2022-02-14 20:00:00,2022-02-24 04:00:00,stoploss,45,0,-1.008676729,0.7106240854,-1.742287135,2,2,2
609,NZD_USD,2022-02-15 16:00:00,2022-02-15 20:00:00,2022-02-22 00:00:00,trail_stop,26,1,0.8061004793,1.728714274,-0.06612568262,1.1,1.1,2
616,CAD_JPY,2022-02-23 04:00:00,2022-02-23 08:00:00,2022-02-24 04:00:00,stoploss,6,0,-1.01010047,0.834972146,-1.240674338,1.2,1.2,2
620,AUD_NZD,2022-02-28 00:00:00,2022-02-28 04:00:00,2022-03-08 08:00:00,stoploss,38,0,-1.020968766,0.9935201085,-1.564669357,2.1,2.1,2
623,EUR_JPY,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-01 16:00:00,stoploss,8,0,-1.003857961,0.4776156071,-1.377292179,1,1,2
624,EUR_USD,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-02 08:00:00,stoploss,12,0,-1.003639467,0.7086563002,-1.24209824,0.7,0.7,2
626,GBP_USD,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-02 08:00:00,stoploss,12,0,-1.004812359,0.6539461322,-1.120210259,0.9,0.9,2
634,CHF_JPY,2022-03-09 00:00:00,2022-03-09 04:00:00,2022-03-15 08:00:00,trail_stop,26,1,1.348821579,2.266573639,-0.1779964609,2.2,2.2,2
642,AUD_NZD,2022-03-10 04:00:00,2022-03-10 08:00:00,2022-03-14 12:00:00,stoploss,14,0,-1.022302415,0.347280457,-1.334958821,2.1,2.1,2
656,NZD_JPY,2022-03-30 12:00:00,2022-03-30 16:00:00,2022-04-07 08:00:00,trail_stop,35,1,0.1339657716,1.142460077,-0.6686951043,1,1,2
659,NZD_CAD,2022-03-31 00:00:00,2022-03-31 04:00:00,2022-03-31 16:00:00,stoploss,4,0,-1.020159387,0.1253387948,-1.09123636,2.3,2.3,2
696,EUR_CHF,2022-05-02 16:00:00,2022-05-02 20:00:00,2022-05-04 20:00:00,trail_stop,13,1,0.6832732038,1.505920631,-0.3481022565,1,1,3
699,AUD_USD,2022-05-06 00:00:00,2022-05-06 04:00:00,2022-05-09 00:00:00,stoploss,6,0,-1.005440192,0.1229483292,-1.207722526,1,1,3
707,AUD_CAD,2022-05-11 04:00:00,2022-05-11 08:00:00,2022-05-12 04:00:00,stoploss,6,0,-1.012821875,0.8185754896,-1.182986672,1.9,1.9,3
714,CAD_CHF,2022-05-11 16:00:00,2022-05-11 20:00:00,2022-05-17 12:00:00,trail_stop,23,1,2.167506559,2.991969365,-0.2987483654,1.5,1.5,3
716,EUR_JPY,2022-05-13 16:00:00,2022-05-13 20:00:00,2022-05-18 16:00:00,trail_stop,18,1,0.5575346286,1.367550401,-0.6197134212,1,1,3
725,GBP_USD,2022-05-17 20:00:00,2022-05-18 00:00:00,2022-05-18 08:00:00,stoploss,3,0,-1.003788464,0.09376448429,-1.130856507,0.8,0.8,3
728,CAD_CHF,2022-05-23 00:00:00,2022-05-23 04:00:00,2022-05-23 12:00:00,stoploss,3,0,-1.010894157,0.02977736194,-1.078521524,1.5,1.5,3
