entry_feature,path_feature,pearson_r,abs_r,above_0_85
d1_bars_since_swing_low,local_peaks_count,-0.3284538294,0.3284538294,0
d1_bars_since_swing_low,time_to_peak_mfe_relative,-0.2057292968,0.2057292968,0
d1_bars_since_swing_low,pullback_magnitude_median,-0.1986199369,0.1986199369,0
d1_bars_since_swing_low,monotonicity_ratio_in_profit,-0.1893958734,0.1893958734,0
d1_bars_since_swing_high,pullback_magnitude_median,0.1053322658,0.1053322658,0
d1_bars_since_swing_high,monotonicity_ratio_in_profit,0.09636258417,0.09636258417,0
d1_bars_since_swing_high,local_peaks_count,0.08791324261,0.08791324261,0
d1_bars_since_swing_high,time_to_peak_mfe_relative,0.08214807784,0.08214807784,0
d1_ret_5d_atr,local_peaks_count,-0.08167469921,0.08167469921,0
d1_atr_ratio_to_4h,local_peaks_count,-0.07906419796,0.07906419796,0
hour_sin,local_peaks_count,-0.07375987749,0.07375987749,0
d1_rsi_14,local_peaks_count,-0.07338983944,0.07338983944,0
d1_atr_ratio_to_4h,time_to_peak_mfe_relative,-0.0712440103,0.0712440103,0
hour_sin,time_to_peak_mfe_relative,-0.06372711502,0.06372711502,0
inside_bar_range_atr,monotonicity_ratio_in_profit,0.0583600888,0.0583600888,0
d1_pos_in_20d_range,local_peaks_count,-0.05830740826,0.05830740826,0
d1_close_above_kijun,local_peaks_count,-0.05733861243,0.05733861243,0
d1_ret_5d_atr,time_to_peak_mfe_relative,-0.05364110334,0.05364110334,0
d1_atr_ratio_to_4h,monotonicity_ratio_in_profit,-0.05357391772,0.05357391772,0
hour_cos,monotonicity_ratio_in_profit,-0.04737025938,0.04737025938,0
ret_20bar_atr,local_peaks_count,-0.04646710128,0.04646710128,0
most_recent_sl_lag,time_to_peak_mfe_relative,-0.04531651751,0.04531651751,0
session_london,local_peaks_count,-0.04456672807,0.04456672807,0
most_recent_sl_lag,monotonicity_ratio_in_profit,-0.0426982199,0.0426982199,0
range_to_atr_14,monotonicity_ratio_in_profit,0.0402750986,0.0402750986,0
ib_range_ratio,monotonicity_ratio_in_profit,0.04013410565,0.04013410565,0
rsi_14,time_to_peak_mfe_relative,-0.03921160352,0.03921160352,0
d1_rsi_14,time_to_peak_mfe_relative,-0.03876540123,0.03876540123,0
most_recent_sl_lag,pullback_magnitude_median,-0.03832270589,0.03832270589,0
rsi_14,local_peaks_count,-0.03822003383,0.03822003383,0
break_close_above_high_atr,monotonicity_ratio_in_profit,0.03729458621,0.03729458621,0
pos_in_20bar_range,time_to_peak_mfe_relative,-0.03720161462,0.03720161462,0
pos_in_20bar_range,pullback_magnitude_median,-0.03713267931,0.03713267931,0
upper_wick_ratio,pullback_magnitude_median,0.03685220108,0.03685220108,0
hour_sin,monotonicity_ratio_in_profit,-0.03675732047,0.03675732047,0
d1_rsi_14,monotonicity_ratio_in_profit,-0.03485394679,0.03485394679,0
most_recent_sl_lag,local_peaks_count,-0.03350586318,0.03350586318,0
session_london,pullback_magnitude_median,0.03257456152,0.03257456152,0
d1_ret_5d_atr,monotonicity_ratio_in_profit,-0.03236380809,0.03236380809,0
session_london,time_to_peak_mfe_relative,-0.03173293114,0.03173293114,0
mother_bar_range_atr,local_peaks_count,0.03037655828,0.03037655828,0
pos_in_20bar_range,local_peaks_count,-0.02990221256,0.02990221256,0
d1_close_above_kijun,time_to_peak_mfe_relative,-0.02975287981,0.02975287981,0
break_bar_body_atr,local_peaks_count,0.02962403979,0.02962403979,0
ret_20bar_atr,monotonicity_ratio_in_profit,-0.02915253573,0.02915253573,0
d1_pos_in_20d_range,monotonicity_ratio_in_profit,-0.0286213337,0.0286213337,0
d1_pos_in_20d_range,time_to_peak_mfe_relative,-0.02770926237,0.02770926237,0
break_bar_body_atr,monotonicity_ratio_in_profit,0.02735239952,0.02735239952,0
rsi_14,pullback_magnitude_median,-0.02733496469,0.02733496469,0
inside_bar_range_atr,pullback_magnitude_median,-0.02695677443,0.02695677443,0
ret_20bar_atr,time_to_peak_mfe_relative,-0.02660635912,0.02660635912,0
hour_cos,pullback_magnitude_median,-0.02472597027,0.02472597027,0
body_to_range_ratio,local_peaks_count,0.0221343139,0.0221343139,0
rsi_14,monotonicity_ratio_in_profit,-0.02191760017,0.02191760017,0
ret_5bar_atr,pullback_magnitude_median,-0.02132102849,0.02132102849,0
body_to_range_ratio,pullback_magnitude_median,-0.02079666558,0.02079666558,0
session_london,monotonicity_ratio_in_profit,0.02034374234,0.02034374234,0
inside_bar_range_atr,local_peaks_count,0.01959683992,0.01959683992,0
d1_close_above_kijun,monotonicity_ratio_in_profit,-0.01905676692,0.01905676692,0
lower_wick_ratio,local_peaks_count,-0.01873750284,0.01873750284,0
swing_low_dist_atr,monotonicity_ratio_in_profit,-0.0187156051,0.0187156051,0
session_ny_overlap,monotonicity_ratio_in_profit,0.01869829806,0.01869829806,0
mother_bar_range_atr,pullback_magnitude_median,-0.01800148095,0.01800148095,0
ib_range_ratio,pullback_magnitude_median,-0.01775576411,0.01775576411,0
d1_ret_5d_atr,pullback_magnitude_median,-0.01599248518,0.01599248518,0
range_to_atr_14,time_to_peak_mfe_relative,0.01577360486,0.01577360486,0
ret_20bar_atr,pullback_magnitude_median,-0.01501752658,0.01501752658,0
swing_low_dist_atr,pullback_magnitude_median,-0.01483227182,0.01483227182,0
session_ny_overlap,local_peaks_count,0.01445410036,0.01445410036,0
ib_range_ratio,time_to_peak_mfe_relative,-0.01419572327,0.01419572327,0
d1_trend_state,time_to_peak_mfe_relative,-0.01246302724,0.01246302724,0
break_bar_body_atr,time_to_peak_mfe_relative,0.01209351603,0.01209351603,0
d1_rsi_14,pullback_magnitude_median,-0.01204520837,0.01204520837,0
break_close_above_high_atr,time_to_peak_mfe_relative,-0.01164384809,0.01164384809,0
d1_pos_in_20d_range,pullback_magnitude_median,-0.01126925327,0.01126925327,0
d1_atr_ratio_to_4h,pullback_magnitude_median,-0.01116095724,0.01116095724,0
range_to_atr_14,local_peaks_count,0.01098264953,0.01098264953,0
ret_5bar_atr,time_to_peak_mfe_relative,-0.0105445264,0.0105445264,0
break_close_above_high_atr,local_peaks_count,0.01026165626,0.01026165626,0
ret_5bar_atr,monotonicity_ratio_in_profit,0.009774128741,0.009774128741,0
d1_trend_state,monotonicity_ratio_in_profit,-0.009623342705,0.009623342705,0
n_swing_lows,pullback_magnitude_median,0.009444199958,0.009444199958,0
upper_wick_ratio,local_peaks_count,-0.009289612972,0.009289612972,0
ib_range_ratio,local_peaks_count,-0.009244310228,0.009244310228,0
range_to_atr_14,pullback_magnitude_median,0.009195805047,0.009195805047,0
pos_in_20bar_range,monotonicity_ratio_in_profit,-0.008774015077,0.008774015077,0
upper_wick_ratio,monotonicity_ratio_in_profit,0.008628389817,0.008628389817,0
inside_bar_range_atr,time_to_peak_mfe_relative,-0.008278935243,0.008278935243,0
lower_wick_ratio,monotonicity_ratio_in_profit,-0.007890444494,0.007890444494,0
lower_wick_ratio,pullback_magnitude_median,-0.007837837509,0.007837837509,0
hour_cos,time_to_peak_mfe_relative,-0.007720322575,0.007720322575,0
break_close_above_high_atr,pullback_magnitude_median,-0.007431550562,0.007431550562,0
mother_bar_range_atr,monotonicity_ratio_in_profit,0.007259000182,0.007259000182,0
session_ny_overlap,pullback_magnitude_median,0.007074327878,0.007074327878,0
n_swing_lows,time_to_peak_mfe_relative,-0.006942548606,0.006942548606,0
lower_wick_ratio,time_to_peak_mfe_relative,-0.00671498889,0.00671498889,0
ret_5bar_atr,local_peaks_count,-0.00633633217,0.00633633217,0
upper_wick_ratio,time_to_peak_mfe_relative,0.004812552931,0.004812552931,0
swing_low_dist_atr,local_peaks_count,-0.004750191087,0.004750191087,0
mother_bar_range_atr,time_to_peak_mfe_relative,0.004498678168,0.004498678168,0
n_swing_lows,monotonicity_ratio_in_profit,0.004124114975,0.004124114975,0
break_bar_body_atr,pullback_magnitude_median,-0.003718628846,0.003718628846,0
hour_sin,pullback_magnitude_median,-0.003649844408,0.003649844408,0
hour_cos,local_peaks_count,-0.002714635913,0.002714635913,0
n_swing_lows,local_peaks_count,-0.002706661358,0.002706661358,0
swing_low_dist_atr,time_to_peak_mfe_relative,0.00239514899,0.00239514899,0
body_to_range_ratio,time_to_peak_mfe_relative,0.001925599166,0.001925599166,0
d1_close_above_kijun,pullback_magnitude_median,-0.001444281788,0.001444281788,0
session_ny_overlap,time_to_peak_mfe_relative,0.001389152089,0.001389152089,0
d1_trend_state,pullback_magnitude_median,0.0009371792071,0.0009371792071,0
body_to_range_ratio,monotonicity_ratio_in_profit,6.898104109e-05,6.898104109e-05,0
d1_trend_state,local_peaks_count,-2.956291078e-05,2.956291078e-05,0
