feature,importance_gain,importance_split,origin
d1_bars_since_swing_low,5796.085875,502,D1
d1_bars_since_swing_high,1960.891611,566,D1
swing_low_dist_atr,1588.973295,597,arc_specific
d1_rsi_14,1257.173425,538,D1
d1_pos_in_20d_range,1242.588799,422,D1
upper_wick_ratio,1234.894052,598,base
ret_5bar_atr,1197.226142,621,base
rsi_14,1160.874709,445,base
ret_20bar_atr,1155.089715,572,base
d1_ret_5d_atr,1140.206282,478,D1
inside_bar_range_atr,1119.501073,602,arc_specific
break_close_above_high_atr,1106.511358,535,arc_specific
body_to_range_ratio,1101.716201,557,base
d1_atr_ratio_to_4h,1039.080219,556,D1
range_to_atr_14,950.9388119,444,base
pos_in_20bar_range,892.0060671,434,base
mother_bar_range_atr,883.9204013,430,arc_specific
lower_wick_ratio,822.7156224,515,base
break_bar_body_atr,788.0130721,408,arc_specific
ib_range_ratio,772.6514512,395,arc_specific
most_recent_sl_lag,604.6013752,281,arc_specific
hour_sin,340.9621616,114,session
n_swing_lows,227.6386734,118,arc_specific
hour_cos,194.1984006,82,session
session_london,55.52031846,38,session
d1_trend_state,50.81603155,24,D1
d1_close_above_kijun,16.8640835,8,D1
session_ny_overlap,0,0,session
