fold,date,n_trades,equity_start_of_day,intraday_peak,intraday_trough,intraday_running_peak_to_trough_dd_pct,day_start_to_low_dd_pct,day_dd_pct,net_day_pnl_dollars,trade_ids_in_day
2,2021-10-27,1,12835.2797,12835.2797,12702.76477,1.032427306,1.032427306,1.032427306,-132.5149325,471
2,2021-07-08,1,10000,10000,9897.637713,1.023622873,1.023622873,1.023622873,-102.3622873,342
2,2021-11-08,1,12776.99046,12776.99046,12646.76615,1.019209583,1.019209583,1.019209583,-130.2243112,490
2,2021-12-14,1,13220.91123,13220.91123,13086.28908,1.018251679,1.018251679,1.018251679,-134.6221506,544
2,2022-03-23,1,16137.64989,16137.64989,15973.36052,1.018050139,1.018050139,1.018050139,-164.2893671,651
2,2021-12-06,1,13077.19198,13077.19198,12944.34802,1.015844683,1.015844683,1.015844683,-132.8439595,533
2,2021-08-10,1,10411.9363,10411.9363,10306.83428,1.009437763,1.009437763,1.009437763,-105.1020169,374
2,2022-02-24,1,15280.27779,15280.27779,15126.14918,1.008676729,1.008676729,1.008676729,-154.1286062,605
2,2022-03-18,1,16301.76441,16301.76441,16137.64989,1.006728584,1.006728584,1.006728584,-164.114522,644
2,2022-03-02,1,15126.14918,15126.14918,14974.33718,1.003639467,1.003639467,1.003639467,-151.812003,624
2,2022-02-04,2,14599.70654,14706.18397,14599.70654,0.01577102957,0,0.01577102957,104.158111,"589,590"
2,2021-08-24,1,10714.08829,10736.27723,10714.08829,0,0,0,22.18893983,415
2,2021-08-17,1,10465.67298,10714.08829,10465.67298,0,0,0,248.4153076,402
2,2021-08-13,1,10306.83428,10465.67298,10306.83428,0,0,0,158.8386998,391
2,2021-07-29,1,10226.68407,10411.9363,10226.68407,0,0,0,185.2522272,375
2,2021-07-21,1,9984.705723,10226.68407,9984.705723,0,0,0,241.9783497,363
2,2021-07-15,1,9965.271497,9984.705723,9965.271497,0,0,0,19.43422582,351
2,2021-07-13,1,9897.637713,9965.271497,9897.637713,0,0,0,67.63378432,350
2,2021-08-26,1,10736.27723,10928.18979,10736.27723,0,0,0,191.9125583,412
2,2021-10-21,1,12552.65386,12835.2797,12552.65386,0,0,0,282.6258422,460
2,2021-09-28,1,12231.48163,12508.01181,12231.48163,0,0,0,276.5301828,444
