cluster_id,X,n,size_fraction,mono_pre_peak_centroid,frac_reach_1R,frac_reach_2R,frac_wrong_way_pre_peak,fwd_mfe_p5,fwd_mfe_p25,fwd_mfe_p50,fwd_mfe_p75,fwd_mfe_p95,fwd_mfe_p50_atr,final_r_p5,final_r_p25,final_r_p50,final_r_p75,final_r_p95,final_r_mean,final_r_t_stat,mass_gt_5R,composite,floor_mono_pp_pass,floor_reach_1R_pass,floor_wrong_way_pp_pass,floor_fwd_mfe_p50_pass,floor_size_fraction_pass,all_floors_pass
0,0.5,365,0.1695308871,0.3240674585,0.4767123288,0.4,0.4109589041,-1.474076827,-0.3882568077,0.8489470404,11.3061306,37.29454864,0.4244735202,-1,-1,-1,-1,29.91318753,3.93623009,5.999494427,0.301369863,-0.5601791168,0,0,0,0,1,0
0,1,365,0.1695308871,0.4591186577,0.6794520548,0.6164383562,0.07945205479,-0.481962138,0.4793454418,7.133812904,12.80947176,22.63509196,7.133812904,-1,-1,-1,9.178689468,18.05522558,4.464842612,11.12025308,0.5561643836,0.1091186577,0,0,1,1,1,0
0,1.5,365,0.1695308871,0.5304698785,0.8465753425,0.8191780822,0.01917808219,0.05940797611,3.7687102,7.236898241,10.13428813,15.92628487,10.85534736,-1,-1,3.935288341,7.903097763,13.06304843,4.421972187,15.80393115,0.698630137,0.4078671388,0,1,1,1,1,0
0,2,365,0.1695308871,0.5622971688,1,0.997260274,0,2.867361338,4.691235069,6.175595278,8.605198103,12.62557922,12.35119056,-1,1.890072774,4.138267123,6.740520312,10.4024529,4.42293133,21.81184012,0.7068493151,0.6122971688,1,1,1,1,1,1
0,3,365,0.1695308871,0.5622971688,1,0.9452054795,0,1.911574226,3.127490046,4.117063519,5.736798735,8.417052816,12.35119056,-1,1.303498104,2.758844749,4.493680208,6.934968601,2.927608406,21.32975759,0.3342465753,0.6122971688,1,1,1,1,1,1
0,4,365,0.1695308871,0.5622971688,0.997260274,0.8575342466,0,1.433680669,2.345617535,3.087797639,4.302599051,6.312789612,12.35119056,-1,0.977623578,2.069133562,3.370260156,5.201226451,2.191732045,21.14081629,0.1506849315,0.6095574428,1,1,1,1,1,1
1,0.5,781,0.3627496516,0.09319549777,0.1843790013,0.08194622279,0.5582586428,-2.849545638,-1.132155683,-0.3297375338,0.6876768116,2.787729584,-0.1648687669,-1,-1,-1,-1,-1,-1,,0.01152368758,-1.230684144,0,0,0,0,1,0
1,1,781,0.3627496516,0.119145135,0.0985915493,0.03457106274,0.23815621,-1.424772819,-0.4987100314,-0.07377674008,0.412294387,1.552416553,-0.07377674008,-1,-1,-1,-1,-1,-1,,0,-0.9704195257,0,0,1,0,1,0
1,1.5,781,0.3627496516,0.125333782,0.05633802817,0.007682458387,0.08450704225,-0.9498485459,-0.2781605475,-0.01023032243,0.2897107796,1.068750654,-0.01534548365,-1,-1,-1,-1,-1,-1,,0,-0.8528352321,0,0,1,0,1,0
1,2,781,0.3627496516,0.1263670951,0.03841229193,0,0.04865556978,-0.6715017798,-0.196441792,-0.00318744064,0.2173768103,0.801930728,-0.00637488128,-1,-1,-1,-1,-1,-1,,0,-0.8338761827,0,0,1,0,1,0
1,3,781,0.3627496516,0.2533234458,0.1574903969,0.09218950064,0.007682458387,-0.3263336243,-0.07043825487,0.1061488628,0.4767592325,3.230070741,0.3184465884,-1,-1,-1,-1,1.285070683,-0.7378723571,-19.88627788,0.01792573624,-0.5468686156,0,0,1,0,1,0
1,4,781,0.3627496516,0.3434992276,0.2407170294,0.1344430218,0.003841229193,-0.1773495327,-0.001259005268,0.1913520208,0.958111905,3.480353849,0.7654080834,-1,-1,-1,-1,2.251183665,-0.5049900859,-10.51069912,0.0166453265,-0.3696249722,0,0,1,0,1,0
2,0.5,1007,0.4677194612,0.3215491181,0.4419066534,0.3138033764,0.408142999,-1.532257365,-0.417901268,0.6605760008,2.70936522,12.12626045,0.3302880004,-1,-1,-1,-1,-1,-0.8678670463,-18.46690266,0.137040715,-0.5946872275,0,0,0,0,1,0
2,1,1007,0.4677194612,0.4929026915,0.5233366435,0.3396226415,0.1241310824,-0.6748912355,0.1824390442,1.087057415,2.752475448,7.801754301,1.087057415,-1,-1,-1,-1,-1,-0.8487144583,-25.64207965,0.1191658391,-0.05789174747,0,0,1,0,1,0
2,1.5,1007,0.4677194612,0.5893912944,0.5749751738,0.3217477656,0.02184707051,-0.1800742084,0.4687738404,1.258942561,2.535765938,5.649597222,1.888413841,-1,-1,-1,-1,-1,-0.8183598688,-28.15846679,0.07646474677,0.1925193977,1,0,1,0,1,0
2,2,1007,0.4677194612,0.6616183377,0.5660377358,0.2850049652,0.0009930486594,0.1591689278,0.5517224768,1.178724558,2.223254625,4.553341021,2.357449116,-1,-1,-1,-1,1.18944687,-0.7522617446,-25.74381013,0.03773584906,0.2766630249,1,0,1,0,1,0
2,3,1007,0.4677194612,0.6472441555,0.4895729891,0.2403177756,0,0.128916191,0.4563977101,0.9777147007,1.969397588,4.144482625,2.933144102,-1,-1,-1,-1,2.724222497,-0.4653448563,-11.28830179,0.0268123138,0.1868171446,1,0,1,0,1,0
2,4,1007,0.4677194612,0.6299198838,0.4568023833,0.1916583913,0,0.1172056666,0.4077361219,0.9223397975,1.746667292,3.582273793,3.68935919,-1,-1,-1,-0.1226828081,2.347349609,-0.3422129413,-8.352194464,0.009930486594,0.1367222672,1,0,1,0,1,0
