pair,sum,count,fold_id
AUD_CAD,671,4612,1
AUD_CHF,739,4612,1
AUD_JPY,699,4612,1
AUD_NZD,731,4612,1
AUD_USD,840,4612,1
CAD_CHF,536,4611,1
CAD_JPY,904,4612,1
CHF_JPY,568,4613,1
EUR_AUD,539,4612,1
EUR_CAD,377,4612,1
EUR_CHF,802,4612,1
EUR_GBP,814,4611,1
EUR_JPY,615,4612,1
EUR_NZD,526,4611,1
EUR_USD,975,4612,1
GBP_AUD,331,4612,1
GBP_CAD,393,4612,1
GBP_CHF,509,4612,1
GBP_JPY,586,4612,1
GBP_NZD,244,4612,1
GBP_USD,373,4612,1
NZD_CAD,478,4612,1
NZD_CHF,631,4612,1
NZD_JPY,505,4612,1
NZD_USD,597,4612,1
USD_CAD,456,4612,1
USD_CHF,479,4612,1
USD_JPY,1010,4612,1
AUD_CAD,508,4612,2
AUD_CHF,348,4612,2
AUD_JPY,1246,4612,2
AUD_NZD,339,4612,2
AUD_USD,577,4612,2
CAD_CHF,572,4612,2
CAD_JPY,951,4612,2
CHF_JPY,668,4612,2
EUR_AUD,563,4612,2
EUR_CAD,646,4611,2
EUR_CHF,787,4611,2
EUR_GBP,241,4612,2
EUR_JPY,1043,4612,2
EUR_NZD,570,4612,2
EUR_USD,392,4612,2
GBP_AUD,496,4612,2
GBP_CAD,356,4612,2
GBP_CHF,716,4612,2
GBP_JPY,1149,4612,2
GBP_NZD,367,4612,2
GBP_USD,555,4612,2
NZD_CAD,771,4612,2
NZD_CHF,481,4612,2
NZD_JPY,796,4612,2
NZD_USD,763,4612,2
USD_CAD,671,4612,2
USD_CHF,530,4612,2
USD_JPY,953,4612,2
AUD_CAD,425,4618,3
AUD_CHF,512,4615,3
AUD_JPY,1053,4619,3
AUD_NZD,593,4614,3
AUD_USD,725,4618,3
CAD_CHF,765,4617,3
CAD_JPY,927,4617,3
CHF_JPY,612,4597,3
EUR_AUD,338,4613,3
EUR_CAD,346,4618,3
EUR_CHF,770,4617,3
EUR_GBP,551,4618,3
EUR_JPY,863,4619,3
EUR_NZD,464,4594,3
EUR_USD,329,4619,3
GBP_AUD,422,4605,3
GBP_CAD,393,4603,3
GBP_CHF,433,4600,3
GBP_JPY,863,4611,3
GBP_NZD,456,4564,3
GBP_USD,526,4619,3
NZD_CAD,688,4612,3
NZD_CHF,500,4613,3
NZD_JPY,916,4618,3
NZD_USD,560,4619,3
USD_CAD,282,4619,3
USD_CHF,906,4619,3
USD_JPY,987,4619,3
AUD_CAD,722,4614,4
AUD_CHF,553,4613,4
AUD_JPY,444,4613,4
AUD_NZD,416,4610,4
AUD_USD,503,4614,4
CAD_CHF,350,4614,4
CAD_JPY,407,4614,4
CHF_JPY,382,4613,4
EUR_AUD,433,4614,4
EUR_CAD,638,4614,4
EUR_CHF,1008,4614,4
EUR_GBP,664,4614,4
EUR_JPY,816,4614,4
EUR_NZD,362,4610,4
EUR_USD,583,4614,4
GBP_AUD,445,4612,4
GBP_CAD,702,4612,4
GBP_CHF,553,4614,4
GBP_JPY,475,4614,4
GBP_NZD,400,4607,4
GBP_USD,621,4614,4
NZD_CAD,884,4600,4
NZD_CHF,622,4599,4
NZD_JPY,885,4607,4
NZD_USD,683,4614,4
USD_CAD,630,4614,4
USD_CHF,625,4614,4
USD_JPY,511,4614,4
AUD_CAD,420,4608,5
AUD_CHF,564,4610,5
AUD_JPY,629,4611,5
AUD_NZD,244,4618,5
AUD_USD,574,4612,5
CAD_CHF,732,4612,5
CAD_JPY,774,4612,5
CHF_JPY,777,4609,5
EUR_AUD,688,4612,5
EUR_CAD,311,4612,5
EUR_CHF,528,4612,5
EUR_GBP,390,4619,5
EUR_JPY,825,4612,5
EUR_NZD,458,4614,5
EUR_USD,523,4610,5
GBP_AUD,464,4608,5
GBP_CAD,299,4608,5
GBP_CHF,345,4609,5
GBP_JPY,700,4609,5
GBP_NZD,508,4608,5
GBP_USD,289,4611,5
NZD_CAD,440,4616,5
NZD_CHF,705,4616,5
NZD_JPY,738,4615,5
NZD_USD,435,4618,5
USD_CAD,588,4611,5
USD_CHF,603,4611,5
USD_JPY,538,4611,5
AUD_CAD,381,4614,6
AUD_CHF,408,4613,6
AUD_JPY,702,4612,6
AUD_NZD,192,4606,6
AUD_USD,364,4612,6
CAD_CHF,529,4611,6
CAD_JPY,491,4613,6
CHF_JPY,555,4613,6
EUR_AUD,971,4612,6
EUR_CAD,650,4613,6
EUR_CHF,555,4613,6
EUR_GBP,591,4613,6
EUR_JPY,420,4613,6
EUR_NZD,575,4594,6
EUR_USD,337,4614,6
GBP_AUD,834,4613,6
GBP_CAD,601,4614,6
GBP_CHF,610,4613,6
GBP_JPY,596,4614,6
GBP_NZD,520,4612,6
GBP_USD,624,4614,6
NZD_CAD,469,4613,6
NZD_CHF,384,4613,6
NZD_JPY,880,4614,6
NZD_USD,556,4610,6
USD_CAD,462,4611,6
USD_CHF,427,4614,6
USD_JPY,783,4613,6
AUD_CAD,535,4611,7
AUD_CHF,687,4611,7
AUD_JPY,679,4612,7
AUD_NZD,393,4612,7
AUD_USD,474,4612,7
CAD_CHF,291,4612,7
CAD_JPY,373,4612,7
CHF_JPY,336,4612,7
EUR_AUD,409,4612,7
EUR_CAD,454,4612,7
EUR_CHF,400,4612,7
EUR_GBP,343,4612,7
EUR_JPY,569,4612,7
EUR_NZD,252,4612,7
EUR_USD,460,4612,7
GBP_AUD,709,4612,7
GBP_CAD,482,4612,7
GBP_CHF,503,4612,7
GBP_JPY,533,4612,7
GBP_NZD,757,4612,7
GBP_USD,511,4612,7
NZD_CAD,296,4612,7
NZD_CHF,437,4612,7
NZD_JPY,451,4612,7
NZD_USD,489,4612,7
USD_CAD,483,4612,7
USD_CHF,524,4612,7
USD_JPY,375,4612,7
