feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
d1_ema_50_slope_at_entry,0.16108780207978043,0.16959409703693998,0.16225397091820717,0.17034872947348098,0.16420973533362226,0.16320239757485439,0.17317114230966796
atr_14,0.07016489130064353,0.07337720090389782,0.08604846097608007,0.10523084945135698,0.09475501677764211,0.09947958004967548,0.09493135826378418
atr_50,0.1113020709783852,0.11145188654745068,0.13280665068713093,0.15155889007093937,0.14213774553438852,0.14709938973008524,0.13960965179273968
atr_200,0.1558782347826794,0.17305890380841396,0.17226234594957812,0.17182109006555943,0.1820082439798624,0.1763352593095463,0.1698026843383441
d1_close_above_ema_50,0.018350083354920832,0.0174874726770199,0.02134517296916425,0.025655406663727343,0.027796405637014993,0.02712054171563184,0.023965984317896444
realised_vol_20,0.052319101119969375,0.05090503897862695,0.04748014929343889,0.040493403737477396,0.041737919283519935,0.04061492572053368,0.04361374142242723
ema_200_slope,0.12419437026343558,0.11719687223783423,0.11430675662487177,0.09790961537819387,0.10219738573289755,0.09494542580848844,0.09528743900625475
h4_ema_50_slope_at_entry,0.1254858324505785,0.11213989270363567,0.11662018207683518,0.09612283831354014,0.09614773480211508,0.09630382712234424,0.09456641996590238
atr_ratio_14_200,0.048891776740502456,0.04796357681415269,0.04100164231280614,0.041977270933361864,0.04139719006114431,0.038602334956980046,0.044890886619668446
atr_percentile_200,0.031763776626137066,0.03243509088406898,0.023975578089189046,0.025871897476916664,0.028084144144039373,0.026791271870986105,0.025788355779426675
hour_of_week,0.037644940506075496,0.03782769285268038,0.03289484911296469,0.029206455906616285,0.02967830424467075,0.030238923029610964,0.03340201632784613
ema_50_above_200,0.016711120593789732,0.012224352088837943,0.009935757841005892,0.0085305582925314,0.010505952452299728,0.01473373044565442,0.01372141829325235
atr_ratio_14_50,0.029003536813345276,0.027856000235794057,0.023511444124833997,0.022566663050346363,0.024719069744211467,0.029621770547324996,0.03024398017387503
day_of_week,0.015600411376869785,0.01452564065418606,0.013317312340757052,0.010663901832102014,0.011827488035618231,0.012091050781456307,0.014011302622808489
session_marker,0.0016020510128873042,0.0019562815764607743,0.002239726683136975,0.0020424293538499018,0.0027976642369532193,0.002819571336827615,0.0029936187661061668
