fold_id,pair,val_start,val_end,n_val,n_clean_move,clean_rate
1,AUD_CAD,2020-09-24,2021-06-18,1140,162,0.14210526315789473
1,AUD_CHF,2020-09-24,2021-06-18,1140,147,0.12894736842105264
1,AUD_JPY,2020-09-24,2021-06-18,1140,262,0.22982456140350876
1,AUD_NZD,2020-09-24,2021-06-18,1140,308,0.27017543859649124
1,AUD_USD,2020-09-24,2021-06-18,1140,286,0.25087719298245614
1,CAD_CHF,2020-09-24,2021-06-18,1140,247,0.21666666666666667
1,CAD_JPY,2020-09-24,2021-06-18,1140,219,0.19210526315789472
1,CHF_JPY,2020-09-24,2021-06-18,1140,237,0.20789473684210527
1,EUR_AUD,2020-09-24,2021-06-18,1140,154,0.13508771929824562
1,EUR_CAD,2020-09-24,2021-06-18,1140,156,0.1368421052631579
1,EUR_CHF,2020-09-24,2021-06-18,1140,281,0.24649122807017543
1,EUR_GBP,2020-09-24,2021-06-18,1140,134,0.11754385964912281
1,EUR_JPY,2020-09-24,2021-06-18,1140,277,0.24298245614035088
1,EUR_NZD,2020-09-24,2021-06-18,1140,218,0.1912280701754386
1,EUR_USD,2020-09-24,2021-06-18,1140,177,0.15526315789473685
1,GBP_AUD,2020-09-24,2021-06-18,1140,194,0.17017543859649123
1,GBP_CAD,2020-09-24,2021-06-18,1140,156,0.1368421052631579
1,GBP_CHF,2020-09-24,2021-06-18,1140,363,0.31842105263157894
1,GBP_JPY,2020-09-24,2021-06-18,1140,123,0.10789473684210527
1,GBP_NZD,2020-09-24,2021-06-18,1140,124,0.10877192982456141
1,GBP_USD,2020-09-24,2021-06-18,1140,205,0.17982456140350878
1,NZD_CAD,2020-09-24,2021-06-18,1140,150,0.13157894736842105
1,NZD_CHF,2020-09-24,2021-06-18,1140,135,0.11842105263157894
1,NZD_JPY,2020-09-24,2021-06-18,1140,204,0.17894736842105263
1,NZD_USD,2020-09-24,2021-06-18,1140,317,0.27807017543859647
1,USD_CAD,2020-09-24,2021-06-18,1140,195,0.17105263157894737
1,USD_CHF,2020-09-24,2021-06-18,1140,303,0.2657894736842105
1,USD_JPY,2020-09-24,2021-06-18,1140,274,0.24035087719298245
2,AUD_CAD,2021-06-18,2022-03-11,1140,175,0.15350877192982457
2,AUD_CHF,2021-06-18,2022-03-11,1140,183,0.16052631578947368
2,AUD_JPY,2021-06-18,2022-03-11,1140,347,0.3043859649122807
2,AUD_NZD,2021-06-18,2022-03-11,1140,84,0.07368421052631578
2,AUD_USD,2021-06-18,2022-03-11,1140,152,0.13333333333333333
2,CAD_CHF,2021-06-18,2022-03-11,1140,259,0.22719298245614036
2,CAD_JPY,2021-06-18,2022-03-11,1140,255,0.2236842105263158
2,CHF_JPY,2021-06-18,2022-03-11,1140,323,0.2833333333333333
2,EUR_AUD,2021-06-18,2022-03-11,1140,180,0.15789473684210525
2,EUR_CAD,2021-06-18,2022-03-11,1140,163,0.14298245614035088
2,EUR_CHF,2021-06-18,2022-03-11,1140,155,0.13596491228070176
2,EUR_GBP,2021-06-18,2022-03-11,1140,113,0.09912280701754386
2,EUR_JPY,2021-06-18,2022-03-11,1140,212,0.18596491228070175
2,EUR_NZD,2021-06-18,2022-03-11,1140,182,0.15964912280701754
2,EUR_USD,2021-06-18,2022-03-11,1140,108,0.09473684210526316
2,GBP_AUD,2021-06-18,2022-03-11,1140,284,0.24912280701754386
2,GBP_CAD,2021-06-18,2022-03-11,1140,203,0.1780701754385965
2,GBP_CHF,2021-06-18,2022-03-11,1140,248,0.21754385964912282
2,GBP_JPY,2021-06-18,2022-03-11,1140,222,0.19473684210526315
2,GBP_NZD,2021-06-18,2022-03-11,1140,233,0.2043859649122807
2,GBP_USD,2021-06-18,2022-03-11,1140,238,0.20877192982456141
2,NZD_CAD,2021-06-18,2022-03-11,1140,238,0.20877192982456141
2,NZD_CHF,2021-06-18,2022-03-11,1140,197,0.17280701754385966
2,NZD_JPY,2021-06-18,2022-03-11,1140,266,0.23333333333333334
2,NZD_USD,2021-06-18,2022-03-11,1140,138,0.12105263157894737
2,USD_CAD,2021-06-18,2022-03-11,1140,324,0.28421052631578947
2,USD_CHF,2021-06-18,2022-03-11,1140,177,0.15526315789473685
2,USD_JPY,2021-06-18,2022-03-11,1140,319,0.27982456140350875
3,AUD_CAD,2022-03-11,2022-12-02,1140,302,0.2649122807017544
3,AUD_CHF,2022-03-11,2022-12-02,1140,174,0.15263157894736842
3,AUD_JPY,2022-03-11,2022-12-02,1140,374,0.3280701754385965
3,AUD_NZD,2022-03-11,2022-12-02,1140,262,0.22982456140350876
3,AUD_USD,2022-03-11,2022-12-02,1140,264,0.23157894736842105
3,CAD_CHF,2022-03-11,2022-12-02,1140,316,0.2771929824561403
3,CAD_JPY,2022-03-11,2022-12-02,1140,302,0.2649122807017544
3,CHF_JPY,2022-03-11,2022-12-02,1140,402,0.3526315789473684
3,EUR_AUD,2022-03-11,2022-12-02,1140,70,0.06140350877192982
3,EUR_CAD,2022-03-11,2022-12-02,1140,141,0.12368421052631579
3,EUR_CHF,2022-03-11,2022-12-02,1140,208,0.1824561403508772
3,EUR_GBP,2022-03-11,2022-12-02,1140,131,0.11491228070175438
3,EUR_JPY,2022-03-11,2022-12-02,1140,339,0.29736842105263156
3,EUR_NZD,2022-03-11,2022-12-02,1140,244,0.21403508771929824
3,EUR_USD,2022-03-11,2022-12-02,1140,233,0.2043859649122807
3,GBP_AUD,2022-03-11,2022-12-02,1140,144,0.12631578947368421
3,GBP_CAD,2022-03-11,2022-12-02,1140,169,0.1482456140350877
3,GBP_CHF,2022-03-11,2022-12-02,1140,242,0.21228070175438596
3,GBP_JPY,2022-03-11,2022-12-02,1140,302,0.2649122807017544
3,GBP_NZD,2022-03-11,2022-12-02,1140,68,0.05964912280701754
3,GBP_USD,2022-03-11,2022-12-02,1140,201,0.1763157894736842
3,NZD_CAD,2022-03-11,2022-12-02,1140,330,0.2894736842105263
3,NZD_CHF,2022-03-11,2022-12-02,1140,256,0.22456140350877193
3,NZD_JPY,2022-03-11,2022-12-02,1140,398,0.34912280701754383
3,NZD_USD,2022-03-11,2022-12-02,1140,310,0.2719298245614035
3,USD_CAD,2022-03-11,2022-12-02,1140,199,0.17456140350877192
3,USD_CHF,2022-03-11,2022-12-02,1140,454,0.39824561403508774
3,USD_JPY,2022-03-11,2022-12-02,1140,443,0.38859649122807016
4,AUD_CAD,2022-12-02,2023-08-25,1140,273,0.2394736842105263
4,AUD_CHF,2022-12-02,2023-08-25,1140,126,0.11052631578947368
4,AUD_JPY,2022-12-02,2023-08-25,1140,161,0.1412280701754386
4,AUD_NZD,2022-12-02,2023-08-25,1140,190,0.16666666666666666
4,AUD_USD,2022-12-02,2023-08-25,1140,126,0.11052631578947368
