feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
atr_200,0.1928806050629113,0.16121231227693922,0.13254764795555998,0.13748079657191584,0.15251288968312296,0.14973325187494949,0.1345649433385875
atr_50,0.16843935274162783,0.1448552070262759,0.13560101716074485,0.1360539287586372,0.13231398790444665,0.13295221250439915,0.12522749414576181
atr_14,0.10850423621359366,0.08555386878286378,0.09068364431935727,0.08954440171895899,0.09759222755442439,0.10009724701409072,0.09573298172624582
adx_14,0.046467827574952936,0.057421584653420066,0.07937808460952192,0.07662988018947807,0.08028657512393159,0.07945531219588682,0.0838438050753751
di_minus_14,0.04280724632862708,0.06411855828371885,0.050938760649692306,0.05472036297363788,0.05845101430500378,0.06104976723370438,0.064572637147854
ema_50_above_200,0.03241524627472094,0.014894270934084906,0.02579545241558987,0.010864373262920227,0.02024544555277381,0.018915703924185418,0.017101382962868058
atr_ratio_14_50,0.048474457217339284,0.04887504261079574,0.05329826439756952,0.047432093872509,0.046780944880252494,0.0545113653770715,0.05236363538678354
atr_percentile_200,0.05462997165948083,0.07441548729102028,0.05708747446934563,0.04351122603723565,0.047790297677306096,0.043934189684974354,0.04542131084371713
di_plus_14,0.030440958148889145,0.038005455711273936,0.03794627227067396,0.046979683488392196,0.04359220664811448,0.043912302574240794,0.04717306726810279
dxy_proxy_ema_20_slope,0.06454422896937277,0.07438196802216868,0.10066304407326745,0.12119729519495089,0.11612616639970551,0.10599877918710848,0.12562110597068718
range_compression_60,0.033899187295929445,0.030842822006073262,0.021935609974452458,0.017065962910876354,0.01662040353129428,0.015759658487597167,0.01475751747547962
atr_ratio_14_200,0.060236319506239734,0.07096599227052765,0.0749006927829198,0.06737520637134572,0.06120205061945168,0.06553021008662932,0.06207694026105391
position_in_range_20,0.021143658611066787,0.029450580064104805,0.025215010321305784,0.02545669841737992,0.0242927962404914,0.0238256150531812,0.027838321315381387
body_size_atr,0.006490323057105034,0.009309747021403475,0.008373509277792934,0.007220951006971564,0.007343978386725062,0.007645944030431994,0.008016161391473521
ema_20_slope,0.08862638133814305,0.0956971030453294,0.10563551532220648,0.11846713922479046,0.09484901549295571,0.09667844077154931,0.09568869569062875
