bin,n_bin_rows,fold,train_start,train_end,val_start,val_end,train_n,val_n,base_rate_val,val_auc,status
vol_q1,196731,1,2020-01-02 06:00:00,2020-09-14 20:00:00,2020-09-14 21:00:00,2021-06-22 07:00:00,24594,24591,0.12760766133951446,0.5169727755313266,trained
vol_q1,196731,2,2020-01-02 06:00:00,2021-06-22 07:00:00,2021-06-22 07:00:00,2022-03-25 11:00:00,49185,24591,0.14493107234354033,0.5271696864866757,trained
vol_q1,196731,3,2020-01-02 06:00:00,2022-03-25 11:00:00,2022-03-25 11:00:00,2023-01-06 02:00:00,73776,24591,0.1278516530437965,0.6029192650893599,trained
vol_q1,196731,4,2020-01-02 06:00:00,2023-01-06 02:00:00,2023-01-06 02:00:00,2023-10-06 09:00:00,98367,24591,0.11248017567402709,0.5117740373824189,trained
vol_q1,196731,5,2020-01-02 06:00:00,2023-10-06 09:00:00,2023-10-06 09:00:00,2024-06-28 02:00:00,122958,24591,0.1174820056118092,0.588847920472466,trained
vol_q1,196731,6,2020-01-02 06:00:00,2024-06-28 02:00:00,2024-06-28 02:00:00,2025-03-14 06:00:00,147549,24591,0.1232971412305315,0.5162544299187075,trained
vol_q1,196731,7,2020-01-02 06:00:00,2025-03-14 06:00:00,2025-03-14 07:00:00,2025-12-02 23:00:00,172140,24591,0.0982473262575739,0.491276075692303,trained
vol_q2,212053,1,2020-01-02 06:00:00,2020-10-02 01:00:00,2020-10-02 01:00:00,2021-06-25 15:00:00,26511,26506,0.12834829849845317,0.5484972240644659,trained
vol_q2,212053,2,2020-01-02 06:00:00,2021-06-25 15:00:00,2021-06-25 15:00:00,2022-03-24 01:00:00,53017,26506,0.14600467818607107,0.5078704122266651,trained
vol_q2,212053,3,2020-01-02 06:00:00,2022-03-24 01:00:00,2022-03-24 01:00:00,2022-12-22 11:00:00,79523,26506,0.121934656304233,0.6044357517248244,trained
vol_q2,212053,4,2020-01-02 06:00:00,2022-12-22 11:00:00,2022-12-22 11:00:00,2023-09-11 11:00:00,106029,26506,0.11891647174224704,0.5204855041734608,trained
vol_q2,212053,5,2020-01-02 06:00:00,2023-09-11 11:00:00,2023-09-11 11:00:00,2024-06-06 02:00:00,132535,26506,0.121934656304233,0.5630799865804446,trained
vol_q2,212053,6,2020-01-02 06:00:00,2024-06-06 02:00:00,2024-06-06 03:00:00,2025-03-12 05:00:00,159041,26506,0.11389873990794537,0.5259773778008294,trained
vol_q2,212053,7,2020-01-02 06:00:00,2025-03-12 05:00:00,2025-03-12 05:00:00,2025-12-02 23:00:00,185547,26506,0.098279634799668,0.48083181575695205,trained
vol_q3,200921,1,2020-01-02 06:00:00,2020-10-08 02:00:00,2020-10-08 02:00:00,2021-07-02 13:00:00,25116,25115,0.13159466454310173,0.5174856847162366,trained
vol_q3,200921,2,2020-01-02 06:00:00,2021-07-02 13:00:00,2021-07-02 13:00:00,2022-03-25 13:00:00,50231,25115,0.13637268564602828,0.5268583120480023,trained
vol_q3,200921,3,2020-01-02 06:00:00,2022-03-25 13:00:00,2022-03-25 13:00:00,2022-12-16 14:00:00,75346,25115,0.1349790961576747,0.5797667274288759,trained
vol_q3,200921,4,2020-01-02 06:00:00,2022-12-16 14:00:00,2022-12-16 14:00:00,2023-09-07 02:00:00,100461,25115,0.12478598447143141,0.5127932759240033,trained
vol_q3,200921,5,2020-01-02 06:00:00,2023-09-07 02:00:00,2023-09-07 02:00:00,2024-06-05 02:00:00,125576,25115,0.12004778021102927,0.5614478737534049,trained
vol_q3,200921,6,2020-01-02 06:00:00,2024-06-05 02:00:00,2024-06-05 02:00:00,2025-03-06 06:00:00,150691,25115,0.11785785387218793,0.49719076896802017,trained
vol_q3,200921,7,2020-01-02 06:00:00,2025-03-06 06:00:00,2025-03-06 06:00:00,2025-12-02 23:00:00,175806,25115,0.09719291260203065,0.47621677896315473,trained
vol_q4,216474,1,2020-01-02 06:00:00,2020-10-01 05:00:00,2020-10-01 05:00:00,2021-07-01 01:00:00,27061,27059,0.1328947854687904,0.5324303531506331,trained
vol_q4,216474,2,2020-01-02 06:00:00,2021-07-01 01:00:00,2021-07-01 01:00:00,2022-03-17 17:00:00,54120,27059,0.13396651760966777,0.551671264564014,trained
vol_q4,216474,3,2020-01-02 06:00:00,2022-03-17 17:00:00,2022-03-17 17:00:00,2022-12-01 13:00:00,81179,27059,0.13788388336597804,0.562781995765284,trained
vol_q4,216474,4,2020-01-02 06:00:00,2022-12-01 13:00:00,2022-12-01 13:00:00,2023-08-30 09:00:00,108238,27059,0.13448390553974648,0.5362750802636491,trained
vol_q4,216474,5,2020-01-02 06:00:00,2023-08-30 09:00:00,2023-08-30 09:00:00,2024-05-30 00:00:00,135297,27059,0.11393621345947744,0.5455346009865418,trained
vol_q4,216474,6,2020-01-02 06:00:00,2024-05-30 00:00:00,2024-05-30 01:00:00,2025-03-03 04:00:00,162356,27059,0.11663402195203075,0.5044902846405999,trained
vol_q4,216474,7,2020-01-02 06:00:00,2025-03-03 04:00:00,2025-03-03 04:00:00,2025-12-02 21:00:00,189415,27059,0.10473409956022026,0.4847096694786075,trained
vol_q5,206895,1,2020-01-02 06:00:00,2020-09-21 16:00:00,2020-09-21 16:00:00,2021-06-24 21:00:00,25868,25861,0.137852364564402,0.525000371138088,trained
vol_q5,206895,2,2020-01-02 06:00:00,2021-06-24 21:00:00,2021-06-24 21:00:00,2022-03-22 15:00:00,51729,25861,0.13812304241908666,0.5381976328266816,trained
vol_q5,206895,3,2020-01-02 06:00:00,2022-03-22 15:00:00,2022-03-22 15:00:00,2022-12-15 10:00:00,77590,25861,0.14349793124782492,0.5661038411214783,trained
vol_q5,206895,4,2020-01-02 06:00:00,2022-12-15 10:00:00,2022-12-15 10:00:00,2023-09-14 21:00:00,103451,25861,0.1355322686671049,0.5234522660034523,trained
vol_q5,206895,5,2020-01-02 06:00:00,2023-09-14 21:00:00,2023-09-14 22:00:00,2024-06-20 19:00:00,129312,25861,0.11766753025791733,0.5735313992300214,trained
vol_q5,206895,6,2020-01-02 06:00:00,2024-06-20 19:00:00,2024-06-20 19:00:00,2025-03-05 23:00:00,155173,25861,0.1285333127102587,0.4905839825798965,trained
vol_q5,206895,7,2020-01-02 06:00:00,2025-03-05 23:00:00,2025-03-05 23:00:00,2025-12-02 18:00:00,181034,25861,0.1103592281814315,0.5015773816621851,trained
