bin,n_bin_rows,fold,train_start,train_end,val_start,val_end,train_n,val_n,base_rate_val,val_auc,status
d1_down,443268,1,2020-01-02 06:00:00,2020-08-26 23:00:00,2020-08-26 23:00:00,2021-08-13 10:00:00,55412,55408,0.11758229858504188,0.541687784117491,trained
d1_down,443268,2,2020-01-02 06:00:00,2021-08-13 10:00:00,2021-08-13 10:00:00,2022-02-23 20:00:00,110820,55408,0.13097386658966215,0.5380946946824449,trained
d1_down,443268,3,2020-01-02 06:00:00,2022-02-23 20:00:00,2022-02-23 20:00:00,2022-10-12 13:00:00,166228,55408,0.10758374241986716,0.5419395840593848,trained
d1_down,443268,4,2020-01-02 06:00:00,2022-10-12 13:00:00,2022-10-12 13:00:00,2023-07-05 05:00:00,221636,55408,0.11909832515160265,0.5228009377026477,trained
d1_down,443268,5,2020-01-02 06:00:00,2023-07-05 05:00:00,2023-07-05 05:00:00,2024-05-01 08:00:00,277044,55408,0.10671744152468958,0.49539798950629155,trained
d1_down,443268,6,2020-01-02 06:00:00,2024-05-01 08:00:00,2024-05-01 09:00:00,2025-02-11 17:00:00,332452,55408,0.10991192607565695,0.5617477816131242,trained
d1_down,443268,7,2020-01-02 06:00:00,2025-02-11 17:00:00,2025-02-11 17:00:00,2025-12-02 23:00:00,387860,55408,0.09680912503609587,0.5028936020269352,trained
d1_flat,72782,1,2020-01-02 06:00:00,2020-11-03 07:00:00,2020-11-03 07:00:00,2021-07-20 00:00:00,9103,9097,0.15268769924150818,0.515220925553771,trained
d1_flat,72782,2,2020-01-02 06:00:00,2021-07-20 00:00:00,2021-07-20 00:00:00,2022-03-03 12:00:00,18200,9097,0.10838738045509509,0.497163969597294,trained
d1_flat,72782,3,2020-01-02 06:00:00,2022-03-03 12:00:00,2022-03-03 12:00:00,2023-02-14 06:00:00,27297,9097,0.14510278113663846,0.4973986522028826,trained
d1_flat,72782,4,2020-01-02 06:00:00,2023-02-14 06:00:00,2023-02-14 07:00:00,2023-12-06 05:00:00,36394,9097,0.13059250302297462,0.5402562630562378,trained
d1_flat,72782,5,2020-01-02 06:00:00,2023-12-06 05:00:00,2023-12-06 05:00:00,2024-07-09 18:00:00,45491,9097,0.1236671430141805,0.5544914422701678,trained
d1_flat,72782,6,2020-01-02 06:00:00,2024-07-09 18:00:00,2024-07-09 19:00:00,2025-03-05 23:00:00,54588,9097,0.1288336814334396,0.49399495052809517,trained
d1_flat,72782,7,2020-01-02 06:00:00,2025-03-05 23:00:00,2025-03-05 23:00:00,2025-12-02 23:00:00,63685,9097,0.12113883697922392,0.5649125077038848,trained
d1_up,517024,1,2020-01-02 06:00:00,2020-10-01 15:00:00,2020-10-01 15:00:00,2021-05-17 05:00:00,64628,64628,0.1458655691031751,0.524312394223537,trained
d1_up,517024,2,2020-01-02 06:00:00,2021-05-17 05:00:00,2021-05-17 05:00:00,2022-04-21 09:00:00,129256,64628,0.15915702172433002,0.5289088783045522,trained
d1_up,517024,3,2020-01-02 06:00:00,2022-04-21 09:00:00,2022-04-21 09:00:00,2023-01-30 20:00:00,193884,64628,0.14936250541560933,0.5928397051163317,trained
d1_up,517024,4,2020-01-02 06:00:00,2023-01-30 20:00:00,2023-01-30 20:00:00,2023-10-20 05:00:00,258512,64628,0.12417218543046357,0.5142040653371795,trained
d1_up,517024,5,2020-01-02 06:00:00,2023-10-20 05:00:00,2023-10-20 05:00:00,2024-06-19 17:00:00,323140,64628,0.13769573559447917,0.5613664740993485,trained
d1_up,517024,6,2020-01-02 06:00:00,2024-06-19 17:00:00,2024-06-19 17:00:00,2025-04-07 00:00:00,387768,64628,0.11996348331992325,0.5072070608612335,trained
d1_up,517024,7,2020-01-02 06:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-12-02 23:00:00,452396,64628,0.10295847001299746,0.4685518856960111,trained
