bin,n_bin_rows,fold,train_start,train_end,val_start,val_end,train_n,val_n,base_rate_val,val_auc,status
2020-Q1,42714,1,2020-01-02 06:00:00,2020-01-14 04:00:00,2020-01-14 04:00:00,2020-01-24 03:00:00,5341,5339,0.16370106761565836,0.5241449514530765,trained
2020-Q1,42714,2,2020-01-02 06:00:00,2020-01-24 03:00:00,2020-01-24 03:00:00,2020-02-05 02:00:00,10680,5339,0.1305487919085971,0.49147327408596087,trained
2020-Q1,42714,3,2020-01-02 06:00:00,2020-02-05 02:00:00,2020-02-05 02:00:00,2020-02-17 01:00:00,16019,5339,0.08110132983704814,0.5802055549645107,trained
2020-Q1,42714,4,2020-01-02 06:00:00,2020-02-17 01:00:00,2020-02-17 01:00:00,2020-02-27 00:00:00,21358,5339,0.1442217643753512,0.6060105794839872,trained
2020-Q1,42714,5,2020-01-02 06:00:00,2020-02-27 00:00:00,2020-02-27 00:00:00,2020-03-09 23:00:00,26697,5339,0.13804083161640757,0.46996910670070297,trained
2020-Q1,42714,6,2020-01-02 06:00:00,2020-03-09 23:00:00,2020-03-09 23:00:00,2020-03-19 23:00:00,32036,5339,0.17493912717737403,0.6990498922044495,trained
2020-Q1,42714,7,2020-01-02 06:00:00,2020-03-19 23:00:00,2020-03-19 23:00:00,2020-03-31 23:00:00,37375,5339,0.15302491103202848,0.5558618087446278,trained
2020-Q2,43680,1,2020-04-01 00:00:00,2020-04-13 02:00:00,2020-04-13 03:00:00,2020-04-23 05:00:00,5460,5460,0.09542124542124542,0.4059897350361551,trained
2020-Q2,43680,2,2020-04-01 00:00:00,2020-04-23 05:00:00,2020-04-23 06:00:00,2020-05-05 08:00:00,10920,5460,0.14102564102564102,0.5513306842411321,trained
2020-Q2,43680,3,2020-04-01 00:00:00,2020-05-05 08:00:00,2020-05-05 09:00:00,2020-05-15 11:00:00,16380,5460,0.08205128205128205,0.4076237120197241,trained
2020-Q2,43680,4,2020-04-01 00:00:00,2020-05-15 11:00:00,2020-05-15 12:00:00,2020-05-27 14:00:00,21840,5460,0.2424908424908425,0.4233311553699884,trained
2020-Q2,43680,5,2020-04-01 00:00:00,2020-05-27 14:00:00,2020-05-27 15:00:00,2020-06-08 17:00:00,27300,5460,0.2978021978021978,0.5606311207869512,trained
2020-Q2,43680,6,2020-04-01 00:00:00,2020-06-08 17:00:00,2020-06-08 18:00:00,2020-06-18 20:00:00,32760,5460,0.12454212454212454,0.5200361493969973,trained
2020-Q2,43680,7,2020-04-01 00:00:00,2020-06-18 20:00:00,2020-06-18 21:00:00,2020-06-30 23:00:00,38220,5460,0.11941391941391942,0.4782575755642437,trained
2020-Q3,44352,1,2020-07-01 00:00:00,2020-07-13 05:00:00,2020-07-13 06:00:00,2020-07-23 11:00:00,5544,5544,0.1341991341991342,0.6326527497759857,trained
2020-Q3,44352,2,2020-07-01 00:00:00,2020-07-23 11:00:00,2020-07-23 12:00:00,2020-08-04 17:00:00,11088,5544,0.11958874458874459,0.4609354214003696,trained
2020-Q3,44352,3,2020-07-01 00:00:00,2020-08-04 17:00:00,2020-08-04 18:00:00,2020-08-14 23:00:00,16632,5544,0.09794372294372294,0.5213272262674538,trained
2020-Q3,44352,4,2020-07-01 00:00:00,2020-08-14 23:00:00,2020-08-17 00:00:00,2020-08-27 05:00:00,22176,5544,0.17406204906204906,0.49044647393428203,trained
2020-Q3,44352,5,2020-07-01 00:00:00,2020-08-27 05:00:00,2020-08-27 06:00:00,2020-09-08 11:00:00,27720,5544,0.20707070707070707,0.48949432965667233,trained
2020-Q3,44352,6,2020-07-01 00:00:00,2020-09-08 11:00:00,2020-09-08 12:00:00,2020-09-18 17:00:00,33264,5544,0.17063492063492064,0.5478514879619505,trained
2020-Q3,44352,7,2020-07-01 00:00:00,2020-09-18 17:00:00,2020-09-18 18:00:00,2020-09-30 23:00:00,38808,5544,0.1562049062049062,0.3922546152349902,trained
2020-Q4,43541,1,2020-10-01 00:00:00,2020-10-13 02:00:00,2020-10-13 02:00:00,2020-10-23 04:00:00,5447,5442,0.08122013965453877,0.48849999999999993,trained
2020-Q4,43541,2,2020-10-01 00:00:00,2020-10-23 04:00:00,2020-10-23 04:00:00,2020-11-04 08:00:00,10889,5442,0.05806688717383315,0.5892221709132395,trained
2020-Q4,43541,3,2020-10-01 00:00:00,2020-11-04 08:00:00,2020-11-04 08:00:00,2020-11-16 10:00:00,16331,5442,0.07533994854832782,0.49965537632323864,trained
2020-Q4,43541,4,2020-10-01 00:00:00,2020-11-16 10:00:00,2020-11-16 10:00:00,2020-11-26 12:00:00,21773,5442,0.1565600882028666,0.5531842288297687,trained
2020-Q4,43541,5,2020-10-01 00:00:00,2020-11-26 12:00:00,2020-11-26 12:00:00,2020-12-08 15:00:00,27215,5442,0.163359059169423,0.5925050467966707,trained
2020-Q4,43541,6,2020-10-01 00:00:00,2020-12-08 15:00:00,2020-12-08 15:00:00,2020-12-18 17:00:00,32657,5442,0.10235207644248438,0.5858584058112164,trained
2020-Q4,43541,7,2020-10-01 00:00:00,2020-12-18 17:00:00,2020-12-18 17:00:00,2020-12-31 23:00:00,38099,5442,0.19643513414185962,0.5228573286582753,trained
2021-Q1,42280,1,2021-01-04 00:00:00,2021-01-13 20:00:00,2021-01-13 20:00:00,2021-01-25 17:00:00,5285,5285,0.07587511825922422,0.5656689051327455,trained
