feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
atr_14,0.03557969360119522,0.0359350754384964,0.04786750628855962,0.05776548104393022,0.05253388738883956,0.05001323631769278,0.04989268318902705
atr_50,0.0455013310279295,0.04822709685998385,0.061727819094643845,0.07574591058718183,0.07317671265321697,0.06929888193429345,0.06808766143681338
atr_200,0.07275769363193191,0.07448978970423405,0.07420110493139954,0.09852709262189582,0.10094231140057772,0.09053909950441623,0.09348220712508372
atr_ratio_14_50,0.012034852019512625,0.013624647042772936,0.009889403351745114,0.009284211896410153,0.011804871790542718,0.011995715450668666,0.012502398528310012
atr_ratio_14_200,0.028735826155820973,0.03933264998393201,0.023800088922655102,0.022275909471545743,0.023935454772889067,0.02367317841403596,0.028083714351889593
atr_percentile_20,0.0016793437049730134,0.001160849470059462,0.0009562058104451277,0.0007510616658737522,0.0007934767431076471,0.0008265079253511969,0.0008575209666900359
atr_percentile_60,0.004095336002591729,0.0036917561164571807,0.002973177530333343,0.002684782974509806,0.0036380726464799234,0.003384001821005631,0.003600566618087319
atr_percentile_200,0.01427927931576175,0.018531364339042185,0.012514808285058892,0.013349507185540257,0.015142153803591749,0.014446813471564781,0.015386504577692816
realised_vol_20,0.02353198758549911,0.020516785014404633,0.016700659695783212,0.01585215578906868,0.015509079864420338,0.017209934931395977,0.018343048143290953
range_compression_20,0.0006378166444016308,0.0004274772213063315,0.0004592292681606401,0.000334871241628958,0.00041078522672522447,0.00039335111591758793,0.00038537563310294727
range_compression_60,0.0005317671710817672,0.0006420918671875716,0.0004608222404990373,0.0003223180758619597,0.00035613992473953614,0.0003478593515127524,0.0003666947766600949
ema_20_slope,0.012558619143231108,0.011686840057820879,0.01120756717861259,0.00907116227263934,0.008546031690805764,0.008218610988452498,0.008210950233209956
ema_50_slope,0.027905819407807116,0.024990789642063825,0.024941400730031257,0.01990938653944313,0.017633925602398633,0.019937315631444442,0.018645120413667608
ema_200_slope,0.05610288557630359,0.04863690706129755,0.04792160066957196,0.04315082712748714,0.0421588065908403,0.04133897523227696,0.04027927169114334
ema_20_above_50,0.002583266329120408,0.001987750467652444,0.0013916306325616754,0.0015363576733322963,0.0010556401318647908,0.0012475255892140755,0.0010210704294573165
ema_50_above_200,0.003035170590764823,0.0024020602060631662,0.0015015428241953047,0.0012049797294810612,0.0015186156766413192,0.002202519821563633,0.0019609246238030554
ema_spread_20_50_atr,0.015800547747551522,0.013481265012690192,0.012115608626514845,0.012621480098694208,0.011393722740438768,0.010615143264838004,0.01057272085734873
adx_14,0.010121529909068288,0.008950043186623442,0.008669961173274834,0.008403184642250061,0.008269969672614912,0.007987220417871484,0.008823837456482748
di_plus_14,0.0073554994370821185,0.005571376151544452,0.005514795993322888,0.004606812400114194,0.004151029930800168,0.003633079148057363,0.00414955292554334
