pair,sum,count,fold_id
AUD_CAD,222,1139,1
AUD_CHF,228,1139,1
AUD_JPY,299,1139,1
AUD_NZD,410,1139,1
AUD_USD,363,1139,1
CAD_CHF,268,1139,1
CAD_JPY,239,1139,1
CHF_JPY,254,1139,1
EUR_AUD,196,1139,1
EUR_CAD,216,1139,1
EUR_CHF,333,1139,1
EUR_GBP,220,1139,1
EUR_JPY,288,1139,1
EUR_NZD,275,1139,1
EUR_USD,217,1139,1
GBP_AUD,247,1139,1
GBP_CAD,195,1139,1
GBP_CHF,383,1139,1
GBP_JPY,145,1139,1
GBP_NZD,212,1139,1
GBP_USD,253,1139,1
NZD_CAD,194,1139,1
NZD_CHF,223,1139,1
NZD_JPY,234,1139,1
NZD_USD,353,1139,1
USD_CAD,263,1139,1
USD_CHF,374,1139,1
USD_JPY,325,1139,1
AUD_CAD,226,1139,2
AUD_CHF,205,1139,2
AUD_JPY,398,1139,2
AUD_NZD,119,1139,2
AUD_USD,225,1139,2
CAD_CHF,320,1139,2
CAD_JPY,324,1139,2
CHF_JPY,355,1139,2
EUR_AUD,237,1139,2
EUR_CAD,222,1139,2
EUR_CHF,327,1139,2
EUR_GBP,124,1139,2
EUR_JPY,272,1139,2
EUR_NZD,218,1139,2
EUR_USD,189,1139,2
GBP_AUD,321,1139,2
GBP_CAD,229,1139,2
GBP_CHF,362,1139,2
GBP_JPY,292,1139,2
GBP_NZD,289,1139,2
GBP_USD,349,1139,2
NZD_CAD,293,1139,2
NZD_CHF,249,1139,2
NZD_JPY,345,1139,2
NZD_USD,175,1139,2
USD_CAD,340,1139,2
USD_CHF,199,1139,2
USD_JPY,318,1139,2
AUD_CAD,421,1139,3
AUD_CHF,224,1139,3
AUD_JPY,428,1139,3
AUD_NZD,294,1139,3
AUD_USD,299,1139,3
CAD_CHF,394,1139,3
CAD_JPY,344,1139,3
CHF_JPY,410,1139,3
EUR_AUD,91,1139,3
EUR_CAD,192,1139,3
EUR_CHF,268,1139,3
EUR_GBP,143,1139,3
EUR_JPY,349,1139,3
EUR_NZD,277,1139,3
EUR_USD,287,1139,3
GBP_AUD,197,1139,3
GBP_CAD,228,1139,3
GBP_CHF,323,1139,3
GBP_JPY,342,1139,3
GBP_NZD,181,1139,3
GBP_USD,297,1139,3
NZD_CAD,409,1139,3
NZD_CHF,338,1139,3
NZD_JPY,411,1139,3
NZD_USD,382,1139,3
USD_CAD,216,1139,3
USD_CHF,500,1139,3
USD_JPY,453,1139,3
AUD_CAD,374,1139,4
AUD_CHF,274,1139,4
AUD_JPY,248,1139,4
AUD_NZD,214,1139,4
AUD_USD,182,1139,4
CAD_CHF,282,1139,4
CAD_JPY,276,1139,4
CHF_JPY,147,1139,4
EUR_AUD,238,1139,4
EUR_CAD,355,1139,4
EUR_CHF,316,1139,4
EUR_GBP,286,1139,4
EUR_JPY,285,1140,4
EUR_NZD,194,1140,4
EUR_USD,318,1140,4
GBP_AUD,151,1140,4
GBP_CAD,350,1140,4
GBP_CHF,238,1140,4
GBP_JPY,217,1140,4
GBP_NZD,204,1139,4
GBP_USD,336,1139,4
NZD_CAD,383,1136,4
NZD_CHF,300,1136,4
NZD_JPY,276,1138,4
NZD_USD,217,1139,4
USD_CAD,347,1139,4
USD_CHF,303,1139,4
USD_JPY,257,1139,4
AUD_CAD,65,1138,5
AUD_CHF,241,1139,5
AUD_JPY,262,1139,5
AUD_NZD,304,1141,5
AUD_USD,234,1139,5
CAD_CHF,331,1139,5
CAD_JPY,347,1139,5
CHF_JPY,410,1138,5
EUR_AUD,173,1139,5
EUR_CAD,303,1139,5
EUR_CHF,527,1139,5
EUR_GBP,291,1141,5
EUR_JPY,363,1139,5
EUR_NZD,193,1136,5
EUR_USD,172,1139,5
GBP_AUD,199,1138,5
GBP_CAD,219,1138,5
GBP_CHF,244,1135,5
GBP_JPY,377,1135,5
GBP_NZD,272,1139,5
GBP_USD,229,1140,5
NZD_CAD,227,1142,5
NZD_CHF,429,1141,5
NZD_JPY,326,1142,5
NZD_USD,253,1141,5
USD_CAD,176,1139,5
USD_CHF,388,1139,5
USD_JPY,361,1139,5
AUD_CAD,250,1140,6
AUD_CHF,293,1140,6
AUD_JPY,271,1139,6
AUD_NZD,193,1135,6
AUD_USD,224,1140,6
CAD_CHF,261,1140,6
CAD_JPY,237,1140,6
CHF_JPY,459,1136,6
EUR_AUD,312,1140,6
EUR_CAD,283,1136,6
EUR_CHF,181,1140,6
EUR_GBP,202,1140,6
EUR_JPY,320,1136,6
EUR_NZD,320,1135,6
EUR_USD,197,1136,6
GBP_AUD,407,1140,6
GBP_CAD,261,1140,6
GBP_CHF,305,1140,6
GBP_JPY,237,1140,6
GBP_NZD,477,1139,6
GBP_USD,244,1140,6
NZD_CAD,157,1140,6
NZD_CHF,273,1140,6
NZD_JPY,268,1136,6
NZD_USD,114,1141,6
USD_CAD,286,1141,6
USD_CHF,207,1141,6
USD_JPY,287,1141,6
AUD_CAD,125,1139,7
AUD_CHF,257,1139,7
AUD_JPY,198,1139,7
AUD_NZD,240,1139,7
AUD_USD,95,1139,7
CAD_CHF,230,1139,7
CAD_JPY,115,1139,7
CHF_JPY,345,1139,7
EUR_AUD,238,1139,7
EUR_CAD,197,1139,7
EUR_CHF,249,1139,7
EUR_GBP,314,1139,7
EUR_JPY,339,1139,7
EUR_NZD,170,1139,7
EUR_USD,188,1139,7
GBP_AUD,273,1139,7
GBP_CAD,285,1139,7
GBP_CHF,293,1139,7
GBP_JPY,105,1139,7
GBP_NZD,187,1139,7
GBP_USD,192,1139,7
NZD_CAD,241,1139,7
NZD_CHF,267,1139,7
NZD_JPY,104,1139,7
NZD_USD,88,1139,7
USD_CAD,264,1139,7
USD_CHF,350,1139,7
USD_JPY,264,1139,7
