trade_id,race_condition,mae_mfe_ratio_winners
0,-39.0,1.1917787
1,233.0,
2,-17.0,1.092664
3,3.0,
4,3.0,
5,3.0,
6,3.0,
7,24.0,
8,3.0,
9,-79.0,0.10819641
10,97.0,0.8999995
11,86.0,2.1818104
12,40.0,1.1792121
13,-238.0,
14,-197.0,0.74280876
15,-238.0,
16,-238.0,0.14535944
17,-238.0,
18,-238.0,0.09854614
19,-54.0,
20,-65.0,
21,-170.0,0.19719708
22,-59.0,0.10914442
23,-16.0,0.051625315
24,227.0,0.5486127
25,-10.0,0.02169621
26,80.0,0.36708885
27,40.0,0.3872337
28,-163.0,0.2910332
29,-226.0,0.10470431
30,-176.0,0.18479416
31,-223.0,0.20302613
32,27.0,0.8034678
33,-223.0,0.25709885
34,-222.0,0.23586152
35,27.0,
36,-33.0,0.16894975
37,-227.0,0.1336033
38,-103.0,0.04142005
39,46.0,0.7027023
40,47.0,
41,41.0,0.019305106
42,129.0,
43,-165.0,
44,-52.0,0.29263845
45,240.0,
46,18.0,
47,-59.0,0.48584995
48,21.0,
49,20.0,
50,-238.0,
51,222.0,
52,19.0,
53,-59.0,0.50000054
54,-59.0,0.20821153
55,-216.0,0.2960004
56,-239.0,0.14798218
57,-239.0,0.40034625
58,12.0,
59,-14.0,0.15094317
60,-232.0,0.5344261
61,-221.0,0.3500835
62,-15.0,0.48965347
63,-234.0,0.7746443
64,47.0,3.6373584
65,-72.0,0.51451164
66,-100.0,
67,194.0,0.9687495
68,-76.0,1.458764
69,192.0,0.45999905
70,-226.0,0.2534677
71,-142.0,1.2239983
72,-216.0,0.24642363
73,-200.0,0.2667363
74,201.0,0.37499967
75,-199.0,0.06094811
76,-42.0,0.07226091
77,-74.0,0.11510788
78,225.0,
79,-165.0,
80,15.0,
81,204.0,
82,-138.0,1.1756799
83,209.0,0.640331
84,226.0,1.7796621
85,20.0,0.20895515
86,236.0,
87,51.0,
88,63.0,
89,22.0,
90,77.0,
91,-111.0,
92,-95.0,0.109170035
93,-148.0,
94,19.0,
95,-22.0,
96,20.0,
97,-5.0,0.39146674
98,-6.0,
99,-70.0,0.16666615
100,-69.0,0.041752186
101,-138.0,0.027434122
102,-69.0,1.2195125
103,67.0,
104,238.0,
105,126.0,
106,67.0,
107,68.0,
108,240.0,
109,-33.0,
110,-129.0,
111,-144.0,
112,-123.0,
113,-228.0,
114,-228.0,
115,-114.0,
116,-73.0,
117,-171.0,
118,19.0,
119,219.0,
120,44.0,
121,-147.0,
122,36.0,
123,-119.0,
124,-96.0,0.76190495
125,-147.0,
126,-145.0,0.81176454
127,-209.0,0.20197093
128,220.0,0.61538404
129,38.0,
130,-150.0,
131,31.0,
132,121.0,
133,222.0,
134,-51.0,
135,19.0,1.2631578
136,-163.0,0.89376587
137,232.0,
138,-22.0,0.20398097
139,120.0,
140,-43.0,0.32616502
141,234.0,0.726236
142,19.0,0.31914935
143,224.0,
144,116.0,
145,226.0,
146,224.0,0.12777737
147,223.0,
148,-190.0,0.48792124
149,-198.0,0.12707157
150,-189.0,0.19075146
151,-129.0,0.31070587
152,-239.0,0.17084256
153,196.0,
154,195.0,
155,87.0,0.7665374
156,19.0,
157,167.0,
158,18.0,0.5175875
159,-44.0,0.042285662
160,89.0,
161,49.0,
162,-50.0,
163,158.0,
164,-72.0,
165,-237.0,0.17391333
166,217.0,
167,23.0,
168,-80.0,0.13814405
169,-22.0,
170,-35.0,
171,158.0,
172,220.0,0.3437495
173,78.0,
174,14.0,
175,114.0,
176,103.0,
177,-175.0,1.2466944
178,-162.0,0.98386914
179,-107.0,0.055155873
180,227.0,
181,226.0,0.39285627
182,-27.0,0.5384617
183,157.0,
184,228.0,
185,-36.0,
186,-50.0,
187,-219.0,1.7117114
188,-50.0,0.92875284
189,-65.0,
190,22.0,0.684507
191,47.0,
192,-96.0,0.29629657
193,33.0,
194,141.0,0.030303003
195,152.0,
196,-230.0,
197,-51.0,0.124087065
198,50.0,
199,-24.0,0.42209634
200,-47.0,0.24820177
201,236.0,
202,231.0,
203,-9.0,1.4285706
204,50.0,
205,42.0,
206,-3.0,0.9240512
207,-51.0,
208,-122.0,3.2702725
209,147.0,0.19553073
210,35.0,0.299191
211,237.0,
212,234.0,1.4155849
213,218.0,
214,116.0,
215,144.0,
216,-43.0,0.12735319
217,236.0,
218,225.0,
219,-50.0,0.115577616
220,238.0,
221,26.0,0.12621365
222,237.0,
223,226.0,
224,226.0,1.071431
225,106.0,0.094170466
226,103.0,
227,29.0,
228,131.0,
229,142.0,
230,237.0,
231,-117.0,
232,230.0,
233,-25.0,
234,228.0,
235,-37.0,
236,-17.0,
237,239.0,
238,-4.0,
239,-29.0,
240,126.0,
241,-51.0,0.8543698
242,-51.0,0.6243105
243,228.0,1.5555578
244,108.0,
245,49.0,
246,-5.0,0.17309818
247,-20.0,0.93406576
248,-27.0,0.6129043
249,-3.0,0.53459305
250,-137.0,0.7371435
251,-33.0,1.9583324
252,-41.0,
253,-6.0,0.12766011
254,20.0,
255,-33.0,
256,25.0,
257,23.0,
258,239.0,
259,44.0,
260,141.0,
261,-23.0,0.31724206
262,-44.0,0.051224817
263,-10.0,0.6619724
264,229.0,
265,-10.0,
266,95.0,
267,14.0,
268,5.0,
269,-38.0,0.07873996
270,112.0,
271,42.0,
272,76.0,
273,19.0,0.5500889
274,141.0,
275,19.0,
276,111.0,0.52447504
277,231.0,
278,17.0,
279,-13.0,
280,6.0,
281,-9.0,0.27461132
282,207.0,0.266332
283,-8.0,0.16728638
284,-230.0,0.27333334
285,-15.0,0.32876828
286,2.0,0.1551316
287,-6.0,0.15837105
288,233.0,
289,-238.0,
290,-238.0,
291,-49.0,1.4536102
292,-49.0,1.4522133
293,-23.0,0.29361656
294,-21.0,0.17692266
295,7.0,
296,68.0,
297,17.0,
298,-49.0,0.047838606
299,-239.0,0.077705726
300,84.0,1.4077655
301,-238.0,0.63213277
302,-240.0,0.119241185
303,46.0,
304,-232.0,0.1487806
305,-20.0,0.13246776
306,235.0,0.14893563
307,236.0,0.077586465
308,-10.0,0.0057581635
309,237.0,
310,96.0,
311,224.0,
312,237.0,
313,-12.0,0.015151575
314,60.0,
315,-218.0,
316,-51.0,
317,25.0,
318,239.0,
319,233.0,1.0402688
320,222.0,2.9999967
321,119.0,0.14285712
322,49.0,
323,-228.0,0.14690249
324,-174.0,0.39246628
325,-51.0,0.48416263
326,-103.0,1.363636
327,234.0,
328,234.0,3.9000142
329,234.0,
330,102.0,0.6249994
331,225.0,
332,149.0,
333,125.0,0.5151503
334,198.0,0.41538677
335,74.0,0.21654506
336,229.0,0.77777725
337,177.0,0.46067375
338,232.0,
339,232.0,0.43157864
340,11.0,
341,232.0,0.2207792
342,103.0,0.06122452
343,169.0,1.1836718
344,236.0,1.2857133
345,236.0,0.23502338
346,146.0,0.16923025
347,106.0,0.44067702
348,194.0,0.22123894
349,146.0,0.13191524
350,102.0,0.07207229
351,10.0,
352,239.0,
353,134.0,
354,-237.0,0.4017092
355,49.0,
356,49.0,
357,104.0,
358,52.0,
359,-58.0,0.04819261
360,-14.0,1.1746029
361,-206.0,0.23278661
362,-25.0,0.18767545
363,-202.0,0.15458976
364,-178.0,0.22419934
365,-214.0,0.14133325
366,22.0,0.21183506
367,99.0,
368,43.0,
369,43.0,0.61302185
370,-50.0,0.2423394
371,36.0,
372,-182.0,0.3984378
373,-30.0,0.32824555
374,-158.0,0.26209685
375,45.0,2.2612119
376,41.0,
377,42.0,
378,-49.0,0.78894407
379,-25.0,1.4780471
380,-198.0,
381,22.0,0.8755796
382,-37.0,
383,-42.0,
384,-163.0,
385,-200.0,0.42643368
386,-231.0,0.46715242
387,-67.0,0.21232921
388,-183.0,0.09462902
389,22.0,0.30097067
390,74.0,0.2134831
391,-51.0,0.09090951
392,-170.0,0.073955
393,39.0,0.094293274
394,-200.0,0.16795038
395,-3.0,
396,-225.0,
397,117.0,0.17647028
398,-21.0,
399,185.0,0.3403498
400,-185.0,0.27744472
401,-182.0,0.0064239693
402,-217.0,0.112271726
403,-21.0,
404,-235.0,0.8951142
405,-220.0,0.5386302
406,-44.0,1.0801554
407,-184.0,0.59193367
408,-142.0,1.0853258
409,-221.0,0.5768783
410,8.0,
411,24.0,1.6666644
412,96.0,0.29032156
413,11.0,
414,230.0,0.45762715
415,237.0,
416,239.0,
417,197.0,
418,193.0,
419,141.0,
420,18.0,
421,78.0,
422,-20.0,
423,76.0,
424,43.0,
425,41.0,
426,61.0,
427,42.0,
428,39.0,
429,65.0,1.1463417
430,29.0,
431,-23.0,
432,-59.0,0.38461682
433,-145.0,0.41732246
434,63.0,
435,34.0,
436,-146.0,0.12371081
437,32.0,
438,-135.0,1.1714276
439,-163.0,0.37777805
440,26.0,1.0196091
441,28.0,0.71428543
442,-131.0,0.56291413
443,7.0,0.46666718
444,24.0,
445,-162.0,
446,-233.0,
447,141.0,
448,95.0,0.4125425
449,127.0,
450,-16.0,0.10101012
451,92.0,
452,222.0,
453,-183.0,
454,225.0,
455,14.0,
456,-224.0,
457,-15.0,
458,23.0,
459,231.0,6.26318
460,227.0,
461,-152.0,
462,229.0,
463,232.0,
464,235.0,
465,10.0,
466,191.0,
467,239.0,
468,239.0,
469,230.0,
470,-114.0,0.12542361
471,-121.0,0.054830156
472,237.0,
473,-35.0,
474,237.0,
475,-20.0,0.8453046
476,-142.0,0.07024801
477,-239.0,0.025089594
478,222.0,
479,237.0,0.739836
480,237.0,
481,17.0,1.5486729
482,-231.0,0.19806658
483,234.0,
484,233.0,
485,237.0,
486,51.0,
487,218.0,
488,24.0,
489,44.0,
490,221.0,
491,-103.0,0.002433092
492,-93.0,0.32575637
493,-17.0,0.33891293
494,-125.0,2.6705897
495,202.0,
496,-90.0,
497,22.0,0.7383175
498,-171.0,
499,-84.0,
500,40.0,
501,238.0,
502,94.0,
503,177.0,1.6936936
504,225.0,
505,-232.0,
506,58.0,
507,-61.0,0.8723407
508,-32.0,1.6597952
509,-49.0,0.7251165
510,57.0,
511,235.0,
512,235.0,0.6026198
513,-172.0,0.18475035
514,-138.0,0.74193627
515,75.0,0.8341012
516,-205.0,0.23510917
517,-71.0,0.053291734
518,-58.0,
519,75.0,0.086876154
520,230.0,0.3043482
521,-59.0,
522,203.0,0.7886169
523,-48.0,0.15021421
524,-68.0,
525,-59.0,1.0142854
526,-62.0,1.0430127
527,-4.0,
528,-71.0,
529,-31.0,
530,48.0,0.019230751
531,-20.0,0.29545397
532,-19.0,1.0122448
533,237.0,
534,-175.0,
535,25.0,
536,133.0,
537,-68.0,0.2753624
538,67.0,
539,66.0,
540,232.0,
541,-223.0,
542,-232.0,0.09618326
543,-145.0,1.4581007
544,-54.0,0.15625034
545,-47.0,1.6915911
546,149.0,2.1081064
547,-62.0,2.7142828
548,216.0,2.3565216
549,175.0,
550,-52.0,2.480523
551,-51.0,5.040846
552,-21.0,0.72857136
553,134.0,
554,110.0,
555,53.0,
556,74.0,
557,-93.0,
558,-38.0,0.39593732
559,-53.0,0.07407419
560,-47.0,0.0048780534
561,-47.0,0.002544532
562,18.0,0.813334
563,-13.0,0.049586702
564,-18.0,0.028846158
565,215.0,
566,217.0,0.31361023
567,-55.0,0.022653727
568,58.0,0.74719185
569,-39.0,0.286195
570,230.0,
571,53.0,
572,-30.0,3.3544328
573,240.0,
574,240.0,
575,159.0,2.4789846
576,-38.0,0.105154626
577,-41.0,0.808219
578,-19.0,0.170603
579,-30.0,0.09387706
580,-35.0,
581,-5.0,
582,-79.0,
583,-218.0,
584,-18.0,
585,-80.0,
586,-169.0,0.61952674
587,-28.0,0.35227263
588,113.0,
589,-29.0,0.34156367
590,-29.0,0.5374144
591,116.0,
592,-25.0,0.46118712
593,104.0,1.1428572
594,219.0,0.2830182
595,139.0,
596,22.0,0.86516863
597,-30.0,2.8297884
598,104.0,0.4559998
599,-170.0,
600,6.0,
601,217.0,
602,209.0,
603,108.0,1.1805043
604,-15.0,0.034653522
605,-14.0,0.26153865
606,86.0,0.081760995
607,15.0,3.8118908
608,-157.0,
609,70.0,1.0465115
610,-21.0,0.52715766
611,-125.0,
612,-21.0,0.032911457
613,5.0,1.1411759
614,206.0,
615,12.0,
616,17.0,
617,235.0,
618,206.0,
619,8.0,0.3260861
620,158.0,
621,-32.0,2.0518556
622,98.0,0.773195
623,194.0,2.7931085
624,200.0,
625,4.0,0.7971699
626,157.0,
627,103.0,
628,146.0,
629,102.0,0.57142913
630,14.0,
631,17.0,
632,-50.0,0.0503401
633,108.0,3.9091
634,-102.0,0.044363443
635,143.0,
636,95.0,
637,98.0,
638,102.0,
639,95.0,
640,101.0,
641,110.0,
642,93.0,
643,71.0,
644,21.0,
645,95.0,
646,101.0,
647,100.0,
648,93.0,
649,93.0,
650,70.0,
651,-38.0,0.6181811
652,-8.0,
653,140.0,
654,-23.0,
655,2.0,
656,92.0,
657,-22.0,0.8106972
658,-24.0,
659,74.0,
660,90.0,
661,90.0,
662,-52.0,0.34156328
663,47.0,
664,92.0,
665,45.0,
666,25.0,
667,-217.0,0.18380089
668,-12.0,0.115596324
669,-223.0,
670,-10.0,0.12802778
671,-46.0,0.08461489
672,116.0,0.9423488
673,-223.0,0.089783125
674,-38.0,0.031141896
675,211.0,0.050458744
676,-53.0,1.6075116
677,-12.0,1.53409
678,79.0,
679,-6.0,
680,-6.0,0.34634158
681,191.0,
682,-228.0,0.27380985
683,-12.0,
684,-7.0,0.2704408
685,-227.0,1.0454557
686,25.0,2.7142885
687,23.0,1.0
688,68.0,
689,-30.0,0.29333296
690,-235.0,0.16030598
691,26.0,0.1250007
692,23.0,0.036764678
693,-5.0,0.40762484
694,74.0,
695,28.0,
696,28.0,
697,85.0,
698,73.0,
699,83.0,
700,-201.0,0.283785
701,2.0,
702,-9.0,
703,-236.0,
704,-235.0,
705,50.0,1.1134747
706,-24.0,0.12607418
707,-231.0,
708,23.0,
709,-119.0,0.77254593
710,-12.0,0.035222072
711,-9.0,0.73611104
712,237.0,
713,237.0,
714,22.0,
715,24.0,
716,237.0,
717,75.0,
718,-238.0,0.6124551
719,-26.0,1.1371825
720,-238.0,1.0703512
721,-238.0,0.68376124
722,72.0,
723,20.0,
724,20.0,1.0277779
725,229.0,4.0894394
726,240.0,
727,220.0,
728,219.0,0.147485
729,-62.0,0.043026723
730,157.0,3.1215463
731,-77.0,0.09076819
732,219.0,0.07153309
733,-17.0,
734,-231.0,1.3597122
735,-220.0,0.24170703
736,-231.0,0.24901123
737,-29.0,0.78285646
738,-223.0,0.24077249
739,-8.0,1.0819674
740,-223.0,0.410628
741,-237.0,0.19133519
742,-237.0,0.2170823
743,83.0,
744,232.0,
745,10.0,
746,-225.0,1.4137921
747,-226.0,0.3807104
