trade_id,local_peaks_count,monotonicity_ratio_in_profit
AUD_CAD_2010-03-11 20:00:00,3,0.5
AUD_CAD_2011-02-21 12:00:00,0,
AUD_CAD_2012-06-11 00:00:00,18,0.6153846153846154
AUD_CAD_2015-08-18 12:00:00,5,0.5
AUD_CAD_2017-10-18 00:00:00,0,0.0
AUD_CAD_2017-10-27 20:00:00,11,0.46153846153846156
AUD_CAD_2019-02-27 08:00:00,0,
AUD_CAD_2019-03-20 16:00:00,8,0.5
AUD_CAD_2019-07-17 08:00:00,2,1.0
AUD_CAD_2019-09-05 08:00:00,15,0.5609756097560976
AUD_CAD_2020-05-28 20:00:00,12,0.5909090909090909
AUD_CAD_2021-02-15 12:00:00,16,0.5833333333333334
AUD_CAD_2021-02-16 12:00:00,11,0.5625
AUD_CAD_2023-10-03 04:00:00,0,
AUD_CAD_2025-08-12 08:00:00,6,0.42857142857142855
AUD_CAD_2025-08-27 08:00:00,8,0.4583333333333333
AUD_CHF_2010-03-31 08:00:00,0,
AUD_CHF_2010-05-17 00:00:00,1,0.0
AUD_CHF_2010-05-17 08:00:00,0,
AUD_CHF_2010-06-01 00:00:00,1,0.3333333333333333
AUD_CHF_2010-11-17 04:00:00,5,0.5714285714285714
AUD_CHF_2011-01-10 04:00:00,2,0.8571428571428571
AUD_CHF_2011-05-12 00:00:00,3,0.38461538461538464
AUD_CHF_2012-10-30 12:00:00,7,0.6875
AUD_CHF_2014-01-09 04:00:00,6,0.5833333333333334
AUD_CHF_2014-11-11 04:00:00,7,0.5625
AUD_CHF_2017-04-18 04:00:00,0,
AUD_CHF_2017-08-18 20:00:00,3,0.5833333333333334
AUD_CHF_2017-12-18 20:00:00,15,0.625
AUD_CHF_2018-05-01 08:00:00,12,0.5555555555555556
AUD_CHF_2018-07-16 12:00:00,0,
AUD_CHF_2018-07-16 16:00:00,2,1.0
AUD_CHF_2018-10-02 20:00:00,1,
AUD_CHF_2018-10-16 08:00:00,7,0.6666666666666666
AUD_CHF_2019-02-27 08:00:00,2,
AUD_CHF_2019-05-01 08:00:00,0,
AUD_CHF_2020-06-17 20:00:00,6,0.5882352941176471
AUD_CHF_2020-11-09 08:00:00,5,0.42105263157894735
AUD_CHF_2021-04-02 08:00:00,3,0.5
AUD_CHF_2021-06-29 04:00:00,0,
AUD_CHF_2022-08-15 08:00:00,0,
AUD_CHF_2023-03-21 08:00:00,0,
AUD_CHF_2023-05-11 12:00:00,0,
AUD_CHF_2023-05-17 20:00:00,4,0.875
AUD_CHF_2024-09-13 20:00:00,0,0.3333333333333333
AUD_CHF_2024-10-11 20:00:00,6,0.5333333333333333
AUD_CHF_2025-04-28 16:00:00,2,0.6666666666666666
AUD_JPY_2012-01-05 20:00:00,1,0.0
AUD_JPY_2012-01-13 00:00:00,12,0.5945945945945946
AUD_JPY_2012-09-19 12:00:00,0,0.5
AUD_JPY_2013-05-07 04:00:00,0,1.0
AUD_JPY_2013-12-11 08:00:00,0,
AUD_JPY_2014-07-25 16:00:00,8,0.5454545454545454
AUD_JPY_2015-02-27 12:00:00,3,0.5588235294117647
AUD_JPY_2015-11-13 20:00:00,10,0.5294117647058824
AUD_JPY_2017-01-05 00:00:00,0,0.25
AUD_JPY_2018-07-11 20:00:00,2,0.6666666666666666
AUD_JPY_2018-08-29 08:00:00,3,0.8
AUD_JPY_2018-08-30 04:00:00,0,0.0
AUD_JPY_2020-09-14 08:00:00,4,0.3333333333333333
AUD_JPY_2021-04-02 08:00:00,4,0.5333333333333333
AUD_JPY_2021-04-19 00:00:00,5,0.625
AUD_JPY_2021-04-19 16:00:00,3,0.6
AUD_JPY_2021-09-29 12:00:00,3,1.0
AUD_JPY_2022-02-18 16:00:00,11,0.5263157894736842
AUD_JPY_2024-04-03 00:00:00,8,0.6666666666666666
AUD_JPY_2024-06-14 08:00:00,46,0.6422018348623854
AUD_JPY_2025-03-19 20:00:00,0,
AUD_JPY_2025-04-28 16:00:00,10,0.6666666666666666
AUD_NZD_2010-04-16 08:00:00,1,0.0
AUD_NZD_2010-04-21 20:00:00,0,1.0
AUD_NZD_2010-06-11 08:00:00,1,1.0
AUD_NZD_2013-06-05 00:00:00,1,1.0
AUD_NZD_2013-06-26 12:00:00,2,0.5
AUD_NZD_2014-03-27 04:00:00,4,0.75
AUD_NZD_2016-07-20 04:00:00,5,0.5
AUD_NZD_2016-11-16 08:00:00,0,
AUD_NZD_2019-10-15 20:00:00,1,0.6666666666666666
AUD_NZD_2020-07-20 08:00:00,6,0.6111111111111112
AUD_NZD_2022-07-20 04:00:00,17,0.5384615384615384
AUD_NZD_2023-08-25 20:00:00,9,0.4074074074074074
