percentile,fwd_mfe_h240_R,final_r
1,0.6186032104492187,-3.03271981716156
5,0.9545037686824799,-2.4761159896850584
10,1.0957535028457641,-1.9592719554901123
20,1.446856999397278,-1.4785510540008544
30,1.7168279528617858,-1.1492086052894592
40,2.1597589015960694,-1.0904846668243409
50,2.617227554321289,-0.908721536397934
60,3.0837519168853755,-0.6910992026329041
70,3.6350414991378766,-0.42722756862640443
80,4.741183853149417,0.265792864561081
90,6.401750087738037,0.959839379787445
95,8.078102731704707,1.5955832958221434
99,9.49651978492737,3.2878682661056526
