trade_id,archetype_id
0,2
1,2
2,2
3,0
4,2
5,2
6,0
7,0
8,2
9,2
10,2
11,1
12,1
13,1
14,2
15,1
16,1
17,2
18,1
19,2
20,0
21,0
22,0
23,0
24,0
25,2
26,0
27,2
28,2
29,1
30,1
31,2
32,1
33,1
34,2
35,1
36,1
37,0
38,2
39,2
40,2
41,2
42,0
43,0
44,2
45,2
46,2
47,2
48,2
49,2
50,1
51,0
52,2
53,1
54,2
55,2
56,1
57,0
58,2
59,2
60,1
61,2
62,1
63,2
64,1
65,1
66,2
67,2
68,2
69,0
70,2
71,2
72,2
73,2
74,0
75,2
76,2
77,0
78,0
79,1
80,1
81,1
82,2
83,2
84,1
85,2
86,0
87,0
88,2
89,0
90,2
91,1
92,2
93,2
94,1
95,2
96,0
97,0
98,0
99,1
100,2
101,2
102,0
103,2
104,1
105,1
106,1
107,1
108,1
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,1
117,2
118,1
119,2
120,1
121,2
122,2
123,1
124,2
125,1
126,1
127,0
128,1
129,1
130,1
131,2
132,2
133,1
134,0
135,2
136,2
137,2
138,1
139,2
140,1
141,1
142,1
143,2
144,0
145,1
146,2
147,2
148,2
149,1
150,2
151,1
152,1
153,2
154,2
155,0
156,0
157,0
158,0
159,2
160,0
161,2
162,0
163,2
164,0
165,1
166,1
167,1
168,2
169,2
170,2
171,2
172,2
173,0
174,2
175,0
176,2
177,2
178,1
179,1
180,1
181,2
182,2
183,1
184,1
185,0
186,2
187,0
188,2
189,0
190,1
191,1
192,2
193,0
194,2
195,2
196,1
197,2
198,2
199,2
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,2
208,1
209,2
210,2
211,0
212,0
213,2
214,2
215,2
216,2
217,2
218,2
219,0
220,2
221,1
222,2
223,1
224,0
225,2
226,2
227,2
228,2
229,1
230,1
231,1
232,1
233,2
234,0
235,2
236,0
237,0
238,0
239,2
240,2
241,2
242,2
243,1
244,2
245,1
246,1
247,1
248,1
249,2
250,1
251,2
252,2
253,2
254,1
255,1
256,1
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,0
265,1
266,2
267,1
268,0
269,0
270,2
271,2
272,2
273,2
274,1
275,1
276,1
277,1
278,2
279,1
280,2
281,2
282,1
283,2
284,1
285,2
286,1
287,1
288,1
289,2
290,2
291,2
292,2
293,1
294,2
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,2
303,2
304,2
305,1
306,2
307,2
308,0
309,0
310,2
311,2
312,1
313,2
314,0
315,0
316,2
317,1
318,1
319,1
320,0
321,0
322,2
323,0
324,2
325,2
326,2
327,2
328,1
329,1
330,2
331,2
332,0
333,1
334,2
335,0
336,0
337,2
338,1
339,1
340,1
341,2
342,0
343,2
344,2
345,1
346,1
347,2
348,2
349,0
350,0
351,0
352,2
353,0
354,2
355,0
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,0
369,0
370,2
371,1
372,2
373,1
374,1
375,1
376,2
377,2
378,2
379,2
380,2
381,2
382,1
383,2
384,2
385,2
386,1
387,2
388,2
389,1
390,1
391,2
392,1
393,1
394,2
395,2
396,1
397,2
398,2
399,1
400,1
401,2
402,2
403,2
404,2
405,0
406,0
407,0
408,2
409,1
410,1
411,2
412,2
413,2
414,1
415,2
416,1
417,0
418,2
419,1
420,1
421,1
422,2
423,2
424,1
425,1
426,1
427,2
428,2
429,2
430,1
431,2
432,2
433,1
434,2
435,0
436,1
437,2
438,0
439,2
440,2
441,2
442,2
443,2
444,2
445,1
446,2
447,1
448,1
449,1
450,1
451,1
452,1
453,2
454,2
455,2
456,0
457,1
458,1
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,1
468,2
469,2
470,1
471,2
472,2
473,2
474,0
475,1
476,1
477,2
478,2
479,2
480,1
481,1
482,2
483,1
484,2
485,2
486,2
487,2
488,0
489,2
490,2
491,1
492,0
493,1
494,1
495,0
496,2
497,1
498,2
499,1
500,1
501,0
502,1
503,0
504,1
505,2
506,0
507,1
508,2
509,1
510,2
511,2
512,2
513,1
514,2
515,2
516,0
517,0
518,1
519,1
520,0
521,1
522,0
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,1
533,2
534,2
535,0
536,1
537,1
538,1
539,1
540,2
541,1
542,1
543,2
544,2
