percentile,fwd_mfe_h240_R,final_r
1,1.3281561613082886,-0.11660411000251769
5,2.1235618710517885,0.12508197836577892
10,2.624130868911743,0.25648998469114304
20,3.305636262893677,0.9025767207145691
30,4.143765068054199,1.364907169342041
40,4.545785713195801,1.7807600259780885
50,5.25957727432251,2.1884413957595825
60,5.928165817260742,2.3997185707092283
70,6.579894924163818,2.8953247547149656
80,7.897921943664551,3.462506723403931
90,10.357133007049562,4.2657925605773945
95,13.716149377822875,5.413053655624388
99,16.591543979644776,8.518974509239193
