dataset,K,target_id,target_kind,archetype_ids_in_target,exit_family_tag,target_size,n_total,n_features_used,auc_logistic_expanded_mean,auc_logistic_expanded_std,auc_rf_expanded_mean,auc_rf_expanded_std,auc_logistic_baseline,lift_logistic_expanded_vs_baseline,lift_rf_expanded_vs_baseline
arc2,3,arch_0,archetype,0,mixed,772,3993,38,0.5382355613506103,0.02898515167035349,0.5788291028956319,0.012477591303435653,0.5113764942001815,0.02685906715042885,0.06745260869545044
arc2,4,arch_2,archetype,2,mixed,765,3993,38,0.5315356943811116,0.024727820685383838,0.5759593766387126,0.026754795580520064,0.502193764410669,0.029341929970442604,0.07376561222804356
arc2,5,arch_1,archetype,1,mixed,621,3993,38,0.5266051370409367,0.017739070522451657,0.5545109274681017,0.016221171390953117,0.4988691525832331,0.02773598445770359,0.0556417748848686
arc2,6,arch_2,archetype,2,mixed,604,3993,38,0.5262581112661593,0.012988561456915957,0.5547803152047719,0.021704393989318334,0.4928734763353592,0.03338463493080007,0.06190683886941267
arc2,7,arch_2,archetype,2,mixed,585,3993,38,0.5335612697556708,0.01853950960731937,0.5679157678305042,0.011168586386671972,0.5043230702318382,0.029238199523832553,0.06359269759866604
kh24,3,arch_1,archetype,1,stepwise_lock,270,540,24,0.57119341563786,0.0370634463584127,0.5339506172839507,0.03200380475874675,0.562482853223594,0.008710562414265932,-0.02853223593964338
kh24,4,arch_1,archetype,1,untradeable,215,540,24,0.5501252236135957,0.024774003230708493,0.5266547406082289,0.05216649363008697,0.5690161001788908,-0.01889087656529509,-0.042361359570661894
kh24,4,arch_3,archetype,3,stepwise_lock,70,540,24,0.664741641337386,0.06954676966735657,0.6420972644376899,0.033836354458599865,0.5693009118541034,0.09544072948328264,0.07279635258358652
kh24,5,arch_3,archetype,3,stepwise_lock,66,540,24,0.6614273408562321,0.04018663511428468,0.6170947417643946,0.0369063273470627,0.5638177276251184,0.09760961323111372,0.05327701413927621
kh24,5,arch_4,archetype,4,mixed,147,540,24,0.5324230825191105,0.056611988299094154,0.5360475215167491,0.06070410686944959,0.5355676056810933,-0.0031445231619827707,0.00047991583565576423
kh24,6,arch_2,archetype,2,stepwise_lock,65,540,24,0.64,0.07712583548443584,0.6145748987854251,0.0650883222878056,0.571336032388664,0.06866396761133597,0.04323886639676111
kh24,6,arch_4,archetype,4,stepwise_lock,133,540,24,0.52202302364904,0.057532787931215745,0.5140279289782451,0.019940658978303397,0.5556327214111014,-0.03360969776206146,-0.04160479243285631
kh24,7,arch_1,archetype,1,stepwise_lock,131,540,24,0.5136431291505065,0.04861493069028891,0.5026794438568001,0.019701791276289533,0.5382015594451607,-0.02455843029465421,-0.0355221155883606
kh24,7,arch_3,archetype,3,mixed,59,540,24,0.6555837043111528,0.05207856143929198,0.6515597339373113,0.033102634467605294,0.5505209960429033,0.10506270826824948,0.10103873789440798
kh24,6,group_stepwise_lock,group,"2,4",stepwise_lock,198,540,24,0.5508592366712571,0.02711309625803142,0.5536611143900146,0.048085159139627145,0.5394729435809998,0.011386293090257293,0.0141881708090148
