trade_id,pair,entry_time,n_bars,terminal_peak_poolR,prepeak_maxdip_poolR,fulllife_mae_poolR,t_to_peak,t_to_mae,close_N0_poolR,mfe_N0_poolR,mae_N0_poolR,close_N1_poolR,mfe_N1_poolR,mae_N1_poolR,close_N2_poolR,mfe_N2_poolR,mae_N2_poolR,close_N3_poolR,mfe_N3_poolR,mae_N3_poolR,close_N5_poolR,mfe_N5_poolR,mae_N5_poolR,close_N8_poolR,mfe_N8_poolR,mae_N8_poolR,realized_honest_sl2.5,realized_replay_sl2.5,realized_honest_sl3.0,realized_replay_sl3.0,realized_honest_sl3.5,realized_replay_sl3.5,realized_honest_sl4.0,realized_replay_sl4.0,realized_depR,realized_replay_depR,terminal_peak_atr,terminal_peak_depR,prepeak_maxdip_atr,prepeak_maxdip_depR,fulllife_mae_atr,fulllife_mae_depR,close_N0_depR,close_N0_atr,mfe_N0_depR,mfe_N0_atr,mae_N0_depR,mae_N0_atr,close_N1_depR,close_N1_atr,mfe_N1_depR,mfe_N1_atr,mae_N1_depR,mae_N1_atr,close_N2_depR,close_N2_atr,mfe_N2_depR,mfe_N2_atr,mae_N2_depR,mae_N2_atr,close_N3_depR,close_N3_atr,mfe_N3_depR,mfe_N3_atr,mae_N3_depR,mae_N3_atr,close_N5_depR,close_N5_atr,mfe_N5_depR,mfe_N5_atr,mae_N5_depR,mae_N5_atr,close_N8_depR,close_N8_atr,mfe_N8_depR,mfe_N8_atr,mae_N8_depR,mae_N8_atr,realized_atr,realized_bucket,peak_atr_bucket
1,GBPJPY,2010-01-22 08:00:00+00:00,241,0.1758997900024408,-1.2745969398637678,-8.09950879195812,11,162,-0.6900684069326193,0.094715271539777,-0.6927745575480388,-0.9390342635514344,0.094715271539777,-1.2258862287861696,-1.1744693670931516,0.094715271539777,-1.2258862287861696,-1.2096493250936369,0.094715271539777,-1.2745969398637678,-1.0175126313986786,0.094715271539777,-1.2745969398637678,-0.4816948095451129,0.094715271539777,-1.2745969398637678,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3517995800048816,0.10051416571568045,-2.5491938797275355,-0.7283411084935816,-16.19901758391624,-4.628290738261783,-0.3943248039614967,-1.3801368138652386,0.054123012308444,0.189430543079554,-0.39587117574173647,-1.3855491150960777,-0.5365910077436767,-1.8780685271028688,0.054123012308444,0.189430543079554,-0.7005064164492397,-2.451772457572339,-0.671125352624658,-2.3489387341863033,0.054123012308444,0.189430543079554,-0.7005064164492397,-2.451772457572339,-0.6912281857677924,-2.4192986501872737,0.054123012308444,0.189430543079554,-0.7283411084935816,-2.5491938797275355,-0.5814357893706735,-2.0350252627973573,0.054123012308444,0.189430543079554,-0.7283411084935816,-2.5491938797275355,-0.27525417688292164,-0.9633896190902258,0.054123012308444,0.189430543079554,-0.7283411084935816,-2.5491938797275355,-3.5,<0,<0.5R
2,GBPJPY,2010-01-28 08:00:00+00:00,241,0.12425670762154244,-0.3205823056635846,-7.442976786530403,0,137,-0.25845395185281334,0.12425670762154244,-0.3205823056635846,-0.9518063803810253,0.12425670762154244,-0.9667171852955968,-0.9890833926674824,0.12425670762154244,-1.1680130516425102,-1.0114496000393678,0.12425670762154244,-1.1854089907095104,-0.698322696833069,0.12425670762154244,-1.2624481494348814,-1.2823292226543241,0.12425670762154244,-1.3245765032456527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24851341524308487,0.07100383292659568,-0.6411646113271692,-0.18318988895061974,-14.885953573060807,-4.253129592303087,-0.1476879724873219,-0.5169079037056267,0.07100383292659568,0.24851341524308487,-0.18318988895061974,-0.6411646113271692,-0.5438893602177287,-1.9036127607620505,0.07100383292659568,0.24851341524308487,-0.5524098201689124,-1.9334343705911936,-0.5651905100957042,-1.9781667853349647,0.07100383292659568,0.24851341524308487,-0.6674360295100058,-2.3360261032850205,-0.5779712000224958,-2.0228992000787356,0.07100383292659568,0.24851341524308487,-0.6773765661197202,-2.370817981419021,-0.399041541047468,-1.396645393666138,0.07100383292659568,0.24851341524308487,-0.7213989425342179,-2.5248962988697627,-0.7327595558024709,-2.5646584453086483,0.07100383292659568,0.24851341524308487,-0.7569008589975158,-2.6491530064913054,-3.5,<0,<0.5R
3,AUDCAD,2010-01-29 20:00:00+00:00,241,0.07244678252998103,-0.5795742602399286,-2.9220202287095565,1,29,-0.14489356505998888,0.030186159387492095,-0.26563820260995724,-0.07244678252999444,0.07244678252998103,-0.5795742602399286,-0.4648668545674319,0.07244678252998103,-0.5795742602399286,-0.29582436199746276,0.07244678252998103,-0.5795742602399286,-0.3199732895074564,0.07244678252998103,-0.6520210427699097,-1.3040420855398058,0.07244678252998103,-1.4247867230897877,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14489356505996207,0.04139816144570344,-1.1591485204798573,-0.3311852915656735,-5.844040457419113,-1.6697258449768893,-0.0827963228914222,-0.28978713011997775,0.017249233935709766,0.06037231877498419,-0.15179325863426127,-0.5312764052199145,-0.0413981614457111,-0.14489356505998888,0.04139816144570344,0.14489356505996207,-0.3311852915656735,-1.1591485204798573,-0.26563820260996107,-0.9297337091348638,0.04139816144570344,0.14489356505996207,-0.3311852915656735,-1.1591485204798573,-0.16904249256997872,-0.5916487239949255,0.04139816144570344,0.14489356505996207,-0.3311852915656735,-1.1591485204798573,-0.1828418797185465,-0.6399465790149128,0.04139816144570344,0.14489356505996207,-0.37258345301137696,-1.3040420855398194,-0.7451669060227462,-2.6080841710796117,0.04139816144570344,0.14489356505996207,-0.814163841765593,-2.8495734461795754,-3.5,<0,<0.5R
4,GBPCHF,2010-02-08 00:00:00+00:00,241,1.1668906074235874,-1.3340868735619045,-6.823697611769556,26,216,0.16022975504920642,0.18461254386104756,-0.0592153442573329,-0.37270834326663504,0.1985455660392381,-0.5329380983158415,-0.4841725206921901,0.1985455660392381,-0.7001343644541586,-0.4040576431675714,0.1985455660392381,-0.7001343644541586,-0.5329380983158415,0.1985455660392381,-0.7001343644541586,-0.8394645862360792,0.1985455660392381,-1.0101441079189364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.333781214847175,0.6667946328134785,-2.668173747123809,-0.7623353563210882,-13.647395223539112,-3.899255778154032,0.09155986002811795,0.32045951009841284,0.10549288220631288,0.3692250877220951,-0.0338373395756188,-0.1184306885146658,-0.21297619615236288,-0.7454166865332701,0.1134546091652789,0.3970911320784762,-0.30453605618048085,-1.065876196631683,-0.2766700118241086,-0.9683450413843802,0.1134546091652789,0.3970911320784762,-0.4000767796880906,-1.400268728908317,-0.2308900818100408,-0.8081152863351428,0.1134546091652789,0.3970911320784762,-0.4000767796880906,-1.400268728908317,-0.30453605618048085,-1.065876196631683,0.1134546091652789,0.3970911320784762,-0.4000767796880906,-1.400268728908317,-0.47969404927775955,-1.6789291724721584,0.1134546091652789,0.3970911320784762,-0.5772252045251065,-2.0202882158378728,-3.5,<0,<0.5R
5,GBPAUD,2010-02-09 20:00:00+00:00,241,0.37121473281183914,-0.538565636948326,-10.187105946344579,3,127,-0.20690657238693116,0.01825646226943272,-0.4168558884854277,-0.06085487423145591,0.03651292453886544,-0.4168558884854277,-0.22212029094479854,0.042598411962009676,-0.4168558884854277,-0.49596722498630286,0.37121473281183914,-0.538565636948326,-0.8641392140865767,0.37121473281183914,-0.8793529326444305,-2.175561753774302,0.37121473281183914,-2.196860959755314,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7424294656236783,0.21212270446390807,-1.077131273896652,-0.3077517925419006,-20.374211892689157,-5.821203397911187,-0.11823232707824638,-0.41381314477386233,0.010432264153961554,0.03651292453886544,-0.23820336484881582,-0.8337117769708554,-0.034774213846546234,-0.12170974846291183,0.020864528307923107,0.07302584907773088,-0.23820336484881582,-0.8337117769708554,-0.12692588053988488,-0.4442405818895971,0.024341949692576956,0.08519682392401935,-0.23820336484881582,-0.8337117769708554,-0.2834098428493159,-0.9919344499726057,0.21212270446390807,0.7424294656236783,-0.3077517925419006,-1.077131273896652,-0.49379383662090093,-1.7282784281731534,0.21212270446390807,0.7424294656236783,-0.5024873900825316,-1.758705865288861,-1.2431781450138868,-4.351123507548604,0.21212270446390807,0.7424294656236783,-1.2553491198601794,-4.393721919510628,-3.5,<0,<0.5R
6,GBPCHF,2010-02-11 16:00:00+00:00,241,0.9261984497947159,-0.23795612346505907,-7.4718222768024,4,194,-0.16473885470657562,0.1610779912686441,-0.1683997181445071,-0.11348676657564856,0.1610779912686441,-0.21599094283750267,-0.22697353315128085,0.1610779912686441,-0.2306343965891961,0.4209992953612271,0.4612687931783922,-0.23795612346505907,0.4136775684853804,0.9261984497947159,-0.23795612346505907,0.23429526002711132,0.9261984497947159,-0.23795612346505907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.8523968995894318,0.5292562570255519,-0.47591224693011813,-0.13597492769431946,-14.9436445536048,-4.269612729601371,-0.09413648840375749,-0.32947770941315124,0.0920445664392252,0.3221559825372882,-0.09622841036828977,-0.3367994362890142,-0.0648495809003706,-0.22697353315129712,0.0920445664392252,0.3221559825372882,-0.12342339590714438,-0.43198188567500534,-0.1296991618007319,-0.4539470663025617,0.0920445664392252,0.3221559825372882,-0.13179108376525492,-0.4612687931783922,0.24057102592070118,0.8419985907224542,0.26358216753050984,0.9225375863567844,-0.13597492769431946,-0.47591224693011813,0.23638718199164593,0.8273551369707608,0.5292562570255519,1.8523968995894318,-0.13597492769431946,-0.47591224693011813,0.13388300572977788,0.46859052005422264,0.5292562570255519,1.8523968995894318,-0.13597492769431946,-0.47591224693011813,-3.5,<0,<0.5R
7,GBPNZD,2010-02-11 16:00:00+00:00,241,0.7963865168873516,-0.31812758985581013,-6.396713149047062,4,190,-0.14518574570601112,0.0832682953313826,-0.31812758985581013,0.39712571619584947,0.43769232161370497,-0.31812758985581013,0.2626153929682154,0.4611782510661496,-0.31812758985581013,0.47398875804019824,0.5273658704321214,-0.31812758985581013,0.6042289122764701,0.7963865168873516,-0.31812758985581013,0.33093809682987774,0.7963865168873516,-0.31812758985581013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.5927730337747033,0.4550780096499152,-0.6362551797116203,-0.18178719420332007,-12.793426298094124,-3.655264656598321,-0.08296328326057778,-0.29037149141202223,0.047581883046504334,0.1665365906627652,-0.18178719420332007,-0.6362551797116203,0.22692898068334255,0.7942514323916989,0.25010989806497425,0.8753846432274099,-0.18178719420332007,-0.6362551797116203,0.15006593883898023,0.5252307859364308,0.2635304291806569,0.9223565021322992,-0.18178719420332007,-0.6362551797116203,0.27085071888011325,0.9479775160803965,0.3013519259612122,1.0547317408642427,-0.18178719420332007,-0.6362551797116203,0.34527366415798294,1.2084578245529403,0.4550780096499152,1.5927730337747033,-0.18178719420332007,-0.6362551797116203,0.18910748390278725,0.6618761936597555,0.4550780096499152,1.5927730337747033,-0.18178719420332007,-0.6362551797116203,-3.5,<0,<0.5R
8,EURNZD,2010-02-12 00:00:00+00:00,241,1.3733990692747726,-2.115546392423256,-4.7116402852760055,88,183,-0.16492162736632401,0.0,-0.24738244104949864,-0.5004518347667885,0.0,-0.5345735507736116,-0.3867127814107117,0.0,-0.9212863321843232,-0.02843476333903183,0.20757377237485913,-0.9212863321843232,-0.5004518347667885,0.20757377237485913,-0.9212863321843232,-0.5431039797753235,0.20757377237485913,-0.9212863321843232,-1.0,0.3339409821001127,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.7467981385495452,0.7847994681570128,-4.231092784846512,-1.208883652813289,-9.423280570552011,-2.6923658773005745,-0.09424092992361371,-0.32984325473264803,0.0,0.0,-0.1413613948854278,-0.49476488209899727,-0.2859724770095934,-1.000903669533577,0.0,0.0,-0.30547060044206376,-1.0691471015472231,-0.2209787322346924,-0.7734255628214234,0.0,0.0,-0.5264493326767561,-1.8425726643686464,-0.016248436193732473,-0.05686952667806366,0.11861358421420522,0.41514754474971827,-0.5264493326767561,-1.8425726643686464,-0.2859724770095934,-1.000903669533577,0.11861358421420522,0.41514754474971827,-0.5264493326767561,-1.8425726643686464,-0.3103451313001849,-1.086207959550647,0.11861358421420522,0.41514754474971827,-0.5264493326767561,-1.8425726643686464,-3.5,<0,<0.5R
9,EURGBP,2010-02-12 16:00:00+00:00,241,7.075137285329819,-0.6172938571092969,-0.6172938571092969,67,21,-0.17410852380006078,0.09496828570913204,-0.3561310714092144,-0.27699083331828567,0.09496828570913204,-0.5064975237819965,-0.1107963333273178,0.09496828570913204,-0.5064975237819965,-0.18993657141824652,0.09496828570913204,-0.5064975237819965,-0.4115292380728645,0.09496828570913204,-0.5064975237819965,-0.3561310714092144,0.09496828570913204,-0.5144115475910894,0.8323889999819429,0.8323889999819429,2.185687071336969,2.185687071336969,1.944874632574545,1.944874632574545,1.764265303502727,1.764265303502727,1.944874632574545,1.944874632574545,14.150274570659638,4.042935591617039,-1.2345877142185937,-0.3527393469195982,-1.2345877142185937,-0.3527393469195982,-0.09949058502860615,-0.34821704760012157,0.054267591833789736,0.1899365714182641,-0.20350346937669395,-0.7122621428184288,-0.15828047618187752,-0.5539816666365713,0.054267591833789736,0.1899365714182641,-0.2894271564468551,-1.012995047563993,-0.06331219047275302,-0.2215926666546356,0.054267591833789736,0.1899365714182641,-0.2894271564468551,-1.012995047563993,-0.10853518366756944,-0.37987314283649304,0.054267591833789736,0.1899365714182641,-0.2894271564468551,-1.012995047563993,-0.23515956461306542,-0.823058476145729,0.054267591833789736,0.1899365714182641,-0.2894271564468551,-1.012995047563993,-0.20350346937669395,-0.7122621428184288,0.054267591833789736,0.1899365714182641,-0.2939494557663368,-1.0288230951821788,6.807061214010908,1-2,1-2R
10,USDCAD,2010-02-12 16:00:00+00:00,241,1.208258700316602,-1.7882228764685737,-5.591821265065262,55,234,-0.48330348012665375,0.033831243608871985,-0.48330348012665375,-0.5123016889342491,0.033831243608871985,-0.5509659673443763,-0.4494722365178032,0.033831243608871985,-0.5509659673443763,-0.48813651492793037,0.033831243608871985,-0.5509659673443763,-0.7926177074076924,0.033831243608871985,-0.8022837770102457,-0.5847972109532482,0.033831243608871985,-0.8989444730355635,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.416517400633204,0.6904335430380583,-3.5764457529371474,-1.0218416436963278,-11.183642530130523,-3.1953264371801495,-0.2761734172152307,-0.9666069602533075,0.019332139205069706,0.06766248721774397,-0.2761734172152307,-0.9666069602533075,-0.2927438222481423,-1.0246033778684982,0.019332139205069706,0.06766248721774397,-0.31483769562535785,-1.1019319346887526,-0.25684127801017326,-0.8989444730356064,0.019332139205069706,0.06766248721774397,-0.31483769562535785,-1.1019319346887526,-0.2789351513873888,-0.9762730298558607,0.019332139205069706,0.06766248721774397,-0.31483769562535785,-1.1019319346887526,-0.4529244042329671,-1.5852354148153849,0.019332139205069706,0.06766248721774397,-0.4584478725772832,-1.6045675540204913,-0.33416983483042756,-1.1695944219064964,0.019332139205069706,0.06766248721774397,-0.513682556020322,-1.797888946071127,-3.5,<0,<0.5R
