trade_id,pair,fold,sl_bar,partial_bar,replay_realized_r,slhonest_realized_r,delta_r,replay_booked_win
13,USDCHF,1,49,235,0.1339064868426495,-1.0,-1.1339064868426494,1
21,AUDUSD,1,22,83,0.715703359584063,-1.0,-1.715703359584063,1
33,AUDJPY,1,22,80,0.4845892492430155,-1.0,-1.4845892492430155,1
34,USDJPY,1,19,80,0.6462496984074918,-1.0,-1.646249698407492,1
35,CADJPY,1,1,33,0.2041573407455428,-1.0,-1.2041573407455428,1
48,GBPNZD,1,12,138,0.2550758200220691,-1.0,-1.255075820022069,1
52,EURCHF,1,14,78,1.5438045543148746,-1.0,-2.5438045543148746,1
57,GBPCHF,1,2,108,0.6320266312771039,-1.0,-1.632026631277104,1
61,GBPCAD,1,18,222,0.2880218546500441,-1.0,-1.2880218546500442,1
67,EURAUD,1,44,124,0.8769494897764816,-1.0,-1.8769494897764816,1
68,EURUSD,1,6,59,0.5918138103167611,-1.0,-1.591813810316761,1
69,EURNZD,1,25,187,0.5088034155036333,-1.0,-1.5088034155036332,1
84,GBPAUD,1,7,42,1.6989560574265914,-1.0,-2.6989560574265914,1
87,AUDNZD,1,37,159,0.1939603746835219,-1.0,-1.193960374683522,1
89,EURJPY,1,2,43,0.925169747078242,-1.0,-1.9251697470782418,1
90,GBPJPY,1,11,124,0.7295310697846911,-1.0,-1.729531069784691,1
96,USDCAD,1,74,172,0.5092335272759686,-1.0,-1.5092335272759687,1
106,EURGBP,1,45,223,1.4097886825781578,-1.0,-2.409788682578158,1
108,NZDCAD,1,32,205,0.2310027513537946,-1.0,-1.2310027513537947,1
113,AUDUSD,1,55,98,0.296249089965912,-1.0,-1.296249089965912,1
115,CHFJPY,1,37,134,0.2387387011397586,-1.0,-1.2387387011397586,1
116,EURCAD,1,14,73,0.5447648887926835,-1.0,-1.5447648887926835,1
118,AUDCHF,1,36,116,0.7353940639933689,-1.0,-1.735394063993369,1
120,EURNZD,1,83,156,1.1031472182110127,-1.0,-2.1031472182110127,1
123,AUDUSD,1,23,54,2.5014135302945504,-1.0,-3.5014135302945504,1
128,EURCAD,1,11,53,2.506359673905377,-1.0,-3.506359673905377,1
130,USDJPY,1,26,27,0.9555404379402476,-1.0,-1.9555404379402477,1
132,NZDCAD,1,11,103,0.2286280739917869,-1.0,-1.228628073991787,1
140,GBPJPY,1,33,209,0.2694699788171448,-1.0,-1.2694699788171449,1
141,CADJPY,1,58,235,0.2422704939093203,-1.0,-1.2422704939093203,1
165,AUDNZD,1,9,177,0.2185058320002404,-1.0,-1.2185058320002404,1
171,AUDCAD,1,46,146,0.6870059850562731,-1.0,-1.687005985056273,1
174,AUDUSD,1,17,86,1.0910584578896696,-1.0,-2.0910584578896696,1
182,NZDUSD,1,14,117,0.5703134069404264,-1.0,-1.5703134069404263,1
188,CADCHF,1,7,137,0.5482992400807017,-1.0,-1.5482992400807016,1
189,EURCAD,1,49,150,1.0290937071012878,-1.0,-2.029093707101288,1
194,EURJPY,1,7,131,1.1479177338047566,-1.0,-2.1479177338047566,1
195,GBPNZD,1,16,119,0.5090805237820357,-1.0,-1.5090805237820357,1
196,CADJPY,1,19,47,0.8565012528001306,-1.0,-1.8565012528001306,1
197,USDJPY,1,7,56,0.482316383364446,-1.0,-1.482316383364446,1
201,AUDJPY,1,16,161,0.5099522421955247,-1.0,-1.5099522421955247,1
203,EURJPY,2,14,64,1.263335900516839,-1.0,-2.263335900516839,1
204,AUDJPY,2,22,187,0.5462374779921385,-1.0,-1.5462374779921384,1
209,AUDCHF,2,34,98,0.6403155526834451,-1.0,-1.640315552683445,1
210,AUDCHF,2,16,65,0.7941481706666151,-1.0,-1.7941481706666151,1
213,USDJPY,2,24,49,0.8255060400493239,-1.0,-1.825506040049324,1
217,EURUSD,2,10,58,1.079908779838797,-1.0,-2.0799087798387967,1
222,AUDJPY,2,6,152,2.7512599196628127,-1.0,-3.7512599196628127,1
223,GBPAUD,2,4,73,1.113414114274868,-1.0,-2.113414114274868,1
224,AUDJPY,2,58,129,2.571520578860087,-1.0,-3.571520578860087,1
226,AUDCAD,2,33,103,0.913872303349452,-1.0,-1.913872303349452,1
228,AUDCAD,2,10,58,0.9756228050933344,-1.0,-1.9756228050933344,1
229,AUDCHF,2,8,88,0.7942061024291875,-1.0,-1.7942061024291875,1
230,GBPJPY,2,10,80,1.686535851466498,-1.0,-2.6865358514664983,1
232,USDJPY,2,8,85,1.1441686271255325,-1.0,-2.1441686271255325,1
237,EURAUD,2,92,171,0.4482337238734902,-1.0,-1.4482337238734901,1
243,NZDJPY,2,72,188,0.546008757872576,-1.0,-1.5460087578725759,1
247,CHFJPY,2,99,165,0.2716035524377765,-1.0,-1.2716035524377765,1
250,NZDJPY,2,5,110,0.8155744069954596,-1.0,-1.8155744069954596,1
251,EURGBP,2,4,237,0.2944673368167755,-1.0,-1.2944673368167754,1
267,CADJPY,2,4,140,0.5674113241596752,-1.0,-1.5674113241596752,1
270,AUDUSD,2,73,101,0.5292000259420999,-1.0,-1.5292000259421,1
272,AUDCAD,2,154,204,0.8093897600766221,-1.0,-1.809389760076622,1
275,GBPAUD,2,60,222,2.606495350119391,-1.0,-3.606495350119391,1
278,AUDUSD,2,35,149,1.1337524561347787,-1.0,-2.1337524561347787,1
283,CADCHF,2,10,29,0.851645591859391,-1.0,-1.851645591859391,1
289,EURNZD,2,8,151,0.3132217440019874,-1.0,-1.3132217440019873,1
294,USDCAD,2,6,111,1.3609386588040475,-1.0,-2.3609386588040477,1
298,AUDCAD,2,17,60,1.010250191025735,-1.0,-2.010250191025735,1
306,NZDCHF,2,27,187,1.0625325512391142,-1.0,-2.062532551239114,1
307,GBPAUD,2,3,32,3.905569675905488,-1.0,-4.905569675905488,1
308,EURJPY,2,6,21,0.71603746787317,-1.0,-1.71603746787317,1
309,GBPJPY,2,6,21,1.0425616008496563,-1.0,-2.0425616008496563,1
315,GBPAUD,2,70,186,0.8322699391317809,-1.0,-1.832269939131781,1
320,EURAUD,2,8,123,0.4273397782188287,-1.0,-1.4273397782188286,1
329,AUDJPY,2,44,214,1.0059464978430115,-1.0,-2.0059464978430115,1
330,AUDUSD,2,44,202,0.8959001644740099,-1.0,-1.8959001644740099,1
333,CADJPY,2,44,213,0.7131984345103399,-1.0,-1.71319843451034,1
340,EURGBP,2,33,143,0.2914739581434323,-1.0,-1.2914739581434322,1
343,USDCHF,2,58,124,0.8401830503573953,-1.0,-1.8401830503573953,1
346,GBPNZD,2,49,73,1.549749180488833,-1.0,-2.549749180488833,1
347,CADCHF,2,32,102,0.775284166527864,-1.0,-1.775284166527864,1
348,USDCAD,2,5,155,0.7628995641941216,-1.0,-1.7628995641941216,1
349,USDCHF,2,5,109,0.7157318010191303,-1.0,-1.7157318010191303,1
350,GBPCHF,2,26,65,1.1402896912726714,-1.0,-2.140289691272671,1
351,NZDCHF,2,53,193,0.5752908197886236,-1.0,-1.5752908197886235,1
352,CADCHF,2,15,78,0.659293820106419,-1.0,-1.6592938201064191,1
360,NZDCHF,2,101,171,0.4885591234159905,-1.0,-1.4885591234159905,1
367,NZDCHF,2,11,75,0.613407497516985,-1.0,-1.613407497516985,1
369,AUDCHF,2,6,47,1.0672708853186323,-1.0,-2.0672708853186323,1
379,GBPUSD,2,75,217,0.1819965645940497,-1.0,-1.1819965645940498,1
383,USDJPY,2,8,202,0.2336416499865187,-1.0,-1.2336416499865188,1
389,CADCHF,3,6,220,0.8020071516426215,-1.0,-1.8020071516426215,1
407,EURCAD,3,12,36,1.1163898934668492,-1.0,-2.1163898934668492,1
413,AUDNZD,3,14,228,0.1777074164997645,-1.0,-1.1777074164997645,1
416,CADCHF,3,17,44,0.8700591280288255,-1.0,-1.8700591280288255,1
421,EURNZD,3,16,139,0.96460872936143,-1.0,-1.96460872936143,1
431,GBPNZD,3,17,40,3.465540829070114,-1.0,-4.465540829070115,1
441,AUDCHF,3,46,189,0.1181675633501269,-1.0,-1.118167563350127,1
444,AUDCAD,3,22,223,0.1125526719190005,-1.0,-1.1125526719190004,1
449,AUDCHF,3,25,60,0.7555008579320943,-1.0,-1.7555008579320943,1
450,NZDCHF,3,20,108,0.2586043106630752,-1.0,-1.2586043106630753,1
458,USDCHF,3,39,123,1.4322493083046384,-1.0,-2.4322493083046384,1
460,AUDNZD,3,15,149,1.1557658327118123,-1.0,-2.155765832711812,1
471,GBPJPY,3,53,168,0.6477201603892331,-1.0,-1.647720160389233,1
473,GBPJPY,3,27,141,0.6928276758764567,-1.0,-1.6928276758764567,1
481,GBPCAD,3,4,210,0.2100408888841793,-1.0,-1.2100408888841794,1
496,USDCAD,3,17,203,0.901199991135086,-1.0,-1.901199991135086,1
501,AUDCHF,3,44,205,0.5774522117711982,-1.0,-1.5774522117711982,1
505,AUDJPY,3,23,88,1.3403576148628558,-1.0,-2.3403576148628558,1
