pair,entry_date,exit_date,entry_price,exit_price,sl_price,trail_active,exit_reason,classification,bars_held,net_pnl,r_multiple,spread_pips_used,sl_distance_atr,d1_dist_ratio,d1_close_in_range,h1_last_bar_close_in_range,mae_final,mfe_final,mae_at_bar_3,mfe_at_bar_3,mae_at_bar_6,mfe_at_bar_6,first_bar_dir,kh13_mae_at_check,kh13_mfe_at_check,kh13_triggered,kh14_triggered,kh14_state2,atr_sized_down,trade_type,original_entry_price_ref,signal_spread_pips,spread_ratio,atr_abs,atr_ratio,d1_kijun_slope,session,concurrent_signals
AUD_USD,2010-02-18 20:00:00,2010-02-19 08:00:00,0.8922,0.88887,0.882759,False,kijun_d1,LOSS,2,-38.4507,-0.3527,3.0,2.0,0.20002819245084544,0.19662921348313958,,0.769,0.2775,0.769,0.2775,0.769,0.2775,-1,,,False,False,True,False,original,,3.0,1.67,0.00472,0.9,False,newyork,0
EUR_GBP,2010-02-23 16:00:00,2010-03-04 16:00:00,0.87593,0.90258,0.870192,True,trailing_stop,WIN,41,459.2002,4.6443,3.0,2.0,0.8285511238125398,0.4160447761194006,,0.352,13.1748,0.352,0.2091,0.352,1.7288,-1,0.352,0.2091,False,False,True,False,original,,1.6,0.94,0.002869,1.07,False,newyork,0
CAD_JPY,2010-03-04 04:00:00,2010-03-09 04:00:00,85.35,87.344,84.49159,True,trailing_stop,WIN,17,225.3003,2.3229,6.0,2.0,0.2987681173184496,0.4421593830334264,,0.0303,6.8336,0.0303,3.0312,0.0303,3.0358,1,0.0303,3.0312,False,False,False,False,original,,6.0,1.0,0.429205,0.85,False,tokyo,0
AUD_CAD,2010-03-11 20:00:00,2010-03-12 16:00:00,0.93664,0.930553,0.930553,False,stoploss,LOSS,4,-113.1428,-1.0,8.0,2.0,0.4141197338044167,0.3423236514522872,,2.0601,1.1106,0.2037,0.9594,2.0601,1.1106,-1,0.2037,0.9594,False,False,True,False,original,,8.0,1.6,0.003044,0.95,False,newyork,0
GBP_JPY,2010-03-19 04:00:00,2010-03-19 16:00:00,137.396,135.969188,135.969188,False,stoploss,LOSS,2,-103.9248,-1.0,5.6,2.0,0.0427613148067303,0.6144814090019555,0.1244541484716519,2.5007,0.5691,2.5007,0.5691,2.5007,0.5691,-1,2.5007,0.5691,False,True,True,False,original,,5.0,1.0,0.713406,0.91,False,tokyo,1
NZD_CHF,2010-03-19 04:00:00,2010-03-22 08:00:00,0.75217,0.745967,0.745967,False,stoploss,LOSS,6,-101.9346,-1.0,1.2,2.0,0.9276835712256699,0.5102040816326563,0.03095238095239801,2.5923,0.8415,0.7964,0.8415,1.3929,0.8415,1,0.7964,0.8415,False,False,False,False,original,,1.2,1.0,0.003101,1.0,True,tokyo,1
AUD_CHF,2010-03-31 08:00:00,2010-03-31 16:00:00,0.97135,0.964157,0.964157,False,stoploss,LOSS,1,-106.9515,-1.0,5.0,2.0,0.905860439808601,0.80749354005168,0.05405405405403378,2.3969,0.3281,2.3969,0.3281,2.3969,0.3281,-1,,,False,True,True,False,original,,5.0,1.0,0.003596,1.13,False,london,0
NZD_CAD,2010-04-13 12:00:00,2010-04-14 04:00:00,0.71398,0.71047,0.708357,False,kijun_d1,LOSS,3,-64.9167,-0.6243,1.4,2.0,0.2413177625352636,0.22259136212624145,0.08888888888889071,1.7145,0.281,1.7145,0.281,1.7145,0.281,-1,1.7145,0.281,True,True,True,False,original,,1.4,1.0,0.002811,1.08,False,london,0
EUR_USD,2010-04-15 08:00:00,2010-04-19 04:00:00,1.35366,1.34647,1.343671,False,kijun_d1,LOSS,10,-72.8823,-0.7198,0.9,2.0,0.8834720415743179,0.6686967113276625,0.2654545454545456,1.5718,0.9411,0.1922,0.9411,0.4645,0.9411,1,0.1922,0.9411,False,False,False,False,original,,1.0,1.0,0.004994,1.06,False,london,0
AUD_NZD,2010-04-16 08:00:00,2010-04-19 04:00:00,1.30382,1.295873,1.295873,False,stoploss,LOSS,4,-101.7616,-1.0,1.4,2.0,0.9023018621374875,0.7821637426900584,0.2110389610389758,2.046,0.9462,0.4631,0.9462,2.046,0.9462,1,0.4631,0.9462,False,False,False,False,original,,1.4,0.14,0.003974,1.01,False,london,0
AUD_NZD,2010-04-21 20:00:00,2010-04-23 04:00:00,1.30392,1.296314,1.296314,False,stoploss,LOSS,7,-126.2944,-1.0,20.0,2.0,0.5863594991046254,0.7997542997542981,0.21768707482986827,3.0843,0.6889,0.7362,0.6889,0.7362,0.6889,-1,0.7362,0.6889,False,False,True,False,original,,20.0,2.0,0.003803,0.93,False,newyork,0
EUR_JPY,2010-05-11 20:00:00,2010-05-12 08:00:00,117.068,117.188,114.033027,False,kijun_d1,WIN,2,3.1302,0.0395,2.5,2.0,0.038240692981715146,0.3043893129771012,0.09605911330049485,0.3361,0.3842,0.3361,0.3842,0.3361,0.3842,1,,,False,False,False,False,original,,2.2,0.96,1.517486,2.12,False,newyork,1
AUD_CHF,2010-05-17 00:00:00,2010-05-17 16:00:00,0.9977,0.987757,0.987757,False,stoploss,LOSS,3,-105.0288,-1.0,5.0,2.0,0.7837829051308656,0.7831325301204687,0.033591731266141046,2.2046,0.7503,0.3641,0.7503,2.2046,0.7503,1,0.3641,0.7503,False,False,False,False,original,,8.0,1.6,0.004971,1.28,True,tokyo,0
AUD_CHF,2010-05-17 08:00:00,2010-05-17 16:00:00,0.99751,0.98767,0.98767,False,stoploss,LOSS,1,-105.6913,-1.0,5.6,2.0,0.7837829051308656,0.7831325301204687,0.0,2.1891,0.0,2.1891,0.0,2.1891,0.0,-1,,,False,True,True,False,original,,5.0,1.0,0.00492,1.25,True,london,0
EUR_CAD,2010-05-24 08:00:00,2010-05-25 04:00:00,1.31206,1.31357,1.291972,False,kijun_d1,WIN,4,4.2812,0.0752,6.5,2.0,0.6161154352831049,0.3512413512413481,0.10166919575112879,0.5337,0.3385,0.5337,0.3385,0.5337,0.3385,-1,0.5337,0.3385,False,False,True,False,original,,6.5,1.04,0.010044,1.52,False,london,0
AUD_CHF,2010-06-01 00:00:00,2010-06-02 04:00:00,0.96936,0.96524,0.953774,False,kijun_d1,LOSS,6,-29.8353,-0.2643,5.3,2.0,0.3407695173610915,0.676132521974309,0.21119133574006915,1.4193,0.5608,0.512,0.5608,1.4193,0.5608,-1,0.512,0.5608,False,True,True,False,original,,8.3,1.66,0.007793,1.07,False,tokyo,0
AUD_NZD,2010-06-11 08:00:00,2010-06-14 04:00:00,1.23372,1.23419,1.223702,False,kijun_d1,WIN,4,-5.2905,0.0469,10.0,2.0,0.14756782987932052,0.9221435793730894,0.21524663677131028,1.2897,0.6249,1.2897,0.2136,1.2897,0.6249,-1,1.2897,0.2136,True,True,True,False,original,,10.0,1.0,0.005009,0.82,False,london,0
NZD_JPY,2010-06-15 04:00:00,2010-06-22 08:00:00,62.726,64.238,61.532972,True,trailing_stop,WIN,30,120.0307,1.2674,8.0,2.0,0.17111634733223574,0.3020637898686631,0.006153846153853621,0.0,4.2849,0.0,1.9362,0.0,2.0989,1,0.0,1.9362,False,False,False,False,original,,8.0,1.0,0.596514,0.78,False,tokyo,0
GBP_USD,2010-06-22 20:00:00,2010-06-25 12:00:00,1.48033,1.48815,1.467072,True,trailing_stop,WIN,15,57.1726,0.5898,2.4,2.0,0.915043324470241,0.11999999999999955,0.04651162790697434,0.0211,3.1211,0.0211,1.7831,0.0211,2.5509,1,0.0211,1.7831,False,False,False,False,original,,2.4,1.14,0.006629,0.95,False,newyork,0
GBP_JPY,2010-07-12 04:00:00,2010-07-13 04:00:00,133.421,133.469,132.063561,False,kijun_d1,WIN,5,-0.884,0.0354,6.0,2.0,0.06418888133169995,0.17363571934796307,0.01704545454545638,1.2892,0.4715,1.2892,0.4715,1.2892,0.4715,-1,1.2892,0.4715,True,True,True,False,original,,6.0,1.0,0.67872,0.92,False,tokyo,0
EUR_JPY,2010-07-19 16:00:00,2010-07-21 20:00:00,112.279,110.893535,110.893535,False,stoploss,LOSS,12,-101.8766,-1.0,2.6,2.0,0.9282722188800135,0.22573488630060848,0.2647887323943866,2.1827,1.5201,0.2223,1.1043,1.1953,1.5201,1,0.2223,1.1043,False,False,False,False,original,,2.6,1.13,0.692733,1.09,False,newyork,0
NZD_CAD,2010-08-10 20:00:00,2010-08-13 04:00:00,0.74449,0.74096,0.737347,False,kijun_d1,LOSS,13,-51.381,-0.4942,1.4,2.0,0.4924001320095348,0.16899224806202215,0.04999999999999445,1.8788,1.6968,0.8148,0.2296,0.8148,1.6968,-1,0.8148,0.2296,False,False,True,False,original,,1.4,1.0,0.003571,1.02,True,newyork,0
USD_CAD,2010-08-16 04:00:00,2010-08-18 04:00:00,1.03895,1.03239,1.030769,False,kijun_d1,LOSS,11,-82.3831,-0.8018,1.8,2.0,0.6374948931110962,0.768278965129366,0.16400000000001208,1.9948,1.8237,0.4645,1.8237,0.4645,1.8237,1,0.4645,1.8237,False,False,False,False,original,,2.1,1.17,0.004091,1.04,False,tokyo,0
GBP_USD,2010-08-18 12:00:00,2010-08-20 12:00:00,1.56204,1.549099,1.549099,False,stoploss,LOSS,11,-101.5455,-1.0,2.0,2.0,0.6131286765553335,0.15907498248072835,0.18750000000000636,2.411,0.7218,1.0942,0.0649,1.7356,0.7218,-1,1.0942,0.0649,True,True,True,False,original,,1.5,0.75,0.00647,1.18,True,london,0
NZD_CAD,2010-08-25 12:00:00,2010-08-26 04:00:00,0.74035,0.74107,0.733257,False,kijun_d1,WIN,3,8.1773,0.1015,1.4,2.0,0.03410848752764652,0.38816568047336875,0.18536585365850566,0.3666,0.9869,0.3666,0.9869,0.3666,0.9869,-1,0.3666,0.9869,False,False,True,False,original,,1.4,1.0,0.003546,0.99,False,london,0
CHF_JPY,2010-08-30 20:00:00,2010-09-02 04:00:00,82.383,82.802,81.485819,True,trailing_stop,WIN,13,37.785,0.467,8.0,2.0,0.8115859639949164,0.7276688453159018,0.01333333333320954,0.6888,3.0518,0.6888,1.1191,0.6888,1.7566,1,0.6888,1.1191,False,False,False,False,original,,8.0,2.0,0.448591,1.1,False,newyork,0
CHF_JPY,2010-08-31 16:00:00,2010-09-16 16:00:00,82.666,84.427,81.730296,True,trailing_stop,WIN,71,179.6508,1.882,8.0,2.0,0.33505563196622856,0.19805194805194798,0.18260869565218896,1.7933,6.2605,0.2394,1.0858,0.2394,2.3212,1,0.2394,1.0858,False,False,False,False,original,,4.0,1.0,0.467852,1.13,False,newyork,0
NZD_CAD,2010-09-14 20:00:00,2010-09-15 20:00:00,0.7519,0.745105,0.745105,False,stoploss,LOSS,5,-102.0604,-1.0,1.4,2.0,0.9057756381676595,0.15256588072121807,0.009302325581404236,2.4813,0.9949,0.5387,0.9949,2.4813,0.9949,1,0.5387,0.9949,False,False,False,False,original,,1.4,1.0,0.003397,0.96,False,newyork,0
EUR_AUD,2010-09-27 16:00:00,2010-09-28 04:00:00,1.39857,1.3995,1.388881,False,kijun_d1,WIN,2,1.3417,0.096,8.0,2.0,0.09912714156612094,0.7817589576547197,0.10734463276843459,0.2828,0.4149,0.2828,0.4149,0.2828,0.4149,1,,,False,False,False,False,original,,5.0,1.0,0.004845,0.97,False,newyork,0
EUR_JPY,2010-11-05 08:00:00,2010-11-08 08:00:00,113.941,112.883841,112.883841,False,stoploss,LOSS,5,-102.081,-1.0,2.2,2.0,0.9001444039834764,0.5359999999999961,0.0050890585241611585,2.431,1.4,0.0965,1.4,2.431,1.4,1,0.0965,1.4,False,False,False,False,original,,2.4,1.0,0.52858,1.1,False,london,1
CHF_JPY,2010-11-09 00:00:00,2010-11-12 08:00:00,83.579,84.144,82.752056,True,trailing_stop,WIN,19,63.4868,0.6832,4.0,2.0,0.2778824887641696,0.26650660264106246,0.12857142857143553,0.0992,3.4682,0.0992,1.335,0.0992,2.4258,1,0.0992,1.335,False,False,False,False,original,,8.0,2.0,0.413472,1.1,False,tokyo,0
CAD_CHF,2010-11-15 08:00:00,2010-11-22 20:00:00,0.96874,0.97239,0.959147,True,trailing_stop,WIN,32,33.8789,0.3805,4.0,2.0,0.9988361983222441,0.6504491017964089,0.09282700421940908,0.6484,2.5873,0.0229,2.0348,0.0229,2.0348,1,0.0229,2.0348,False,False,False,False,original,,4.0,0.93,0.004796,1.05,False,london,0
GBP_CAD,2010-11-16 16:00:00,2010-11-19 20:00:00,1.62161,1.62715,1.607392,True,trailing_stop,WIN,18,37.2073,0.3897,2.5,2.0,0.5758334613809147,0.32440302853814984,0.09595959595955263,0.7484,2.4786,0.1716,0.4558,0.1716,1.0958,1,0.1716,0.4558,False,False,False,False,original,,2.5,0.94,0.007109,1.08,False,newyork,0
AUD_CHF,2010-11-17 04:00:00,2010-11-19 12:00:00,0.97033,0.97433,0.960261,True,trailing_stop,WIN,13,34.7595,0.3973,5.0,2.0,0.6677047073235903,0.8485981308411248,0.08414239482198485,0.3456,3.2376,0.3456,0.6138,0.3456,0.8322,1,0.3456,0.6138,False,False,False,False,original,,5.5,1.1,0.005035,0.95,True,tokyo,0
USD_CAD,2010-11-19 04:00:00,2010-11-22 04:00:00,1.01775,1.01399,1.009932,False,kijun_d1,LOSS,5,-50.0118,-0.4809,1.5,2.0,0.17590336572530135,0.4247491638796125,0.00754716981128629,1.0386,1.4044,0.3658,1.4044,1.0386,1.4044,1,0.3658,1.4044,False,False,False,False,original,,1.3,0.72,0.003909,0.98,False,tokyo,0
USD_CAD,2010-12-22 08:00:00,2010-12-23 04:00:00,1.01306,1.01253,1.007241,False,kijun_d1,LOSS,4,-10.8259,-0.0911,1.0,2.0,0.32624211458910013,0.3893967093235865,0.04395604395608954,0.7011,1.5637,0.7011,1.5637,0.7011,1.5637,1,0.7011,1.5637,False,False,False,False,original,,1.0,0.59,0.00291,0.83,True,london,0
AUD_CHF,2011-01-10 04:00:00,2011-01-12 04:00:00,0.95784,0.95958,0.948036,False,kijun_d1,WIN,11,12.4445,0.1775,5.2,2.0,0.24798544358393354,0.8322698268003593,0.17508417508416163,1.4668,1.5056,0.8895,1.5056,1.4668,1.5056,-1,0.8895,1.5056,False,False,True,False,original,,5.0,1.0,0.004902,1.15,False,tokyo,0
USD_JPY,2011-01-10 12:00:00,2011-01-11 04:00:00,82.786,83.017,82.214049,False,kijun_d1,WIN,3,38.8145,0.4039,0.9,2.0,0.5788559189174342,0.343446601941744,0.06333333333330475,0.4231,1.0455,0.4231,1.0455,0.4231,1.0455,1,0.4231,1.0455,False,False,False,False,original,,1.0,1.0,0.285976,1.21,False,london,1
CAD_JPY,2011-01-10 12:00:00,2011-01-12 20:00:00,82.983,83.851,82.180834,True,trailing_stop,WIN,13,106.7111,1.0821,1.2,2.0,0.9142579649396004,0.3950207468879666,0.10129310344829731,0.0549,4.2385,0.0549,1.668,0.0549,2.2714,1,0.0549,1.668,False,False,False,False,original,,1.2,0.71,0.401083,1.24,True,london,1
USD_CAD,2011-02-11 12:00:00,2011-02-11 20:00:00,0.99212,0.986385,0.986385,False,stoploss,LOSS,1,-101.7438,-1.0,1.0,2.0,0.2081303466871737,0.46718146718146625,0.0627062706270343,2.0786,0.1569,2.0786,0.1569,2.0786,0.1569,-1,,,False,True,True,False,original,,1.3,1.0,0.002867,0.92,False,london,0
AUD_CAD,2011-02-21 12:00:00,2011-02-22 04:00:00,0.99292,0.98847,0.986331,False,kijun_d1,LOSS,3,-75.1232,-0.6754,5.0,2.0,0.757027004395211,0.9182320441988991,0.27737226277367943,1.5085,0.1609,1.5085,0.1609,1.5085,0.1609,-1,1.5085,0.1609,True,True,True,False,original,,5.0,1.0,0.003295,0.94,True,london,0
EUR_AUD,2011-02-24 12:00:00,2011-02-25 12:00:00,1.36364,1.353692,1.353692,False,stoploss,LOSS,5,-104.021,-1.0,4.0,2.0,0.8311693049197098,0.3762736535662363,0.09452736318408812,2.0145,1.3088,0.2915,1.3088,2.0145,1.3088,1,0.2915,1.3088,False,False,False,False,original,,4.0,1.0,0.004974,1.06,True,london,0
EUR_CAD,2011-02-25 08:00:00,2011-02-25 20:00:00,1.35228,1.342862,1.342862,False,stoploss,LOSS,2,-104.2471,-1.0,4.0,2.0,0.27983671869163623,0.4403866809881873,0.05162523900573622,2.0025,0.1444,2.0025,0.1444,2.0025,0.1444,-1,2.0025,0.1444,True,True,True,False,original,,4.0,0.95,0.004709,0.95,True,london,0
GBP_CAD,2011-04-29 20:00:00,2011-05-03 08:00:00,1.57902,1.566852,1.566852,False,stoploss,LOSS,8,-103.4515,-1.0,4.2,2.0,0.910139926352008,0.41088580576306927,0.0,2.1367,1.1522,0.2465,0.7429,0.2465,1.1522,1,0.2465,0.7429,False,False,False,False,original,,3.2,1.56,0.006084,1.08,False,newyork,0
EUR_JPY,2011-05-02 12:00:00,2011-05-03 08:00:00,120.58,119.601919,119.601919,False,stoploss,LOSS,4,-102.0448,-1.0,2.0,2.0,0.9013972080092999,0.14457831325300521,0.006079027355651984,2.0428,0.5541,1.595,0.5541,2.0428,0.5541,1,1.595,0.5541,False,False,False,False,original,,2.0,1.0,0.489041,0.76,True,london,0
NZD_USD,2011-05-11 12:00:00,2011-05-16 00:00:00,0.79161,0.783427,0.783427,False,stoploss,LOSS,14,-103.666,-1.0,3.0,2.0,0.5192941443266385,0.7496483825597726,0.10024449877748601,2.202,1.7401,1.1193,0.3348,1.8476,0.3348,-1,1.1193,0.3348,True,True,True,False,original,,3.0,1.0,0.004092,1.02,True,london,0
AUD_CHF,2011-05-12 00:00:00,2011-05-17 04:00:00,0.93895,0.93432,0.928452,False,kijun_d1,LOSS,18,-48.8671,-0.441,5.0,2.0,0.7885791115189981,0.23303571428571465,0.10531697341513029,1.1469,2.0766,0.3067,1.3946,0.3067,1.3946,1,0.3067,1.3946,False,False,False,False,original,,8.0,1.6,0.005249,1.18,False,tokyo,0
USD_CHF,2011-07-05 08:00:00,2011-07-06 04:00:00,0.84351,0.84009,0.83691,False,kijun_d1,LOSS,4,-53.334,-0.5182,1.0,2.0,0.6621677609547832,0.22058823529411606,0.20481927710843856,1.4909,0.6697,1.4909,0.6697,1.4909,0.6697,1,1.4909,0.6697,False,False,False,False,original,,1.0,0.87,0.0033,0.98,False,london,0
CAD_CHF,2011-08-18 12:00:00,2011-08-22 04:00:00,0.7975,0.79537,0.778721,False,kijun_d1,LOSS,9,-13.4724,-0.1134,4.0,2.0,0.5924630487689507,0.4820895522388046,0.176687116564417,0.7178,0.6166,0.7178,0.5389,0.7178,0.6166,1,0.7178,0.5389,False,False,False,False,original,,4.0,1.0,0.00939,1.06,False,london,0
