metric,value
unit_id,c2
n,308
sl_atr_mult,2
fwd_mfe_p5,0.3781355785
fwd_mfe_p10,0.4394869078
fwd_mfe_p25,0.6406635682
fwd_mfe_p50,1.031930384
fwd_mfe_p75,1.752157075
fwd_mfe_p90,2.725381968
fwd_mfe_p95,4.003049868
fwd_mfe_p99,4.697396968
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,-1
final_r_p95,-1
final_r_p99,0.7841176193
fwd_mfe_mean,1.372556644
final_r_mean,-0.9480010146
hartigan_dip_stat,0.01226187582
hartigan_dip_pvalue,0.9926953883
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.5064935065
mass_final_r_le_0R_count,302
mass_final_r_le_0R_frac,0.9805194805
mass_final_r_0R_to_0.5R_count,0
mass_final_r_0R_to_0.5R_frac,0
mass_final_r_0.5R_to_1R_count,4
mass_final_r_0.5R_to_1R_frac,0.01298701299
mass_final_r_1R_to_2R_count,0
mass_final_r_1R_to_2R_frac,0
mass_final_r_2R_to_5R_count,2
mass_final_r_2R_to_5R_frac,0.006493506494
mass_final_r_gt_5R_count,0
mass_final_r_gt_5R_frac,0
