cluster_id,archetype,sl_multiplier,n,mean_r,p50_r,reach_1r,reach_2r,reach_3r,mfe_p50,mfe_p75,ww_pp,composite
0,monotonic_down,1.5,1771,-0.8479094226713135,-1.0,0.4867306606437041,0.32128740824393,0.23771880293619424,0.9622393199329395,2.83145260984423,0.5132693393562959,0.42863618341058396
0,monotonic_down,2.0,1771,-0.846093600202987,-1.0,0.4720496894409938,0.31281761716544326,0.21230942970073405,0.9227765705488286,2.5322359063290336,0.5279503105590062,0.414489564700676
0,monotonic_down,2.5,1771,-0.8623850623865585,-1.0,0.4771315640880858,0.2857142857142857,0.17052512704686618,0.8999828215308713,2.288702644042399,0.5223037831733484,0.4152746756871656
0,monotonic_down,3.0,1771,-0.8658340833969622,-1.0,0.47035573122529645,0.2619988706945229,0.13269339356295878,0.8941782692971665,2.08677857480769,0.5290796160361377,0.4101931865657536
0,monotonic_down,3.5,1771,-0.8630598507845542,-1.0,0.4522868435911914,0.21739130434782608,0.08921513269339357,0.8574147784385915,1.8342443337731904,0.5426312817617166,0.3952886411472164
0,monotonic_down,4.0,1771,-0.8553326489395905,-1.0,0.4330886504799548,0.18294748729531338,0.060982495765104464,0.8117219374144847,1.6451902677205088,0.5590062111801242,0.3781848000953074
1,v_shape_recovery,1.5,1528,0.9074965605360691,-1.0,0.4731675392670157,0.3219895287958115,0.2519633507853403,0.8971466089201287,3.0446628178273003,0.5268324607329843,0.4122260048975752
1,v_shape_recovery,2.0,1528,0.9282388987852498,-1.0,0.49410994764397903,0.35274869109947643,0.299738219895288,0.9629827238773808,4.404275393736968,0.5058900523560209,0.4335194504209475
1,v_shape_recovery,2.5,1528,0.6089523755727025,-1.0,0.5045811518324608,0.3756544502617801,0.32657068062827227,1.0215772204887812,4.284013517777212,0.49476439790575916,0.447325370313569
1,v_shape_recovery,3.0,1528,0.41769155206974756,-1.0,0.5222513089005235,0.4129581151832461,0.3403141361256545,1.1228850794293554,4.183685124302649,0.47513089005235604,0.4711210603138785
1,v_shape_recovery,3.5,1528,0.30071018599246885,-1.0,0.5464659685863874,0.43782722513089006,0.3324607329842932,1.2919722039540291,3.7480834139402535,0.4476439790575916,0.5074054831314605
1,v_shape_recovery,4.0,1528,0.22491787871199664,-0.5000000000000049,0.5719895287958116,0.45222513089005234,0.3174083769633508,1.589861618063309,3.3957278526914143,0.41492146596858637,0.5605493004668973
2,monotonic_down,1.5,2,-1.0,-1.0,0.5,0.5,0.5,4.094434459593936,5.97574704745926,0.5,0.675
2,monotonic_down,2.0,2,-1.0,-1.0,0.5,0.5,0.5,3.070825844695452,4.481810285594444,0.5,0.675
2,monotonic_down,2.5,2,-1.0,-1.0,0.5,0.5,0.5,2.456660675756362,3.585448228475556,0.5,0.6116104121715755
2,monotonic_down,3.0,2,-1.0,-1.0,0.5,0.5,0.5,2.047217229796968,2.98787352372963,0.5,0.5638420101429795
2,monotonic_down,3.5,2,-1.0,-1.0,0.5,0.5,0.5,1.7547576255402582,2.561034448911111,0.5,0.5297217229796968
2,monotonic_down,4.0,2,-1.0,-1.0,0.5,0.5,0.0,1.535412922347726,2.240905142797222,0.5,0.5041315076072347
