mode,threshold,sl_atr_mult,feature_set,inner_sharpe,fold
E,0.65,3.0,base+L1_minus_L0_atr_only,3.547703649236892,0
E,0.65,3.0,base+HTF,3.521167336089034,0
E,0.55,3.0,base+HTF,3.3382461507765138,0
E,0.55,3.0,base+L1_minus_L0_atr_only,3.227065275143662,0
D1,0.55,3.0,(D1_fixed),3.17037164106221,0
E,0.55,2.0,base+L1_minus_L0_atr_only,2.6407008117351007,0
D1,0.55,2.0,(D1_fixed),2.5687954675009688,0
E,0.65,2.0,base+L1_minus_L0_atr_only,2.5117081668905694,0
E,0.65,2.0,base+HTF,2.4210781177929483,0
E,0.55,2.0,base+HTF,2.3589438362645465,0
D1,0.65,3.0,(D1_fixed),2.0534237728727898,0
D1,0.65,2.0,(D1_fixed),1.9320545045752298,0
E,0.65,3.0,base+HTF,3.6959883169649297,1
E,0.55,3.0,base+HTF,3.5017529453063485,1
E,0.65,3.0,base+L1_minus_L0_atr_only,3.4981645761426137,1
E,0.55,3.0,base+L1_minus_L0_atr_only,3.478691625103688,1
E,0.55,2.0,base+HTF,2.689200766196898,1
D1,0.65,3.0,(D1_fixed),2.63836297227911,1
D1,0.55,2.0,(D1_fixed),2.439705287650435,1
D1,0.55,3.0,(D1_fixed),2.304923520337566,1
E,0.55,2.0,base+L1_minus_L0_atr_only,2.274428640254866,1
E,0.65,2.0,base+HTF,2.042520325314652,1
E,0.65,2.0,base+L1_minus_L0_atr_only,1.49018283266795,1
D1,0.65,2.0,(D1_fixed),1.4703426288628763,1
E,0.65,2.0,base+HTF,8.142690790100126,2
E,0.55,3.0,base+HTF,3.889998930113474,2
E,0.65,3.0,base+L1_minus_L0_atr_only,3.437681379132075,2
E,0.55,3.0,base+L1_minus_L0_atr_only,3.0953511511368674,2
E,0.55,2.0,base+HTF,2.960649211210885,2
D1,0.55,3.0,(D1_fixed),2.4846591458813454,2
E,0.55,2.0,base+L1_minus_L0_atr_only,2.285262513484277,2
E,0.65,3.0,base+HTF,2.214863638031925,2
D1,0.65,3.0,(D1_fixed),1.9667126331411104,2
E,0.65,2.0,base+L1_minus_L0_atr_only,1.7540652833690369,2
D1,0.65,2.0,(D1_fixed),1.599952285828966,2
D1,0.55,2.0,(D1_fixed),1.4776704921279682,2
E,0.55,3.0,base+HTF,3.2736293060556374,3
E,0.55,3.0,base+L1_minus_L0_atr_only,3.1259789895027006,3
E,0.55,2.0,base+HTF,2.7678098246068594,3
E,0.65,3.0,base+L1_minus_L0_atr_only,2.363522897507731,3
D1,0.55,3.0,(D1_fixed),2.327229368302259,3
E,0.55,2.0,base+L1_minus_L0_atr_only,2.2185164869371077,3
E,0.65,3.0,base+HTF,2.1288885740514285,3
E,0.65,2.0,base+HTF,1.9766701439223513,3
E,0.65,2.0,base+L1_minus_L0_atr_only,1.8278761214745811,3
D1,0.65,3.0,(D1_fixed),1.6681619767625888,3
D1,0.65,2.0,(D1_fixed),1.4561540175007308,3
D1,0.55,2.0,(D1_fixed),1.2334705671769977,3
E,0.65,3.0,base+HTF,2.8441346687545526,4
E,0.55,3.0,base+HTF,2.772177527645866,4
E,0.55,3.0,base+L1_minus_L0_atr_only,2.5904006577493828,4
E,0.55,2.0,base+L1_minus_L0_atr_only,2.4852798138191234,4
E,0.55,2.0,base+HTF,2.4675806999594454,4
D1,0.55,3.0,(D1_fixed),2.46252727228513,4
E,0.65,3.0,base+L1_minus_L0_atr_only,2.2941194932585023,4
D1,0.55,2.0,(D1_fixed),2.154243823179597,4
E,0.65,2.0,base+HTF,1.8162478605790608,4
D1,0.65,2.0,(D1_fixed),1.7750830430745705,4
D1,0.65,3.0,(D1_fixed),1.7582814143255914,4
E,0.65,2.0,base+L1_minus_L0_atr_only,1.7490451278641619,4
E,0.55,3.0,base+HTF,2.9632674477519325,5
E,0.55,2.0,base+L1_minus_L0_atr_only,2.916399647596833,5
E,0.55,3.0,base+L1_minus_L0_atr_only,2.592644640408437,5
D1,0.55,2.0,(D1_fixed),2.42869659331458,5
E,0.65,3.0,base+HTF,2.393161531826797,5
E,0.55,2.0,base+HTF,2.3892127241255197,5
E,0.65,3.0,base+L1_minus_L0_atr_only,2.3241882721555918,5
D1,0.55,3.0,(D1_fixed),2.3176849459220046,5
E,0.65,2.0,base+HTF,2.1919891702040473,5
E,0.65,2.0,base+L1_minus_L0_atr_only,1.9035675366223903,5
D1,0.65,2.0,(D1_fixed),1.7569738648929767,5
D1,0.65,3.0,(D1_fixed),1.7251399571457622,5
E,0.55,3.0,base+HTF,3.4670777471022185,6
E,0.55,3.0,base+L1_minus_L0_atr_only,3.0952278077816433,6
E,0.65,3.0,base+L1_minus_L0_atr_only,2.9014209608549644,6
D1,0.55,2.0,(D1_fixed),2.864798423490213,6
