cell,risk_level,risk_pct,spread_mult,slip_per_fill_pips,worst_fold_ratio,worst_fold_dd,worst_fold_roi,mean_fold_roi,mean_fold_dd,sign_consistency,neg_folds,holdout_roi,holdout_dd,holdout_ratio,n_search_trades,n_holdout_trades,n_zero_spread,verdict
1,r_base,0.005,1.0,0.0,6.291335740847219,0.07397617326590891,0.21884656225230015,0.4918359365224861,0.03524786879547151,11,0,0.5197807681829949,0.055792696514496545,9.316286909487175,2059,1093,0,PASS_DEPLOYABLE
1,r_recommended,0.005128636138676752,1.0,0.0,6.316373373540451,0.07581276250996025,0.2249956594107474,0.5073421915917558,0.0361395651498252,11,0,0.5361087957641053,0.05719450586440246,9.373431724982808,2059,1093,0,PASS_DEPLOYABLE
2,r_base,0.005,1.0,0.5,5.987644801136374,0.07494729627039103,0.2052138403403747,0.4740279989036431,0.036028527244678275,11,0,0.4983339513747769,0.057458504154904326,8.672936386079622,2059,1093,0,PASS_DEPLOYABLE
2,r_recommended,0.005128636138676752,1.0,0.5,6.010759786194982,0.07680691042311044,0.21094435098372855,0.4888875418878207,0.036940315844930946,11,0,0.5138794137275495,0.058900675715596415,8.724507953165611,2059,1093,0,PASS_DEPLOYABLE
3,r_base,0.005,1.0,1.0,5.693602162689522,0.07591745257040039,0.1917326440909013,0.45644496699497894,0.037025671611675914,11,0,0.47718804006521065,0.059121491816485225,8.071312570163414,2059,1093,0,PASS_DEPLOYABLE
3,r_recommended,0.005128636138676752,1.0,1.0,5.714901867610987,0.07780004322787087,0.19705320841517282,0.47067192955090886,0.03796204980458901,11,0,0.4919698616752921,0.06060388287158162,8.117794411255234,2059,1093,0,PASS_DEPLOYABLE
4,r_base,0.005,1.5,0.0,5.811760788735835,0.07702539199606717,0.1980766819434825,0.45229817333252503,0.03711900786912809,11,0,0.4833323189567271,0.059994770532575174,8.056240813427126,2059,1093,0,PASS_DEPLOYABLE
4,r_recommended,0.005128636138676752,1.5,0.0,5.834052189296413,0.07893432422327391,0.20358910729424795,0.46637978511493544,0.03805772278441746,11,0,0.49833439250879197,0.0614982970302922,8.103222634983332,2059,1093,0,PASS_DEPLOYABLE
5,r_base,0.005,1.5,0.5,5.444491694145789,0.0779934448816649,0.18467493730150197,0.43497169876232356,0.038109695226956807,11,0,0.46239719907716914,0.06165339246814459,7.499947376230482,2059,1093,0,PASS_DEPLOYABLE
5,r_recommended,0.005128636138676752,1.5,0.5,5.456328948107329,0.07992524825285666,0.18978193474117022,0.4484367145847395,0.03907280266385315,11,0,0.4766488315326327,0.06319691768675209,7.542279734199001,2059,1093,0,PASS_DEPLOYABLE
6,r_base,0.005,1.5,1.0,4.939201664556559,0.07896053399283302,0.1714221658515538,0.41786389654489947,0.03910696556441002,11,0,0.44175584265538337,0.06330920620157707,6.977750459369667,2059,1093,0,PASS_DEPLOYABLE
6,r_recommended,0.005128636138676752,1.5,1.0,4.949146699436665,0.08091516033008293,0.17613216127318299,0.43072588910704984,0.04009451948851369,11,0,0.45527531674942434,0.06489258833910756,7.015829209497756,2059,1093,0,DD_WATCH
7,r_base,0.005,2.0,0.0,5.019667265761119,0.08006501876508623,0.17765355622210133,0.41398590836740873,0.03919215275030508,11,0,0.4477492041781488,0.06444756318920507,6.947496259302269,2059,1093,0,DD_WATCH
7,r_recommended,0.005128636138676752,2.0,0.0,5.030220019591045,0.08204581341870883,0.18254904861079613,0.4267189567094905,0.04018190956829909,11,0,0.46147955492095893,0.06605979430669849,6.985785526040681,2059,1093,0,DD_WATCH
8,r_base,0.005,2.0,0.5,4.546477342943148,0.08103001079004868,0.16447895483835828,0.3971258522245261,0.040187993984699126,11,0,0.42731369573978273,0.06643072380715152,6.432470869657765,2059,1093,0,DD_WATCH
8,r_recommended,0.005128636138676752,2.0,0.5,4.555296338595865,0.08303352353717826,0.16898185619545059,0.4092710780730313,0.04120212457113295,11,0,0.4403246449162084,0.06809049775911001,6.466756146709122,2059,1093,0,DD_WATCH
9,r_base,0.005,2.0,1.0,4.097433704215093,0.08199404196216556,0.15145081629996637,0.38047843244993,0.041181362965842794,11,0,0.40716497652541395,0.06840982942475886,5.9518490244627476,2059,1093,0,DD_WATCH
