year,n,win_rate,mean_r,total_r
2010,201,0.681592039800995,0.3087472562765671,62.05819851158998
2011,182,0.7197802197802198,0.40399850602928916,73.52772809733062
2012,179,0.7318435754189944,0.46878522041354376,83.91255445402433
2013,195,0.717948717948718,0.5528686026889974,107.8093775243545
2014,192,0.7395833333333334,0.43008285613142644,82.57590837723387
2015,190,0.6526315789473685,0.294690656356024,55.991224707644555
2016,171,0.7251461988304093,0.44133884122577544,75.4689418496076
2017,190,0.7578947368421053,0.5878442767967843,111.69041259138902
2018,176,0.6534090909090909,0.23198352424407498,40.8291002669572
2019,195,0.7333333333333333,0.4323655498507757,84.31128222090126
2020,188,0.7553191489361702,0.4821883915465081,90.65141761074352
2021,212,0.7122641509433962,0.4328346834797682,91.76095289771087
2022,179,0.6759776536312849,0.3425527068169442,61.31693452023302
2023,189,0.671957671957672,0.36469368484912723,68.92710643648505
2024,191,0.7591623036649214,0.5241720502497178,100.1168615976961
2025,251,0.7609561752988048,0.46386378048551913,116.4298089018653
2026,71,0.5774647887323944,0.15202430591507107,10.793725719970046
