trade_id,fold,segment,cluster,outcome,band,cohort,pass_name,intra_band_pullback_r,bars_in_band
7,1,fold,1,win,1,completer,RAW,0.7096848977199169,27
7,1,fold,1,win,2,completer,RAW,0.777923830192988,8
7,1,fold,1,win,3,completer,RAW,0.777923830192988,1
7,1,fold,1,win,4,reverser,RAW,3.8350280049864613,175
7,1,fold,1,win,1,completer,SL_FLOOR,0.7096848977199169,27
7,1,fold,1,win,2,completer,SL_FLOOR,0.777923830192988,8
7,1,fold,1,win,3,completer,SL_FLOOR,0.777923830192988,1
7,1,fold,1,win,4,reverser,SL_FLOOR,3.8350280049864613,175
11,1,fold,0,win,1,completer,RAW,0.9712114076155951,46
11,1,fold,0,win,2,completer,RAW,0.739517182922989,61
11,1,fold,0,win,3,completer,RAW,0.72999550245616,8
11,1,fold,0,win,4,reverser,RAW,2.453419666950501,95
11,1,fold,0,win,1,completer,SL_FLOOR,0.9712114076155951,46
11,1,fold,0,win,2,completer,SL_FLOOR,0.739517182922989,61
11,1,fold,0,win,3,completer,SL_FLOOR,0.72999550245616,8
11,1,fold,0,win,4,reverser,SL_FLOOR,2.453419666950501,95
12,1,fold,0,win,1,completer,RAW,1.52679008629599,91
12,1,fold,0,win,2,reverser,RAW,1.9821485330860122,108
12,1,fold,0,win,1,completer,SL_FLOOR,1.52679008629599,91
12,1,fold,0,win,2,reverser,SL_FLOOR,1.9821485330860122,108
13,1,fold,0,win,1,reverser,RAW,0.4067705701748292,6
14,1,fold,0,win,1,completer,RAW,0.6595805197953768,19
14,1,fold,0,win,2,completer,RAW,1.079313577846984,67
14,1,fold,0,win,3,completer,RAW,1.2274546571593046,71
14,1,fold,0,win,4,reverser,RAW,1.5413726585592475,81
14,1,fold,0,win,1,completer,SL_FLOOR,0.6595805197953768,19
14,1,fold,0,win,2,completer,SL_FLOOR,1.079313577846984,67
14,1,fold,0,win,3,completer,SL_FLOOR,1.2274546571593046,71
14,1,fold,0,win,4,reverser,SL_FLOOR,1.5413726585592475,81
15,1,fold,0,win,1,completer,RAW,0.8917268888400992,43
15,1,fold,0,win,2,reverser,RAW,1.5084719176854575,194
15,1,fold,0,win,1,completer,SL_FLOOR,0.8917268888400992,43
15,1,fold,0,win,2,reverser,SL_FLOOR,1.5084719176854575,194
16,1,fold,0,win,1,completer,RAW,1.7826913280792132,196
16,1,fold,0,win,2,completer,RAW,0.842321652517424,24
16,1,fold,0,win,3,reverser,RAW,0.5258939417833686,8
16,1,fold,0,win,1,completer,SL_FLOOR,1.7826913280792132,196
16,1,fold,0,win,2,completer,SL_FLOOR,0.842321652517424,24
16,1,fold,0,win,3,reverser,SL_FLOOR,0.5258939417833686,8
17,1,fold,1,win,1,reverser,RAW,6.688187821422635,236
17,1,fold,1,win,1,reverser,SL_FLOOR,2.2740244306383888,30
18,1,fold,1,win,1,completer,RAW,0.3658401719133628,6
18,1,fold,1,win,2,reverser,RAW,5.730323461989014,169
18,1,fold,1,win,1,completer,SL_FLOOR,0.3658401719133628,6
18,1,fold,1,win,2,reverser,SL_FLOOR,2.972451396796028,103
19,1,fold,1,win,1,reverser,RAW,2.755370360258361,109
19,1,fold,1,win,1,reverser,SL_FLOOR,2.17866493601824,95
21,1,fold,1,win,1,reverser,RAW,4.139172575802251,158
22,1,fold,1,win,1,completer,RAW,0.7596296765713004,48
22,1,fold,1,win,2,reverser,RAW,5.938709786281196,173
22,1,fold,1,win,1,completer,SL_FLOOR,0.7596296765713004,48
22,1,fold,1,win,2,reverser,SL_FLOOR,3.772358486429707,125
23,1,fold,1,win,1,completer,RAW,0.49961315180075316,24
23,1,fold,1,win,2,reverser,RAW,7.946602886909669,175
23,1,fold,1,win,1,completer,SL_FLOOR,0.49961315180075316,24
23,1,fold,1,win,2,reverser,SL_FLOOR,3.5444996045077284,116
