cluster_id,archetype,sl_multiplier,exit_policy,exposure,max_per_currency,architecture,search_worst_roi,search_worst_dd,search_worst_ratio,search_mean_roi,search_mean_dd,search_mean_ratio,search_sign_consistency,search_neg_folds,search_n_total,a3_n_bars
0,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A1,0.22456294795253906,0.07353866008324712,6.4272759551420195,0.4988208512712609,0.03493467693183663,16.23680292607003,11,0,2059,
0,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A3,0.050552101532961524,0.04936346639192043,2.72990888311836,0.21270175410613243,0.02504142684587476,9.059939281418998,8,0,778,5.0
0,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A1,0.10713211039662207,0.08534340496601127,2.1543649173620016,0.3837437087848095,0.041036643121896685,11.676802566242868,11,0,2059,
0,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,0.050552101532961524,0.04458639838383978,1.9959418390980839,0.1309759558649026,0.025407739764556958,6.378866799992713,8,0,535,5.0
0,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A1,0.08353732287970805,0.043371366146966635,1.9260938794650027,0.23554041879619447,0.024851278258161524,12.737608399131979,11,0,1054,
0,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A3,0.03717755495589126,0.04745272276630782,0.7834651583425664,0.15281859659516353,0.027439981584762733,6.259671670702993,8,0,778,5.0
0,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A1,0.031212571324916727,0.04665714654473064,0.7031726088628804,0.1823439726686747,0.02818357209823792,9.083759605415239,11,0,1054,
0,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,0.029194478536488155,0.042666053031465125,0.684255431711904,0.09680388307354185,0.026545666739896816,4.7695524774002145,8,0,535,5.0
0,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A3,-0.019850499375000052,0.05322530834967437,0.0,0.20343556507853267,0.022411057134421895,100006.8278825027,9,1,1066,3.0
0,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,-0.019850499375000052,0.032156339412499096,0.0,0.10308195876977684,0.016118186379568075,100004.70506320515,9,1,600,3.0
0,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A3,-0.019850499375000052,0.04034401500170693,0.0,0.2608751463621895,0.01882412978486827,100009.87968223609,9,1,1066,3.0
0,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,-0.019850499375000052,0.02962749064373434,0.0,0.1364975335108674,0.014216624316907026,100007.54573977632,9,1,600,3.0
