risk_pct,view,firing_ref,fold,governor,date,n_flattened,r_surrendered,kill
0.4,per_fold,from_initial,1,daily_halt,2010-05-06,0,0.0,0
0.4,per_fold,trailing,1,daily_halt,2010-05-06,0,0.0,0
0.4,per_fold,trailing,1,total_halt,2010-05-13,0,0.0,0
0.4,per_fold,trailing,1,total_halt,2010-05-17,0,0.0,0
0.4,per_fold,trailing,2,total_halt,2011-03-17,0,0.0,0
0.4,per_fold,trailing,2,total_halt,2011-03-17,0,0.0,0
0.4,per_fold,trailing,10,total_halt,2019-07-22,0,0.0,0
0.4,per_fold,trailing,10,total_halt,2019-07-24,0,0.0,0
0.4,continuous,from_initial,-1,daily_halt,2010-05-06,-1,,0
0.4,continuous,from_initial,-1,daily_halt,2011-03-15,-1,,0
0.4,continuous,trailing,-1,daily_halt,2010-05-06,-1,,0
0.4,continuous,trailing,-1,total_halt,2010-05-13,-1,,0
0.4,continuous,trailing,-1,total_close_all,2010-05-17,-1,,1
0.5,per_fold,from_initial,1,daily_halt,2010-04-27,0,0.0,0
0.5,per_fold,from_initial,1,daily_close_all,2010-05-06,12,10.80997642862369,0
0.5,per_fold,from_initial,2,daily_halt,2011-03-15,0,0.0,0
0.5,per_fold,trailing,1,daily_halt,2010-04-27,0,0.0,0
0.5,per_fold,trailing,1,daily_close_all,2010-05-06,12,10.80997642862369,0
0.5,per_fold,trailing,1,total_halt,2010-05-07,0,0.0,0
0.5,per_fold,trailing,1,total_halt,2010-05-11,0,0.0,0
0.5,per_fold,trailing,1,total_halt,2010-05-12,0,0.0,0
0.5,per_fold,trailing,1,total_halt,2010-05-12,0,0.0,0
0.5,per_fold,trailing,2,daily_halt,2011-03-15,0,0.0,0
0.5,per_fold,trailing,2,total_halt,2011-03-16,0,0.0,0
0.5,per_fold,trailing,2,total_close_all,2011-03-17,10,31.057060406327764,1
0.5,per_fold,trailing,4,total_halt,2013-07-09,0,0.0,0
0.5,per_fold,trailing,4,total_halt,2013-07-31,0,0.0,0
0.5,per_fold,trailing,4,total_halt,2013-07-31,0,0.0,0
0.5,per_fold,trailing,5,total_halt,2014-02-03,0,0.0,0
0.5,per_fold,trailing,6,total_halt,2015-04-15,0,0.0,0
0.5,per_fold,trailing,8,total_halt,2017-04-11,0,0.0,0
0.5,per_fold,trailing,8,total_halt,2017-04-11,0,0.0,0
0.5,per_fold,trailing,8,total_close_all,2017-04-12,16,37.02848974229615,1
0.5,per_fold,trailing,10,total_halt,2019-07-19,0,0.0,0
0.5,per_fold,trailing,10,total_close_all,2019-07-19,11,9.641732629500156,1
0.5,per_fold,trailing,11,total_halt,2020-02-18,0,0.0,0
0.5,per_fold,trailing,11,total_halt,2020-02-19,0,0.0,0
0.5,per_fold,trailing,11,total_halt,2020-02-19,0,0.0,0
0.5,continuous,from_initial,-1,daily_halt,2010-04-27,-1,,0
0.5,continuous,from_initial,-1,daily_close_all,2010-05-06,-1,,0
0.5,continuous,from_initial,-1,daily_halt,2011-03-15,-1,,0
0.5,continuous,from_initial,-1,daily_halt,2015-06-29,-1,,0
0.5,continuous,from_initial,-1,daily_halt,2020-10-28,-1,,0
0.5,continuous,from_initial,-1,daily_halt,2025-01-27,-1,,0
0.5,continuous,trailing,-1,daily_halt,2010-04-27,-1,,0
0.5,continuous,trailing,-1,daily_close_all,2010-05-06,-1,,0
0.5,continuous,trailing,-1,total_halt,2010-05-06,-1,,0
