cluster_id,classifier,rank,feature,importance_mean,importance_std
1,lgbm,1,atr_14,0.02285504856148059,0.01098575992408706
1,lgbm,2,upper_fraction,0.011538391057357444,0.004237559096782773
1,lgbm,3,prior_session_low_distance,0.0066391790361003625,0.0050606979886955936
1,lgbm,4,prior_session_high_distance,0.005068719076415573,0.004637036092666722
1,lgbm,5,distance_to_round_number,0.003781381711563092,0.0077995228610088915
1,lgbm,6,atr14_at_signal,0.00367143118929808,0.004877536218239363
1,lgbm,7,kijun_26_distance,0.0031253435953819907,0.004339639171487825
1,lgbm,8,atr_vs_trailing_100,0.0018792376763788865,0.007248849993889735
1,lgbm,9,w1_close_slope_sign,0.0017069818581637365,0.004111887897837941
1,lgbm,10,swing_low_distance_14,0.0011159978009894988,0.014804453124979607
1,lgbm,11,L1_to_atr_proximity,0.000408649441084763,0.00430466826197787
1,lgbm,12,session_london,0.00036192046912219,0.0002947791182173741
1,lgbm,13,d1_close_slope_sign,0.00028403884918446474,0.0006926543540917078
1,lgbm,14,d_t_idx,0.0,0.0
1,lgbm,15,d_for_l1_search_max,0.0,0.0
1,lgbm,16,session_dead,0.0,0.0
1,lgbm,17,session_tokyo,0.0,0.0
1,lgbm,18,session_ldn_ny_overlap,-4.856148066709753e-05,0.0005532545296290859
1,lgbm,19,session_ny,-0.000371999266996581,0.00030980238453812023
1,lgbm,20,hour_of_day,-0.0007824812167858353,0.0016939766366545611
1,lgbm,21,range_close_ratio,-0.0008557815649624989,0.0028257177266136574
1,lgbm,22,atr_percentile_100,-0.0009822246655672219,0.004822912256423514
1,lgbm,23,d1_atr_percentile_100,-0.0014522631482500104,0.0037082665567011804
1,lgbm,24,spread_vs_trailing_100,-0.001783030969397159,0.003204085791736181
1,lgbm,25,L0_value,-0.002104636247022229,0.005552992818766977
1,lgbm,26,reject_buffer_atr,-0.0026003298515668407,0.0038724421145648765
1,lgbm,27,day_of_week,-0.0030016492578340158,0.004925371611189835
1,lgbm,28,signal_density_28,-0.0036329485065054734,0.0029412571055746546
1,lgbm,29,dollar_bloc_state,-0.004221183800623129,0.005909134587558576
1,lgbm,30,L1_age_d1_bars,-0.005625801722558254,0.0032872826056980164
1,lgbm,31,usd_strength_index,-0.00682792743265539,0.0047596548342170395
1,lgbm,32,eur_strength_index,-0.00821330401319409,0.003317114607558277
1,lgbm,33,L0_age_d1_bars,-0.008436870075132918,0.0052288955706024575
1,lgbm,34,spread_percentile_100,-0.008599047095473789,0.00597311440692426
1,lgbm,35,d1_close_slope_magnitude,-0.009011361553967446,0.0027088490841442356
1,lgbm,36,swing_high_distance_14,-0.014007696536558612,0.0051009942840427765
1,lgbm,37,L1_value,-0.016192963166575102,0.0058419159595824235
