rank,feature,gini_importance
0,h1_atr_14,0.0872
1,ret_5bar_atr,0.0503
2,prior_leg_length_atr,0.0422
3,atr14_at_signal_pct_close,0.0412
4,d1_atr_ratio_to_close,0.0403
5,ema50_4h_slope_5bar_atr,0.0399
6,ret_20bar_atr,0.0396
7,h1_pullback_depth_atr,0.0395
8,d1_trend_slope_5bar,0.0394
9,trend_filter_dist_atr,0.0386
10,d1_pos_in_20bar_range,0.0379
11,ema20_4h_slope_5bar_atr,0.0367
12,d1_rsi_14,0.0355
13,break_magnitude_atr,0.0352
14,range_to_atr_14,0.0345
15,ema50_4h_dist_atr,0.0335
16,pos_in_20bar_range,0.0332
17,rsi_14,0.0329
18,body_to_range_ratio,0.0323
19,lower_wick_ratio,0.0312
20,close_position,0.0297
21,upper_wick_ratio,0.0295
22,ema20_4h_dist_atr,0.0290
23,pair_id_int,0.0286
24,h_ref_freshness_bars,0.0220
25,weekday_cos,0.0185
26,h1_hh_hl_count_last_6_bars,0.0144
27,weekday_sin,0.0105
28,hour_cos,0.0091
29,hour_sin,0.0073
