regime,fold_id,auc,n_train,n_test,base_test
A_baseline_c1_PE,1,,0,368,0.1141
A_baseline_c1_PE,2,0.4811,368,333,0.1381
A_baseline_c1_PE,3,0.5535,701,370,0.1189
A_baseline_c1_PE,4,0.5268,1071,345,0.1275
A_baseline_c1_PE,5,0.5311,1416,281,0.2206
A_baseline_c1_PE,6,0.4942,1697,303,0.1419
A_baseline_c1_PE,7,0.5563,2000,299,0.1438
B_delayed_t1_c1,1,,0,366,0.1148
B_delayed_t1_c1,2,0.6680,366,327,0.1407
B_delayed_t1_c1,3,0.5486,693,363,0.1212
B_delayed_t1_c1,4,0.6218,1056,338,0.1302
B_delayed_t1_c1,5,0.6197,1394,279,0.2222
B_delayed_t1_c1,6,0.5898,1673,294,0.1463
B_delayed_t1_c1,7,0.6687,1967,297,0.1448
B_delayed_t3_c1,1,,0,351,0.1197
B_delayed_t3_c1,2,0.6810,351,295,0.1559
B_delayed_t3_c1,3,0.5513,646,334,0.1317
B_delayed_t3_c1,4,0.6692,980,315,0.1397
B_delayed_t3_c1,5,0.6503,1295,260,0.2385
B_delayed_t3_c1,6,0.5776,1555,276,0.1558
B_delayed_t3_c1,7,0.7132,1831,280,0.1536
B_delayed_t5_c1,1,,0,325,0.1292
B_delayed_t5_c1,2,0.6634,325,271,0.1697
B_delayed_t5_c1,3,0.5923,596,304,0.1447
B_delayed_t5_c1,4,0.6464,900,293,0.1502
B_delayed_t5_c1,5,0.6417,1193,239,0.2594
B_delayed_t5_c1,6,0.6171,1432,257,0.1673
B_delayed_t5_c1,7,0.6327,1689,261,0.1648
B_delayed_t8_c1,1,,0,270,0.1556
B_delayed_t8_c1,2,0.6732,270,230,0.2000
B_delayed_t8_c1,3,0.6144,500,253,0.1739
B_delayed_t8_c1,4,0.6318,753,249,0.1767
B_delayed_t8_c1,5,0.6497,1002,210,0.2952
B_delayed_t8_c1,6,0.6280,1212,214,0.2009
B_delayed_t8_c1,7,0.6483,1426,233,0.1845
C_multiTF_c1_PE+D1+1H,1,,0,368,0.1141
C_multiTF_c1_PE+D1+1H,2,0.5103,368,333,0.1381
C_multiTF_c1_PE+D1+1H,3,0.5410,701,370,0.1189
C_multiTF_c1_PE+D1+1H,4,0.5572,1071,345,0.1275
C_multiTF_c1_PE+D1+1H,5,0.5579,1416,281,0.2206
C_multiTF_c1_PE+D1+1H,6,0.5467,1697,303,0.1419
C_multiTF_c1_PE+D1+1H,7,0.5754,2000,299,0.1438
D_target_reach1R_atSL3,1,,0,368,0.4429
D_target_reach1R_atSL3,2,0.5546,368,333,0.4835
D_target_reach1R_atSL3,3,0.4798,701,370,0.4595
D_target_reach1R_atSL3,4,0.4505,1071,345,0.4725
D_target_reach1R_atSL3,5,0.5087,1416,281,0.5907
D_target_reach1R_atSL3,6,0.4265,1697,303,0.4620
D_target_reach1R_atSL3,7,0.4872,2000,299,0.5452
D_target_mfe2R_atSL3,1,,0,368,0.2962
D_target_mfe2R_atSL3,2,0.5520,368,333,0.3273
D_target_mfe2R_atSL3,3,0.5556,701,370,0.2811
D_target_mfe2R_atSL3,4,0.4908,1071,345,0.3072
D_target_mfe2R_atSL3,5,0.5304,1416,281,0.4555
D_target_mfe2R_atSL3,6,0.4019,1697,303,0.3069
D_target_mfe2R_atSL3,7,0.5304,2000,299,0.2977
