t,n_eligible,pre_t_filter_rate,mean_mfe_at_t,mean_auc,n_clears_0.60,n_folds_valid,live_sign_consistency,live_worst_fold_roi_ann_pct,live_mean_fold_roi_ann_pct,live_worst_fold_dd_pct,live_min_trade_count,live_full_data_roi_pct,live_full_data_dd_pct,live_pass_deployable,live_pass_viable
1,2264,0.0152,0.3503,0.6194,4,6,0,-19.1429,6.0062,32.7939,16,31.6787,33.9207,0,0
2,2193,0.0461,0.4234,0.6319,4,6,0,-14.6864,4.4478,31.7757,10,22.0675,35.2143,0,0
3,2111,0.0818,0.5011,0.6404,4,6,0,-13.5159,8.0313,31.0883,13,46.4739,32.2437,0,0
4,2033,0.1157,0.5819,0.6185,4,6,0,-11.0976,7.6022,28.9842,13,44.2487,30.5241,0,0
5,1950,0.1518,0.6649,0.6323,5,6,0,-5.8174,11.9464,26.8160,10,77.4760,27.6815,0,0
6,1837,0.2010,0.7490,0.6285,5,6,0,-1.3647,14.6853,23.4388,11,103.1401,24.3442,0,0
7,1747,0.2401,0.8205,0.6445,5,6,1,0.6242,17.1545,21.0839,16,126.5366,22.4071,0,0
8,1659,0.2784,0.8870,0.6409,6,6,1,4.1638,20.2504,18.9522,12,162.1948,19.9107,0,0
10,1560,0.3214,0.9955,0.6535,6,6,1,9.6085,25.5740,15.6361,15,231.0106,17.0506,0,0
12,1440,0.3736,1.1433,0.6420,5,6,1,2.3945,28.4221,16.0386,13,268.0162,16.9688,0,0
16,1291,0.4385,1.3571,0.6540,5,6,1,12.0191,33.2999,13.9781,20,354.7308,15.4204,0,0
