trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
1,CAD_JPY,0.4935064935,16,0.2149863322,0.2727272727
2,CHF_JPY,0.4861111111,13,0.7958695908,0.6633663366
3,EUR_NZD,0.5294117647,10,0.5321353798,0.3846153846
4,GBP_USD,0.5,3,0,0.3333333333
5,EUR_JPY,0,4,0.2841317165,0
6,EUR_USD,0.5,4,0,0.5
7,GBP_JPY,0,2,0.1907293052,0.4285714286
8,USD_JPY,0.6153846154,4,0.5168271474,0.4482758621
9,EUR_AUD,0.5,2,0,0.15
10,GBP_AUD,0,0,0,0
11,EUR_GBP,0,2,0,0.2608695652
12,AUD_NZD,0.4375,3,0.3780137892,0.2380952381
13,CAD_CHF,0.4722222222,9,0.5673074331,0.5294117647
14,GBP_NZD,0.4285714286,1,0,0.04166666667
15,AUD_CHF,0.6666666667,2,0.5702710829,0.4375
16,AUD_JPY,0.5454545455,5,0.1828743472,0.3043478261
17,AUD_USD,0.65,6,0,0.2666666667
18,GBP_CHF,0,1,0,0
19,NZD_USD,0.5,4,0.9473413308,0.4651162791
20,EUR_JPY,0,1,0,0.1428571429
21,EUR_USD,0.625,2,0,0.1428571429
22,NZD_JPY,0.4,1,0,0.04166666667
23,AUD_CAD,0,0,0,0
24,GBP_JPY,0,0,0,0
25,GBP_USD,0.625,2,0.1955569962,0.3846153846
26,NZD_CHF,0.5,8,0.1167619493,0.6956521739
27,EUR_AUD,0,0,0,0
28,GBP_AUD,0,0,0,0
29,USD_CHF,0.6666666667,3,0.590693395,0.9130434783
30,EUR_GBP,0,0,0,0
31,GBP_NZD,0,0,0,0
32,USD_CAD,0.2857142857,1,0,0.05
33,EUR_CAD,1,2,0,0.25
34,AUD_CHF,0,0,0,0
35,AUD_USD,0,1,0,0
36,GBP_AUD,0.5,9,0.2911124521,0.2191780822
37,GBP_CAD,0,0,0,0
38,GBP_CHF,0,0,0,0
39,GBP_USD,0.3870967742,4,0.9664214909,0.26
40,NZD_CAD,0,0,0,0
41,EUR_JPY,0.5,4,0.110490428,0.2857142857
42,EUR_USD,0.4722222222,5,0.270240258,0.2857142857
43,EUR_AUD,0.5263157895,5,0,0.1315789474
44,EUR_NZD,0.4166666667,4,0,0.2352941176
45,USD_JPY,0,1,0,0.25
46,EUR_GBP,0,1,0,0.1666666667
47,GBP_NZD,0.6,4,0.1996500048,0.375
48,EUR_CHF,0.75,4,0.1817656465,0.5
49,GBP_JPY,0,0,0,0
50,NZD_USD,0.45,6,0.5507501964,0.6571428571
51,EUR_CAD,1,2,0,0.3333333333
52,AUD_CHF,0.5,5,0.5066187219,0.875
53,GBP_CHF,0,0,0,0
54,NZD_CAD,0.5044247788,42,0.7513257683,0.7427385892
55,NZD_JPY,0.8,5,0.5031580536,0.5
56,AUD_JPY,0.375,2,0.7650446067,0.4285714286
57,AUD_CAD,0.45,5,0.5609978235,0.4722222222
58,AUD_USD,0,0,0,0
59,EUR_JPY,0,1,0,0.1111111111
60,EUR_GBP,0,1,0,0.08333333333
61,NZD_CHF,0.4681818182,27,0.6746658769,0.6390041494
62,USD_CAD,0.4,5,1.013115002,0.4736842105
63,USD_JPY,0,0,0,0
64,CAD_CHF,0.6666666667,0,0,0
65,EUR_CHF,0,0,0,0
66,GBP_CHF,0,0,0,0
67,USD_CHF,0.4583333333,8,0.8034645854,0.5277777778
68,EUR_AUD,0,1,0,0.3636363636
69,EUR_CAD,0,1,0,0.6666666667
70,GBP_CAD,1,2,0,0.1875
71,GBP_NZD,0,0,0,0
72,AUD_CHF,0.5062761506,23,0.5422530525,0.9626556017
73,CAD_CHF,0.4,2,0.4050677138,0.1666666667
74,CAD_JPY,0.5125,15,0.701509602,0.6970954357
75,USD_JPY,0,0,0,0
76,AUD_JPY,0.5508474576,28,0.5158335325,0.9875518672
77,AUD_NZD,0.5384615385,8,0.7196645503,0.4411764706
78,AUD_USD,0.6666666667,2,0.1904454382,0.6
79,EUR_JPY,0.5307017544,20,1.354382866,0.9709543568
80,EUR_USD,1,2,0.497777586,0.6
81,GBP_CHF,1,2,0.2985813423,0.5
82,GBP_JPY,0.6,2,0.3665221166,0.3
83,GBP_USD,0.5641025641,27,0.559329298,0.8008298755
84,NZD_JPY,0.5236051502,25,0.5382840793,0.9875518672
85,NZD_USD,0,2,0.372332757,0.6
86,EUR_CHF,0,0,0,0
87,AUD_CAD,0,1,0,0
88,CHF_JPY,0.4285714286,7,0.5756197958,0.3015873016
89,EUR_GBP,0,1,0,0.05882352941
90,EUR_CAD,0,0,0,0
91,EUR_USD,0,3,0,0.75
92,AUD_USD,0.5858585859,38,0.5137161525,0.9958506224
93,GBP_JPY,0.5439330544,14,1.274207767,0.9377593361
94,NZD_USD,0.5732217573,46,0.5565919645,0.9958506224
95,CAD_CHF,0.3571428571,4,0.4516729019,0.5238095238
96,EUR_CHF,0.5172413793,8,0.6366530231,0.7407407407
