unit_id,pipeline,t,n,n_features,base_success_rate,mean_auc,std_auc,fold_aucs,gate_threshold,gate_pass,exclusion,threshold_pass,selected_threshold,selected_precision,selected_recall,selected_n_admitted,class_weight_used
c1,E,,324,23,0.7839506173,0.4193798002,0.09626007648,0.5466269841;0.3213530655;0.4577861163;0.3243243243;0.4468085106,0.65,0,0,0,,,,,balanced
c1,D1_t1,1,324,15,0.7839506173,0.4504950934,0.09010745902,0.505952381;0.3319238901;0.4859287054;0.3815580286;0.547112462,0.6,0,0,0,,,,,balanced
c1,D1_t2,2,324,15,0.7839506173,0.4755445824,0.09814653318,0.5853174603;0.4291754757;0.4465290807;0.3513513514;0.5653495441,0.6,0,0,0,,,,,balanced
c1,D1_t3,3,324,15,0.7839506173,0.4810010744,0.09924050571,0.5525793651;0.5264270613;0.4127579737;0.3418124006;0.5714285714,0.6,0,0,0,,,,,balanced
c1,D1_t4,4,324,15,0.7839506173,0.4180948838,0.10781582,0.5476190476;0.289640592;0.4052532833;0.3434022258;0.5045592705,0.6,0,0,0,,,,,balanced
c1,D1_t5,5,324,15,0.7839506173,0.4247336021,0.09214153278,0.5674603175;0.3424947146;0.3939962477;0.3577106518;0.462006079,0.6,0,0,0,,,,,balanced
c1,D1_t10,10,324,15,0.7839506173,0.3987271197,0.1299130333,0.3740079365;0.3720930233;0.3508442777;0.2766295707;0.6200607903,0.6,0,0,0,,,,,balanced
c3,E,,565,23,0.09911504425,0.3910893285,0.1126215018,0.5125;0.2222222222;0.3993902439;0.3530377668;0.4682964095,0.65,0,0,0,,,,,balanced
c3,D1_t1,1,565,15,0.09911504425,0.4865725924,0.1304387473,0.6652777778;0.3069444444;0.4400406504;0.5270935961;0.4935064935,0.6,0,0,0,,,,,balanced
c3,D1_t2,2,565,15,0.09911504425,0.5365794746,0.2041513556,0.6875;0.2583333333;0.3790650407;0.6551724138;0.7028265852,0.6,0,0,0,,,,,balanced
c3,D1_t3,3,565,15,0.09911504425,0.5217148607,0.1403011078,0.6888888889;0.3194444444;0.4588414634;0.5944170772;0.5469824293,0.6,0,0,0,,,,,balanced
c3,D1_t4,4,565,15,0.09911504425,0.5706629024,0.0907424324,0.6666666667;0.5805555556;0.4344512195;0.6338259442;0.5378151261,0.6,0,0,0,,,,,balanced
c3,D1_t5,5,564,15,0.09929078014,0.5641697486,0.0957098191,0.6444444444;0.4722222222;0.5005081301;0.6880131363;0.5156608098,0.6,0,0.001769911504,0,,,,,balanced
c3,D1_t10,10,559,15,0.1001788909,0.5628744056,0.0665068773,0.643258427;0.518258427;0.4799382716;0.561461794;0.6114551084,0.6,0,0.01061946903,0,,,,,balanced
agg_c1_c3,E,,889,23,0.386951631,0.5140122152,0.04289952352,0.5391666667;0.5006665397;0.5652256713;0.4513409962;0.5136612022,0.65,0,0,0,,,,,none
agg_c1_c3,D1_t1,1,889,15,0.386951631,0.5365064411,0.06286563024,0.5952083333;0.502190059;0.4551513997;0.5266283525;0.6033540607,0.6,0,0,0,,,,,none
agg_c1_c3,D1_t2,2,889,15,0.386951631,0.5278317542,0.05954812903,0.5877083333;0.5012378595;0.4856217863;0.4687739464;0.5958168457,0.6,0,0,0,,,,,none
agg_c1_c3,D1_t3,3,889,15,0.386951631,0.5452636786,0.04969700365,0.5285416667;0.5132355742;0.5099980956;0.5436781609;0.6308648954,0.6,0,0,0,,,,,none
agg_c1_c3,D1_t4,4,889,15,0.386951631,0.5274933881,0.03110560444,0.5145833333;0.5117120548;0.4911445439;0.5630268199;0.5570001884,0.6,0,0,0,,,,,none
agg_c1_c3,D1_t5,5,888,15,0.3873873874,0.5728161525,0.04289758774,0.5910416667;0.5503713578;0.5294229671;0.6385057471;0.5547390239,0.6,0,0.001124859393,0,,,,,none
agg_c1_c3,D1_t10,10,884,15,0.3891402715,0.5575337439,0.02738448921,0.5294612795;0.5442528736;0.5612165827;0.5507555211;0.6019824628,0.6,0,0.005624296963,0,,,,,none
