unit_id,pipeline,t,fold_idx,auc,n_train,n_test,base_success
c1,E,,0,0.5466269841,54,54,0.7777777778
c1,E,,1,0.3213530655,108,54,0.7962962963
c1,E,,2,0.4577861163,162,54,0.7592592593
c1,E,,3,0.3243243243,216,54,0.6851851852
c1,E,,4,0.4468085106,270,54,0.8703703704
c1,D1_t1,1,0,0.505952381,54,54,0.7777777778
c1,D1_t1,1,1,0.3319238901,108,54,0.7962962963
c1,D1_t1,1,2,0.4859287054,162,54,0.7592592593
c1,D1_t1,1,3,0.3815580286,216,54,0.6851851852
c1,D1_t1,1,4,0.547112462,270,54,0.8703703704
c1,D1_t2,2,0,0.5853174603,54,54,0.7777777778
c1,D1_t2,2,1,0.4291754757,108,54,0.7962962963
c1,D1_t2,2,2,0.4465290807,162,54,0.7592592593
c1,D1_t2,2,3,0.3513513514,216,54,0.6851851852
c1,D1_t2,2,4,0.5653495441,270,54,0.8703703704
c1,D1_t3,3,0,0.5525793651,54,54,0.7777777778
c1,D1_t3,3,1,0.5264270613,108,54,0.7962962963
c1,D1_t3,3,2,0.4127579737,162,54,0.7592592593
c1,D1_t3,3,3,0.3418124006,216,54,0.6851851852
c1,D1_t3,3,4,0.5714285714,270,54,0.8703703704
c1,D1_t4,4,0,0.5476190476,54,54,0.7777777778
c1,D1_t4,4,1,0.289640592,108,54,0.7962962963
c1,D1_t4,4,2,0.4052532833,162,54,0.7592592593
c1,D1_t4,4,3,0.3434022258,216,54,0.6851851852
c1,D1_t4,4,4,0.5045592705,270,54,0.8703703704
c1,D1_t5,5,0,0.5674603175,54,54,0.7777777778
c1,D1_t5,5,1,0.3424947146,108,54,0.7962962963
c1,D1_t5,5,2,0.3939962477,162,54,0.7592592593
c1,D1_t5,5,3,0.3577106518,216,54,0.6851851852
c1,D1_t5,5,4,0.462006079,270,54,0.8703703704
c1,D1_t10,10,0,0.3740079365,54,54,0.7777777778
c1,D1_t10,10,1,0.3720930233,108,54,0.7962962963
c1,D1_t10,10,2,0.3508442777,162,54,0.7592592593
c1,D1_t10,10,3,0.2766295707,216,54,0.6851851852
c1,D1_t10,10,4,0.6200607903,270,54,0.8703703704
c3,E,,0,0.5125,95,94,0.04255319149
c3,E,,1,0.2222222222,189,94,0.04255319149
c3,E,,2,0.3993902439,283,94,0.1276595745
c3,E,,3,0.3530377668,377,94,0.07446808511
c3,E,,4,0.4682964095,471,94,0.1808510638
c3,D1_t1,1,0,0.6652777778,95,94,0.04255319149
c3,D1_t1,1,1,0.3069444444,189,94,0.04255319149
c3,D1_t1,1,2,0.4400406504,283,94,0.1276595745
c3,D1_t1,1,3,0.5270935961,377,94,0.07446808511
c3,D1_t1,1,4,0.4935064935,471,94,0.1808510638
c3,D1_t2,2,0,0.6875,95,94,0.04255319149
c3,D1_t2,2,1,0.2583333333,189,94,0.04255319149
c3,D1_t2,2,2,0.3790650407,283,94,0.1276595745
c3,D1_t2,2,3,0.6551724138,377,94,0.07446808511
c3,D1_t2,2,4,0.7028265852,471,94,0.1808510638
c3,D1_t3,3,0,0.6888888889,95,94,0.04255319149
c3,D1_t3,3,1,0.3194444444,189,94,0.04255319149
c3,D1_t3,3,2,0.4588414634,283,94,0.1276595745
c3,D1_t3,3,3,0.5944170772,377,94,0.07446808511
c3,D1_t3,3,4,0.5469824293,471,94,0.1808510638
c3,D1_t4,4,0,0.6666666667,95,94,0.04255319149
c3,D1_t4,4,1,0.5805555556,189,94,0.04255319149
c3,D1_t4,4,2,0.4344512195,283,94,0.1276595745
c3,D1_t4,4,3,0.6338259442,377,94,0.07446808511
c3,D1_t4,4,4,0.5378151261,471,94,0.1808510638
c3,D1_t5,5,0,0.6444444444,94,94,0.04255319149
c3,D1_t5,5,1,0.4722222222,188,94,0.04255319149
c3,D1_t5,5,2,0.5005081301,282,94,0.1276595745
c3,D1_t5,5,3,0.6880131363,376,94,0.07446808511
c3,D1_t5,5,4,0.5156608098,470,94,0.1808510638
c3,D1_t10,10,0,0.643258427,94,93,0.04301075269
c3,D1_t10,10,1,0.518258427,187,93,0.04301075269
c3,D1_t10,10,2,0.4799382716,280,93,0.1290322581
c3,D1_t10,10,3,0.561461794,373,93,0.0752688172
c3,D1_t10,10,4,0.6114551084,466,93,0.1827956989
agg_c1_c3,E,,0,0.5391666667,149,148,0.3243243243
agg_c1_c3,E,,1,0.5006665397,297,148,0.3986486486
agg_c1_c3,E,,2,0.5652256713,445,148,0.3986486486
