feature,importance_mean,importance_std,cluster,classifier,rank
w1_close_slope_sign,0.20386115418534212,0.004322350352324576,0,random_forest,1
kijun_26_distance,0.017933844367737282,0.0008995107336612777,0,random_forest,2
day_of_week,0.009051125552401108,0.0008069834734566473,0,random_forest,3
break_magnitude_atr,0.008730814745539894,0.0004964500520086178,0,random_forest,4
eur_strength_index,0.007961461481997412,0.000499210918261525,0,random_forest,5
swing_low_distance_14,0.0068411237792229684,0.0005958727952116488,0,random_forest,6
atr_vs_trailing_100,0.006751163456117681,0.0011344415437524328,0,random_forest,7
atr_percentile_100,0.006327010564418356,0.0008334564031893891,0,random_forest,8
distance_to_round_number,0.0062442080247066215,0.00012868605018509827,0,random_forest,9
usd_strength_index,0.006052014310505749,0.0006956610749562142,0,random_forest,10
dollar_bloc_state,0.005907231873681784,0.00046341989846507633,0,random_forest,11
spread_vs_trailing_100,0.0056480514290352165,0.0004732431947278986,0,random_forest,12
spread_percentile_100,0.005596988959119175,0.0005210119551564521,0,random_forest,13
d1_close_slope_magnitude,0.004584379511459624,0.00043237135653616574,0,random_forest,14
close_position,0.004568834830352442,0.00039347026479692526,0,random_forest,15
prior_session_low_distance,0.004512801677524237,0.00041999268002994246,0,random_forest,16
range_close_ratio,0.003721089378482101,0.00022549049863828887,0,random_forest,17
d1_atr_percentile_100,0.003687577938048636,0.0001353912015091562,0,random_forest,18
swing_high_distance_14,0.003521647504834702,0.0004923896698212268,0,random_forest,19
h_ref_bar_offset,0.0033533672942440695,0.00023720673006163425,0,random_forest,20
h_ref,0.0032063435313068656,0.0005613484712955957,0,random_forest,21
trend_filter_swing_low,0.003106731045746747,0.0006973600897899172,0,random_forest,22
atr_14,0.003031682771378086,0.0007863313240377288,0,random_forest,23
signal_density_28,0.002944686782809525,9.738363547538595e-05,0,random_forest,24
prior_session_high_distance,0.002428838347788398,0.000333494255055064,0,random_forest,25
hour_of_day,0.002203422396523491,8.247482299810085e-05,0,random_forest,26
session_london,0.0008351470300892672,0.00016338077168053831,0,random_forest,27
session_ny,0.0004750707599306514,6.206211404525051e-05,0,random_forest,28
session_ldn_ny_overlap,0.0004174469885705356,0.00011145528667885872,0,random_forest,29
d1_close_slope_sign,0.0003943468694368235,8.044391916852199e-05,0,random_forest,30
session_tokyo,0.0002582586089065142,2.692397117666586e-05,0,random_forest,31
session_dead,0.00019060309566907297,6.73305112453442e-05,0,random_forest,32
