config_name,cluster,archetype,architecture,sl_multiplier,exit_policy,exposure_cap_per_currency,meta_thresholds,worst_fold_roi,worst_fold_dd,worst_fold_ratio,mean_fold_roi,mean_fold_dd,mean_fold_ratio,std_fold_roi,sign_pos_folds,n_trades_total,n_trades_min_per_fold,daily_dd_breaches_total,verdict
cluster0_A1_SL1.5_EXsl_only_CAP2,0,Choppy,A1,1.5,sl_only,2.0,None,-35.19816768904571,43.35477874687764,-0.8837437557270666,-1.7309621546082945,26.299530946856937,0.08710574330711274,23.6440945850332,4,1377,121,0,FAIL
cluster0_A1_SL1.5_EXsl_only_CAPNone,0,Choppy,A1,1.5,sl_only,,None,-77.23254326219835,113.05996095456497,-0.6831113562230534,5.799155093949819,62.13722911432565,0.5927312951615813,66.81555914847684,4,4309,408,71,FAIL
cluster0_A1_SL1.5_EXsl_plus_trailing_atr_1r_CAP2,0,Choppy,A1,1.5,sl_plus_trailing_atr_1r,2.0,None,-19.971543107730525,21.820875533136164,-0.9152493939760883,-2.772346860863587,11.401070834024726,0.003927157344605442,8.286860449239752,5,1377,121,0,FAIL
cluster0_A1_SL1.5_EXsl_plus_trailing_atr_1r_CAPNone,0,Choppy,A1,1.5,sl_plus_trailing_atr_1r,,None,-29.928619134688503,49.560266004770206,-0.8403844916133453,-7.621663311311376,29.461166482615255,-0.10461057473013766,15.93360025605453,4,4309,408,0,FAIL
cluster0_A1_SL1.5_EXsl_plus_trailing_atr_2r_CAP2,0,Choppy,A1,1.5,sl_plus_trailing_atr_2r,2.0,None,-21.710702998157547,24.249937537869684,-0.8952890276213386,-2.122837918302677,12.392425463427717,0.035018024273581055,8.133371332921978,6,1377,121,0,FAIL
cluster0_A1_SL1.5_EXsl_plus_trailing_atr_2r_CAPNone,0,Choppy,A1,1.5,sl_plus_trailing_atr_2r,,None,-34.50140412244732,57.235226437336124,-0.7499507269156502,-6.082848855814275,33.373343799217245,0.03264236892813336,18.515772260121533,5,4309,408,2,FAIL
cluster0_A1_SL2.0_EXsl_only_CAP2,0,Choppy,A1,2.0,sl_only,2.0,None,-39.10111282979934,44.968571123173284,-0.9227149814420142,-2.981963552911137,24.45007717599706,0.1460443575673692,22.169140995770363,4,1377,121,0,FAIL
cluster0_A1_SL2.0_EXsl_only_CAPNone,0,Choppy,A1,2.0,sl_only,,None,-72.64579783112514,102.80556501107775,-0.7066329320139161,12.943616596452689,58.294075936366255,0.8907649093245527,90.41041731360995,4,4309,408,86,FAIL
cluster0_A1_SL2.0_EXsl_plus_trailing_atr_1r_CAP2,0,Choppy,A1,2.0,sl_plus_trailing_atr_1r,2.0,None,-17.042519975370467,20.781247802236045,-0.9288491198662551,-0.6632526371557368,10.917585797683094,0.20862016842415457,7.688799830494307,6,1377,121,0,FAIL
cluster0_A1_SL2.0_EXsl_plus_trailing_atr_1r_CAPNone,0,Choppy,A1,2.0,sl_plus_trailing_atr_1r,,None,-30.758378892508844,40.55635042305241,-0.8529278121968502,-0.21673271778184597,26.60675251586081,0.1494495041439466,15.578119693058978,5,4309,408,0,FAIL
cluster0_A1_SL2.0_EXsl_plus_trailing_atr_2r_CAP2,0,Choppy,A1,2.0,sl_plus_trailing_atr_2r,2.0,None,-17.049885158657577,20.8092216355855,-0.9403814821531943,0.009514334073962516,13.418484527836933,0.15543443783830418,8.607807528128431,6,1377,121,0,FAIL
cluster0_A1_SL2.0_EXsl_plus_trailing_atr_2r_CAPNone,0,Choppy,A1,2.0,sl_plus_trailing_atr_2r,,None,-26.78342684969262,49.84198665393793,-0.669709462866233,3.4541983106135694,33.089612751925976,0.21798721345605196,16.714142891397422,6,4309,408,1,FAIL
cluster0_A1_SL2.5_EXsl_only_CAP2,0,Choppy,A1,2.5,sl_only,2.0,None,-33.323035956538206,38.01588690763328,-0.9323458543276043,-2.780995017332195,19.911758720639437,0.12500256159928697,17.980303504352207,4,1377,121,0,FAIL
cluster0_A1_SL2.5_EXsl_only_CAPNone,0,Choppy,A1,2.5,sl_only,,None,-64.32466777747346,86.60406738876216,-0.7427441887772156,5.733007831660901,47.09602815387207,0.727178603752081,64.24015397072422,4,4309,408,18,FAIL
cluster0_A1_SL2.5_EXsl_plus_trailing_atr_1r_CAP2,0,Choppy,A1,2.5,sl_plus_trailing_atr_1r,2.0,None,-13.638842638484524,17.959965783777154,-0.8809086586657567,0.801713927952763,9.18397447119574,0.34128560116168744,6.963509019939898,7,1377,121,0,FAIL
cluster0_A1_SL2.5_EXsl_plus_trailing_atr_1r_CAPNone,0,Choppy,A1,2.5,sl_plus_trailing_atr_1r,,None,-21.33524692785383,37.57979090599495,-0.6951009330533986,0.17429963505411764,22.68488735491791,0.142846578578891,11.742648833134917,5,4309,408,0,FAIL
cluster0_A1_SL2.5_EXsl_plus_trailing_atr_2r_CAP2,0,Choppy,A1,2.5,sl_plus_trailing_atr_2r,2.0,None,-16.32084330070796,20.38007164076467,-0.8008236471584648,2.207671995013139,11.39707055216294,0.3819702639800771,9.68837682077691,7,1377,121,0,FAIL
cluster0_A1_SL2.5_EXsl_plus_trailing_atr_2r_CAPNone,0,Choppy,A1,2.5,sl_plus_trailing_atr_2r,,None,-32.410765253461065,44.06122187445839,-0.7355848039304849,1.834276364001686,30.416786709297202,0.30252450701598327,22.235346598361403,5,4309,408,0,FAIL
cluster0_A2_SL1.5_EXsl_only_CAP2,0,Choppy,A2,1.5,sl_only,2.0,None,-10.854895409091595,28.144865264254012,-0.6590140799076423,20.76959741617376,14.541034649245518,2.1507066230266925,21.184058856321226,8,1030,94,0,FAIL
cluster0_A2_SL1.5_EXsl_only_CAPNone,0,Choppy,A2,1.5,sl_only,,None,-26.522050498938988,61.36738710159421,-0.4321847768266802,70.60542148100214,31.262509472310057,3.377335380177024,85.96627965302902,9,2873,243,0,FAIL
cluster0_A2_SL1.5_EXsl_plus_trailing_atr_1r_CAP2,0,Choppy,A2,1.5,sl_plus_trailing_atr_1r,2.0,None,3.0426542563439436,7.992477973724931,0.4474609122788901,13.290128936343446,5.312145071033873,2.7712368075154314,7.898140183066922,10,1030,94,0,FAIL
cluster0_A2_SL1.5_EXsl_plus_trailing_atr_1r_CAPNone,0,Choppy,A2,1.5,sl_plus_trailing_atr_1r,,None,15.229795348340703,14.2779652080372,1.066664270884181,43.85741114748283,8.436240109395,5.8070188459320535,19.03002658384777,10,2873,243,0,FAIL
cluster0_A2_SL1.5_EXsl_plus_trailing_atr_2r_CAP2,0,Choppy,A2,1.5,sl_plus_trailing_atr_2r,2.0,None,5.8543328095840845,9.914652618403004,0.5904728117975219,16.422355417519505,6.460558354460703,2.937824525691421,7.992885889247069,10,1030,94,0,FAIL
cluster0_A2_SL1.5_EXsl_plus_trailing_atr_2r_CAPNone,0,Choppy,A2,1.5,sl_plus_trailing_atr_2r,,None,24.82734340967504,15.079645050966544,1.907652528848398,52.51021037170041,10.498391537267874,5.443529802262294,22.452777736675692,10,2873,243,0,FAIL
cluster0_A2_SL2.0_EXsl_only_CAP2,0,Choppy,A2,2.0,sl_only,2.0,None,-12.64001702361151,27.562590399983435,-0.6310068588530816,20.584299077705047,13.219464389055464,2.4130737147335406,20.67249408684826,7,1030,94,0,FAIL
cluster0_A2_SL2.0_EXsl_only_CAPNone,0,Choppy,A2,2.0,sl_only,,None,-20.836158880453063,54.203229681257774,-0.3844080694633908,84.85505322551779,28.206923415760496,4.367612639266317,122.46645013918592,8,2873,243,0,FAIL
cluster0_A2_SL2.0_EXsl_plus_trailing_atr_1r_CAP2,0,Choppy,A2,2.0,sl_plus_trailing_atr_1r,2.0,None,0.5429980282985635,8.308821687095742,0.10470528740199708,17.74933358566415,5.265737099865893,3.571561493891528,10.148231647823206,10,1030,94,0,FAIL
cluster0_A2_SL2.0_EXsl_plus_trailing_atr_1r_CAPNone,0,Choppy,A2,2.0,sl_plus_trailing_atr_1r,,None,13.333016161584236,11.961851540382007,1.1768145657119236,53.46144255857001,8.649508143251193,6.654144463310438,18.673282890458427,10,2873,243,0,FAIL
cluster0_A2_SL2.0_EXsl_plus_trailing_atr_2r_CAP2,0,Choppy,A2,2.0,sl_plus_trailing_atr_2r,2.0,None,8.151236978368543,11.384744697217283,1.1071589151610104,21.196520714751337,6.506043428399229,3.5051994901094394,9.020365094928483,10,1030,94,0,FAIL
cluster0_A2_SL2.0_EXsl_plus_trailing_atr_2r_CAPNone,0,Choppy,A2,2.0,sl_plus_trailing_atr_2r,,None,27.030524003729532,19.406550325080563,2.1821489343194536,65.07832644896106,12.457673757009163,5.533796414377514,21.24822199214096,10,2873,243,0,FAIL
cluster0_A2_SL2.5_EXsl_only_CAP2,0,Choppy,A2,2.5,sl_only,2.0,None,-12.086296045354773,21.579911781591058,-0.6773506424740637,16.52454002912089,10.786355135462296,2.3977536319862414,16.533962749817977,7,1030,94,0,FAIL
cluster0_A2_SL2.5_EXsl_only_CAPNone,0,Choppy,A2,2.5,sl_only,,None,-20.9130431249573,46.18557637657902,-0.45280463654801173,60.138759131381754,22.44768674739158,3.917538219869961,80.79683209163899,8,2873,243,0,FAIL
cluster0_A2_SL2.5_EXsl_plus_trailing_atr_1r_CAP2,0,Choppy,A2,2.5,sl_plus_trailing_atr_1r,2.0,None,6.34205724761213,7.73850306973066,1.3351450305185482,15.169288735322933,4.526064171495952,3.693186196728886,6.6882812223641235,10,1030,94,0,FAIL
cluster0_A2_SL2.5_EXsl_plus_trailing_atr_1r_CAPNone,0,Choppy,A2,2.5,sl_plus_trailing_atr_1r,,None,23.857954040935105,11.958131157484837,3.1808221732778295,45.10520744295176,8.011113022410786,6.027129924128299,11.747842180677768,10,2873,243,0,FAIL
cluster0_A2_SL2.5_EXsl_plus_trailing_atr_2r_CAP2,0,Choppy,A2,2.5,sl_plus_trailing_atr_2r,2.0,None,1.5294786480940674,11.475360201385792,0.21900847128595569,18.966736957255232,5.745993859075333,3.9499553224901183,9.922643602779932,10,1030,94,0,FAIL
