trade_id,cluster_id
1,4
2,0
3,3
4,5
5,3
6,3
7,2
8,3
9,3
10,4
11,2
12,1
13,1
14,3
15,1
16,2
17,1
18,3
19,0
20,1
21,3
22,0
23,2
24,3
25,1
26,5
27,3
28,0
29,2
30,2
31,3
32,1
33,0
34,3
35,2
36,1
37,1
38,2
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,3
47,3
48,1
49,0
50,1
51,3
52,0
53,3
54,2
55,3
56,1
57,4
58,1
59,3
60,3
61,1
62,1
63,1
64,3
65,2
66,3
67,1
68,4
69,5
70,5
71,3
72,2
73,4
74,2
75,1
76,1
77,3
78,3
79,1
80,4
81,0
82,5
83,3
84,3
85,0
86,3
87,5
88,0
89,0
90,5
91,3
92,3
93,4
94,5
95,4
96,3
97,3
98,3
99,1
100,2
101,3
102,5
103,3
104,2
105,3
106,0
107,1
108,3
109,3
110,2
111,3
112,0
113,4
114,2
115,3
116,1
117,3
118,4
119,0
120,1
121,2
122,2
123,0
124,2
125,1
126,5
127,1
128,2
129,0
130,3
131,3
132,5
133,3
134,3
135,3
136,3
137,1
138,3
139,3
140,0
141,3
142,2
143,1
144,2
145,3
146,1
147,4
148,1
149,5
150,3
151,3
152,0
153,0
154,1
155,1
156,3
157,0
158,4
159,1
160,3
161,0
162,1
163,1
164,5
165,5
166,2
167,1
168,3
169,2
170,2
171,1
172,1
173,3
174,0
175,3
176,0
177,1
178,2
179,1
180,2
181,0
182,3
183,0
184,0
185,3
186,3
187,3
188,3
189,1
190,1
191,1
192,2
193,5
194,1
195,2
196,3
197,3
198,5
199,3
200,0
201,2
202,1
203,5
204,4
205,1
206,0
207,3
208,0
209,0
210,2
211,3
212,2
213,2
214,1
215,0
216,3
217,1
218,1
219,1
220,1
221,2
222,0
223,5
224,5
225,5
226,2
227,3
228,2
229,3
230,1
231,5
232,3
233,3
234,3
235,3
236,0
237,1
238,1
239,1
240,0
241,0
242,2
243,3
244,1
245,3
246,2
247,1
248,3
249,0
250,1
251,4
252,3
253,0
254,0
255,0
256,2
257,3
258,3
259,3
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,2
268,2
269,3
270,3
271,1
272,2
273,2
274,0
275,2
276,3
277,2
278,1
279,2
280,1
281,0
282,0
283,1
284,3
285,0
286,0
287,0
288,0
289,1
290,3
291,1
292,1
293,4
294,1
295,1
296,0
297,0
298,3
299,1
300,0
301,5
302,1
303,5
304,3
305,1
306,2
307,0
308,1
309,1
310,2
311,1
312,0
313,0
314,3
315,0
316,2
317,4
318,1
319,1
320,0
321,3
322,2
323,2
324,0
325,3
326,0
327,2
328,0
329,3
330,1
331,3
332,1
333,5
334,3
335,1
336,3
337,2
338,0
339,3
340,0
341,1
342,0
343,1
344,0
345,0
346,2
347,3
348,5
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,5
358,2
359,3
360,0
361,1
362,3
363,2
364,0
365,3
366,0
367,1
368,1
369,4
370,2
371,3
372,3
373,3
374,3
375,5
376,0
377,3
378,0
379,0
380,1
381,1
382,3
383,3
384,0
385,4
386,3
387,1
388,3
389,1
390,4
391,2
392,2
393,2
394,3
395,0
396,1
397,2
398,0
399,3
400,2
401,0
402,3
403,1
404,1
405,0
406,1
407,3
408,0
409,3
410,3
411,1
412,3
413,3
414,1
415,0
416,3
417,2
418,3
419,3
420,3
421,2
422,4
423,3
424,0
425,0
426,3
427,2
428,1
429,1
430,0
431,1
432,1
433,5
434,2
435,4
436,2
437,3
438,3
439,3
440,2
441,0
442,0
443,2
444,1
445,3
446,1
447,0
448,0
449,0
450,1
451,3
452,1
453,1
454,5
455,3
456,2
457,3
458,1
459,0
460,2
461,1
462,1
463,1
464,5
465,3
466,5
467,1
468,2
469,1
470,2
471,1
472,1
473,3
474,3
475,1
476,2
477,1
478,1
479,3
480,1
481,0
482,3
483,0
484,0
485,1
486,4
487,3
488,1
489,2
490,1
491,0
492,1
493,1
494,1
495,3
496,3
497,0
498,1
499,3
500,0
501,2
502,3
503,1
504,0
505,2
506,1
507,2
508,1
509,1
510,3
511,2
512,1
513,1
514,0
515,4
516,1
517,0
518,1
519,2
520,0
521,5
522,3
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,1
531,3
532,2
533,3
534,2
535,3
536,0
537,0
538,3
539,3
540,1
541,0
542,0
543,2
544,2
545,1
546,0
547,1
548,5
549,0
550,5
551,5
552,3
553,2
554,1
555,2
556,5
557,1
558,1
559,2
560,0
561,2
562,0
563,0
564,0
565,2
566,3
567,3
568,4
569,2
570,0
571,3
572,3
573,4
574,1
575,5
576,2
577,3
578,0
579,2
580,1
581,3
582,5
583,0
584,1
585,1
586,3
587,1
588,0
589,1
590,1
591,3
592,3
593,4
594,1
595,3
596,3
597,0
598,3
599,1
600,2
601,1
602,3
603,1
604,4
605,3
606,1
607,4
608,1
609,3
610,0
611,0
612,3
613,3
614,2
615,3
616,1
617,3
618,0
619,1
620,1
621,5
622,0
623,5
624,5
625,0
626,1
627,3
628,0
629,1
630,2
631,1
632,2
633,1
634,3
635,3
636,3
637,2
638,1
639,1
640,1
641,4
642,0
643,2
644,0
645,1
646,3
647,3
648,3
649,3
650,0
651,1
652,2
653,1
654,3
655,1
656,0
657,3
658,3
659,3
660,0
661,0
662,3
663,1
664,1
665,1
666,1
667,2
668,3
669,1
670,2
671,2
672,5
673,1
674,0
675,2
676,0
677,3
678,2
679,1
680,0
681,0
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,1
691,0
692,2
693,0
694,0
695,5
696,5
697,2
698,1
699,3
700,0
701,1
702,1
703,1
704,1
705,3
706,1
707,0
708,1
709,5
710,5
711,1
712,2
713,0
714,3
715,1
716,5
717,0
718,5
719,0
720,3
721,0
722,2
723,5
724,3
725,1
726,2
727,3
728,0
729,1
730,5
731,0
732,3
733,0
734,4
735,1
736,2
737,1
738,1
739,3
740,0
741,4
742,1
743,3
744,2
745,3
746,5
747,3
748,1
749,1
750,1
751,0
752,3
753,2
754,5
755,0
756,1
757,0
758,5
759,5
760,5
761,3
762,1
763,5
764,0
