trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
1,2,-1,0.05189320949,0.103786419,0,0,1,1,17,5
2,2,-1,0.1798368759,0.3596737518,0,0,1,1,25,4
3,2,-1,1.824932842,3.649865684,1,0,0.7666666667,1,135,30
6,2,-1,2.305543629,4.611087258,1,0,0.64,1,81,39
8,2,-1,0.5801650674,1.160330135,0,0,0.75,1,17,8
9,2,-1,1.195251145,2.39050229,1,0,0.6666666667,1,37,23
10,2,-1,0.2187904918,0.4375809836,0,0,1,1,8,4
19,2,-1,0.3851278499,0.7702556998,0,0,1,1,17,7
21,2,-1,1.099831825,2.19966365,1,0,0.8333333333,1,17,8
22,2,-1,0.7978625181,1.595725036,0,0,1,1,6,2
27,2,-1,1.102492535,2.20498507,1,0,0.5652173913,1,60,23
28,2,-1,0.2935505496,0.5871010992,0,0,0.5,1,20,3
31,2,-1,0.4475589463,0.8951178926,0,0,0.5,1,6,4
33,2,-1,0.674707948,1.349415896,0,0,0.5,1,17,5
34,2,-1,1.078451651,2.156903302,1,0,0.5681818182,1,91,57
42,2,-1,0.15126624,0.30253248,0,0,1,1,6,2
44,2,-1,0.3739237635,0.747847527,0,0,1,1,31,3
47,2,-1,1.982553865,3.96510773,1,0,0.5625,1,27,19
49,2,-1,0.5860657026,1.172131405,0,0,0,1,14,2
52,2,-1,1.14033093,2.28066186,1,0,1,1,25,7
55,2,-1,3.121544872,6.243089744,1,0,0.59375,1,66,34
57,2,-1,0.1433141822,0.2866283644,0,0,1,1,9,3
60,2,-1,0.6114789291,1.222957858,0,0,0.5,1,50,39
64,2,-1,0.3960676803,0.7921353606,0,0,0.5,1,20,17
68,2,-1,0.2981209793,0.5962419586,0,0,1,1,8,5
71,2,-1,1.104883895,2.20976779,1,0,0.53125,1,64,38
73,2,-1,0.416990749,0.833981498,0,0,1,1,4,2
77,2,-1,1.450313904,2.900627808,1,0,0.5,1,51,14
80,2,-1,0.3885611299,0.7771222598,0,0,1,1,6,2
81,2,-1,0.41147623,0.82295246,0,0,1,1,20,1
83,2,-1,0.9278449956,1.855689991,0,0,0.625,1,14,8
84,2,-1,1.885750206,3.771500412,1,0,0.4848484848,1,82,33
85,2,-1,0.6874456153,1.374891231,0,0,0.7142857143,1,22,8
91,2,-1,0.8475813545,1.695162709,0,0,1,1,26,9
92,2,-1,3.605053239,7.210106478,1,0,0.7647058824,1,39,17
93,2,-1,0.3791712,0.7583424,0,0,1,1,8,5
95,2,-1,0.04624205661,0.09248411322,0,0,1,1,6,3
96,2,-1,1.985017061,3.970034122,1,0,0.7222222222,1,40,18
97,2,-1,1.728093197,3.456186394,1,0,0.6666666667,1,82,24
101,2,-1,2.07285603,4.14571206,1,0,0.5102040816,1,67,53
106,2,-1,0.2007802097,0.4015604194,0,0,1,1,7,3
111,2,-1,1.88645827,3.77291654,1,0,0.5555555556,1,97,45
113,2,-1,0.2137959581,0.4275919162,0,0,1,1,10,8
115,2,-1,1.367121428,2.734242856,1,0,0.5714285714,1,52,27
118,2,-1,0.3480616412,0.6961232824,0,0,1,1,21,10
119,2,-1,1.090624274,2.181248548,1,0,0.6666666667,1,26,8
123,2,-1,0.365351686,0.730703372,0,0,1,1,9,3
129,2,-1,1.687581925,3.37516385,1,0,0.8,1,36,6
130,2,-1,1.911459184,3.822918368,1,0,0.7142857143,1,49,11
134,2,1.440830409,5.32074203,10.64148406,1,0,0.5,0,240,170
136,2,1.136934476,4.374170391,8.748340782,1,0,0.6666666667,0,240,34
140,2,-1,0.8347867502,1.6695735,0,0,1,1,25,7
147,2,-1,0.04506143593,0.09012287186,0,0,1,1,11,5
150,2,-1,0.5531919116,1.106383823,0,0,0.8571428571,1,45,12
152,2,-1,0.4856090245,0.971218049,0,0,1,1,14,1
153,2,-1,0.5251012759,1.050202552,0,0,0.5714285714,1,63,16
156,2,-1,0.138059886,0.276119772,0,0,0.5,1,7,6
157,2,0.3463622981,2.411372674,4.822745348,1,0,0.5393939394,0,240,198
158,2,-1,0.3937924991,0.7875849982,0,0,1,1,9,7
161,2,-1,1.637020585,3.27404117,1,0,0.7142857143,1,34,7
174,2,-1,0.6818722787,1.363744557,0,0,1,1,8,2
175,2,-1,1.063324113,2.126648226,1,0,0.6363636364,1,14,12
176,2,-1,1.034449491,2.068898982,1,0,0.6428571429,1,39,14
181,2,-1,1.428403982,2.856807964,1,0,0.7777777778,1,75,10
182,2,-1,2.787089183,5.574178366,1,0,0.5882352941,1,61,20
183,2,-1,0.5197177231,1.039435446,0,0,0.5,1,22,2
184,2,-1,0.8445868773,1.689173755,0,0,0.5454545455,1,54,11
185,2,-1,0.9583507391,1.916701478,0,0,1,1,23,11
187,2,-1,1.071527353,2.143054706,1,0,0.6428571429,1,109,16
200,2,-1,0.682303423,1.364606846,0,0,0.6666666667,1,22,3
204,2,-1,0.4119701778,0.8239403556,0,0,1,1,4,2
206,2,-1,0.5652145612,1.130429122,0,0,0.5,1,28,5
208,2,-1,0.3013975646,0.6027951292,0,0,0.5,1,25,4
209,2,-1,0.8406532637,1.681306527,0,0,1,1,13,2
211,2,7.977524563,8.41945047,16.83890094,1,0,0.547008547,0,240,235
215,2,-1,0.919073306,1.838146612,0,0,1,1,10,3
216,2,-1,0.9611699708,1.922339942,0,0,0.5454545455,1,86,59
222,2,-1,0.7707928698,1.54158574,0,0,1,1,20,6
227,2,-1,2.926149149,5.852298298,1,0,0.6666666667,1,52,17
232,2,-1,1.758224335,3.51644867,1,0,0.6428571429,1,99,34
236,2,-1,0.2263014314,0.4526028628,0,0,0.75,1,12,6
240,2,-1,0.7620139027,1.524027805,0,0,0.6666666667,1,16,5
241,2,-1,0.5874495702,1.17489914,0,0,1,1,24,3
245,2,-1,1.728045507,3.456091014,1,0,0.5172413793,1,68,31
249,2,-1,0.5302344452,1.06046889,0,0,0.6666666667,1,16,6
251,2,-1,0.1577050797,0.3154101594,0,0,1,1,13,10
253,2,-1,0.3254899904,0.6509799808,0,0,0.75,1,27,7
254,2,-1,0.2729739897,0.5459479794,0,0,1,1,11,3
257,2,-1,1.825335392,3.650670784,1,0,0.6774193548,1,98,32
259,2,-1,0.4377872598,0.8755745196,0,0,0.6666666667,1,29,17
260,2,-1,0.8056764752,1.61135295,0,0,0.6,1,30,10
264,2,-1,1.185348961,2.370697922,1,0,0.5,1,71,14
265,2,-1,0.509740071,1.019480142,0,0,1,1,6,3
269,2,4.482419295,4.684842972,9.369685944,1,0,0.5223214286,0,240,234
274,2,-1,0.6375386041,1.275077208,0,0,0.7142857143,1,23,7
276,2,-1,1.013648743,2.027297486,1,0,0.4736842105,1,36,19
281,2,-1,1.502010583,3.004021166,1,0,1,1,34,6
282,2,-1,0.3176389985,0.635277997,0,0,1,1,34,1
284,2,-1,0.124460835,0.24892167,0,0,0.5,1,10,6
285,2,-1,1.089440381,2.178880762,1,0,0.6666666667,1,21,8
286,2,-1,0.3000571187,0.6001142374,0,0,0,1,20,6
287,2,-1,0.382665811,0.765331622,0,0,1,1,6,2
288,2,-1,4.163152139,8.326304278,1,0,0.7142857143,1,83,14
290,2,-1,0.376464127,0.752928254,0,0,0.6666666667,1,32,16
293,2,-1,0.1950851756,0.3901703512,0,0,1,1,22,7
296,2,-1,0.9257934589,1.851586918,0,0,1,1,27,5
297,2,-1,0.6927256774,1.385451355,0,0,0.75,1,35,16
300,2,-1,1.426109688,2.852219376,1,0,1,1,19,6
304,2,-1,1.058142928,2.116285856,1,0,1,1,27,11
307,2,-1,1.250703274,2.501406548,1,0,0.75,1,58,7
312,2,-1,1.012145881,2.024291762,1,0,1,1,23,3
313,2,-1,1.342248413,2.684496826,1,0,1,1,15,4
314,2,-1,0.1715163478,0.3430326956,0,0,0.5,1,16,8
315,2,-1,0.9486981025,1.897396205,0,0,0.5454545455,1,59,12
317,2,-1,0.522983154,1.045966308,0,0,1,1,14,3
320,2,-1,0.7601294926,1.520258985,0,0,0.4285714286,1,37,15
321,2,-1,1.234062156,2.468124312,1,0,0.52,1,38,27
324,2,-1,0.5613707452,1.12274149,0,0,1,1,25,1
325,2,-1,3.26307695,6.5261539,1,0,0.8095238095,1,80,29
326,2,-1,0.7901750417,1.580350083,0,0,1,1,13,1
328,2,-1,0.5023490199,1.00469804,0,0,0.75,1,19,5
331,2,-1,1.51872383,3.03744766,1,0,0.6428571429,1,68,17
334,2,-1,1.230558957,2.461117914,1,0,0.8333333333,1,35,12
338,2,-1,0.4908831261,0.9817662522,0,0,1,1,3,1
