trade_id,X,truncated_at_bar,sl_triggered,peak_mfe_bar_X,peak_mfe_X,peak_mfe_atr,final_r_X,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X
1,0.5,0,1,0,-0.6875850256,-0.3437925128,-1,0,1,0
1,1,7,1,5,0.103786419,0.103786419,-1,0,0,1
1,1.5,14,1,5,0.06919094599,0.103786419,-1,0,0,1
1,2,17,1,5,0.05189320949,0.103786419,-1,0,0,1
1,3,44,1,5,0.03459547299,0.103786419,-1,0,0,1
1,4,68,1,5,0.02594660475,0.103786419,-1,0,0,1
2,0.5,0,1,0,-0.3996375021,-0.199818751,-1,0,1,0
2,1,1,1,0,-0.199818751,-0.199818751,-1,0,0,0
2,1.5,7,1,4,0.2397825012,0.3596737518,-1,0,0,1
2,2,25,1,4,0.1798368759,0.3596737518,-1,0,0,1
2,3,30,1,4,0.1198912506,0.3596737518,-1,0,0,1
2,4,50,1,4,0.08991843795,0.3596737518,-1,0,0,1
3,0.5,61,1,30,7.299731368,3.649865684,-1,1,0,0.7666666667
3,1,91,1,30,3.649865684,3.649865684,-1,1,0,0.7666666667
3,1.5,134,1,30,2.433243789,3.649865684,-1,1,0,0.7666666667
3,2,135,1,30,1.824932842,3.649865684,-1,1,0,0.7666666667
3,3,240,0,237,1.36069554,4.08208662,1.082399439,1,0,0.5119047619
3,4,240,0,237,1.020521655,4.08208662,0.811799579,1,0,0.5119047619
4,0.5,0,1,0,-1.394462266,-0.6972311332,-1,0,1,0
4,1,1,1,0,-0.6972311332,-0.6972311332,-1,0,0,0
4,1.5,240,0,218,7.861968261,11.79295239,0.7697031864,1,0,0.5211267606
4,2,240,0,218,5.896476196,11.79295239,0.5772773898,1,0,0.5211267606
4,3,240,0,218,3.930984131,11.79295239,0.3848515932,1,0,0.5211267606
4,4,240,0,218,2.948238098,11.79295239,0.2886386949,1,0,0.5211267606
5,0.5,0,1,0,-1.411685565,-0.7058427824,-1,0,1,0
5,1,4,1,2,-0.1713210637,-0.1713210637,-1,0,0,0
5,1.5,200,1,84,7.213758921,10.82063838,-1,1,0,0.5405405405
5,2,200,1,84,5.410319191,10.82063838,-1,1,0,0.5405405405
5,3,201,1,84,3.606879461,10.82063838,-1,1,0,0.5405405405
5,4,201,1,84,2.705159596,10.82063838,-1,1,0,0.5405405405
6,0.5,0,1,0,-0.9568563372,-0.4784281686,-1,0,1,0
6,1,2,1,1,-0.2692230196,-0.2692230196,-1,0,0,0
6,1.5,2,1,1,-0.1794820131,-0.2692230196,-1,0,0,0
6,2,81,1,39,2.305543629,4.611087258,-1,1,0,0.64
6,3,83,1,39,1.537029086,4.611087258,-1,1,0,0.64
6,4,89,1,39,1.152771815,4.611087258,-1,1,0,0.64
7,0.5,240,0,211,34.63210712,17.31605356,24.36838512,1,0,0.519047619
7,1,240,0,211,17.31605356,17.31605356,12.18419256,1,0,0.519047619
7,1.5,240,0,211,11.54403571,17.31605356,8.122795041,1,0,0.519047619
7,2,240,0,211,8.658026779,17.31605356,6.092096281,1,0,0.519047619
7,3,240,0,211,5.772017853,17.31605356,4.061397521,1,0,0.519047619
7,4,240,0,211,4.32901339,17.31605356,3.04604814,1,0,0.519047619
8,0.5,0,1,0,-1.044847041,-0.5224235204,-1,0,1,0
