cluster_id,X,shape_tag,bimodal_sep_admits,dip_stat,dip_p,mode_loc_1,mode_loc_2,mode_mass_1,mode_mass_2,mode_separation,detail
0,0.5,heavy_right_tail,0,0.005382629808,0.620717358,0.5875039139,,0.1843091335,,,skew=6.39>=1.5; p95/p50=10.78>=3.0
0,1,heavy_right_tail,0,0.006038552363,0.407435575,0.3334740816,,0.1197501952,,,skew=4.62>=1.5; p95/p50=5.77>=3.0
0,1.5,heavy_right_tail,0,0.01454817671,5.369543474e-06,0.2352108319,0.5488252745,0.3428571429,0.3922716628,0.3136144425,skew=4.26>=1.5; p95/p50=4.86>=3.0
0,2,heavy_right_tail,0,0.005035128806,0.736705689,0.4460786652,,0.09219359875,,,skew=4.17>=1.5; p95/p50=4.51>=3.0
0,3,heavy_right_tail,0,0.005035128806,0.736705689,0.3252877026,,0.1103044496,,,skew=3.27>=1.5; p95/p50=5.83>=3.0
0,4,heavy_right_tail,0,0.005035128806,0.736705689,0.280373514,,0.1039032006,,,skew=2.79>=1.5; p95/p50=5.32>=3.0
1,0.5,heavy_right_tail,0,0.005225462054,0.9832582545,1.623660838,,0.2236323851,,,skew=2.04>=1.5; p95/p50=37.06>=3.0
1,1,tight_unimodal,0,0.008745132323,0.3045445304,0.8949995213,7.458329344,0.4210065646,0.1080962801,6.563329823,IQR/range=0.384 < 0.50
1,1.5,tight_unimodal,0,0.02736263893,0,0.6461905447,4.95412751,0.2100656455,0.1702407002,4.307936965,IQR/range=0.318 < 0.50
1,2,tight_unimodal,0,0.00523979481,0.9826337649,4.09859192,4.811390515,0.2468271335,0.2284463895,0.7127985948,IQR/range=0.254 < 0.50
1,3,tight_unimodal,0,0.005181249698,0.9851846221,2.732394614,3.207593677,0.2472647702,0.2328227571,0.4751990632,IQR/range=0.250 < 0.50
1,4,tight_unimodal,0,0.005181249698,0.9851846221,2.04929596,2.405695258,0.247702407,0.2358862144,0.3563992974,IQR/range=0.250 < 0.50
2,0.5,no_magnitude,0,,,,,,,,p75=-0.0094 < 0.5000
2,1,no_magnitude,0,,,,,,,,p75=0.0935 < 0.5000
2,1.5,no_magnitude,0,,,,,,,,p75=0.1018 < 0.5000
2,2,no_magnitude,0,,,,,,,,p75=0.0876 < 0.5000
2,3,no_magnitude,0,,,,,,,,p75=0.3622 < 0.5000
2,4,heavy_right_tail,0,0.00521189274,0.732728115,0.1821152679,,0.2185287012,,,skew=5.58>=1.5; p95/p50=36.26>=3.0
3,0.5,heavy_right_tail,0,0.005426990661,0.9925782284,1.145783389,,0.2278233685,,,skew=3.61>=1.5; p95/p50=20.37>=3.0
3,1,heavy_right_tail,0,0.005497792125,0.9921486329,0.6349600348,,0.1694021102,,,skew=6.10>=1.5; p95/p50=9.73>=3.0
3,1.5,heavy_right_tail,0,0.005275498242,0.993497425,0.4821402292,,0.1133255178,,,skew=4.90>=1.5; p95/p50=5.44>=3.0
3,2,heavy_right_tail,0,0.005275498242,0.993497425,1.121479484,,0.08655724893,,,skew=4.55>=1.5; p95/p50=4.40>=3.0
3,3,heavy_right_tail,0,0.005744902807,0.9906492622,0.757022756,,0.07424775303,,,skew=4.07>=1.5; p95/p50=3.95>=3.0
3,4,heavy_right_tail,0,0.005842626359,0.990056314,0.4593482603,1.378044781,0.3042203986,0.1969519343,0.9186965206,skew=3.71>=1.5; p95/p50=3.59>=3.0
