trade_id,cluster_label
1,3
2,1
3,3
4,4
5,3
6,1
7,2
8,4
9,1
10,0
11,4
12,3
13,3
14,3
15,0
16,1
17,0
18,0
19,2
20,1
21,6
22,0
23,0
24,0
25,0
26,3
27,6
28,1
29,2
30,3
31,3
32,3
33,0
34,6
35,3
36,0
37,0
38,5
39,1
40,1
41,1
42,6
43,6
44,1
45,6
46,0
47,3
48,1
49,1
50,5
51,2
52,0
53,0
54,0
55,0
56,3
57,2
58,3
59,3
60,2
61,3
62,2
63,0
64,2
65,1
66,4
67,1
68,1
69,2
70,0
71,0
72,0
73,3
74,4
75,1
76,3
77,4
78,4
79,2
80,0
81,4
82,1
83,1
84,3
85,1
86,5
87,3
88,1
89,6
90,4
91,4
92,1
93,2
94,0
95,4
96,1
97,3
98,3
99,1
100,0
101,3
102,3
103,0
104,3
105,6
106,4
107,1
108,4
109,4
110,6
111,6
112,3
113,3
114,3
115,0
116,2
117,1
118,0
119,4
120,2
121,0
122,2
123,3
124,0
125,0
126,1
127,4
128,1
129,1
130,0
131,0
132,0
133,5
134,2
135,4
136,2
137,0
138,2
139,4
140,4
141,6
142,2
143,6
144,4
145,3
146,2
147,4
148,1
149,6
150,2
151,4
152,1
153,4
154,3
155,5
156,0
157,3
158,0
159,1
160,2
161,1
162,1
163,6
164,4
165,0
166,0
167,0
168,4
169,1
170,4
171,2
172,2
173,4
174,4
175,3
176,0
177,1
178,0
179,0
180,0
181,1
182,2
183,4
184,2
185,1
186,2
187,6
188,3
189,2
190,1
191,4
192,1
193,1
194,6
195,3
196,5
197,1
198,3
199,0
200,1
201,1
202,2
203,3
204,4
205,4
206,1
207,1
208,1
209,0
210,3
211,1
212,1
213,1
214,3
215,1
216,1
217,2
218,1
219,1
220,3
221,6
222,4
223,6
224,3
225,2
226,2
227,0
228,4
229,2
230,1
231,6
232,6
233,2
234,6
235,1
236,5
237,3
238,0
239,3
240,1
241,2
242,4
243,1
244,3
245,4
246,1
247,1
248,2
249,5
250,4
251,1
252,2
253,3
254,1
255,0
256,1
257,4
258,2
259,2
260,2
261,0
262,4
263,6
264,2
265,2
266,6
267,5
268,2
269,4
270,2
271,1
272,1
273,3
274,3
275,1
276,1
277,6
278,1
279,3
280,1
281,1
282,1
283,2
284,6
285,3
286,0
287,5
288,3
289,3
290,4
291,4
292,6
293,1
294,1
295,3
296,3
297,4
298,1
299,0
300,5
301,6
302,1
303,1
304,3
305,4
306,6
307,1
308,1
309,2
310,3
311,2
312,4
313,3
314,6
315,1
316,1
317,1
318,0
319,2
320,0
321,0
322,1
323,0
324,3
325,3
326,6
327,4
328,6
329,0
330,0
331,4
332,4
333,3
334,0
335,6
336,4
337,4
338,4
339,1
340,6
341,2
342,0
343,3
344,2
345,1
346,2
347,3
348,6
349,0
350,0
351,0
352,1
353,2
354,1
355,6
356,3
357,6
358,6
359,6
360,3
361,0
362,3
363,2
364,1
365,6
366,1
367,5
368,1
369,1
370,5
371,1
372,5
373,0
374,0
375,3
376,0
377,2
378,2
379,2
380,5
381,1
382,2
383,2
384,5
385,4
386,5
387,0
388,4
389,0
390,4
391,2
392,4
393,1
394,0
395,0
396,0
397,1
398,0
399,0
400,6
401,6
402,6
403,3
404,1
405,2
406,1
407,0
408,0
409,3
410,3
411,0
412,5
413,0
414,0
415,0
416,0
417,0
418,2
419,2
420,2
421,2
422,4
423,3
424,0
425,0
426,4
427,6
428,0
429,3
430,1
431,3
432,3
433,4
434,4
435,1
436,1
437,4
438,4
439,3
440,4
441,3
442,6
443,1
444,0
445,3
446,0
447,5
448,0
449,1
450,4
451,1
452,3
453,4
454,1
455,1
456,6
457,1
458,1
459,1
460,0
461,1
