trade_id,pair,final_r,mfe_r,mae_r,bars_held,exit_reason,time_to_peak_mfe
2,AUD_CHF,-1.024724345,1.476717676,-1.094614168,41,stoploss,10
6,CAD_CHF,2.784344519,5.530858271,-0.04287487032,120,time_exit,34
9,EUR_CHF,-1.002451177,2.13987774,-1.438841046,60,stoploss,21
16,AUD_USD,-1.005475087,1.031141422,-1.512949096,31,stoploss,16
20,AUD_JPY,-1.006965828,0.8881431225,-1.264297857,27,stoploss,12
28,AUD_CAD,-1.061898915,1.174016088,-1.273054353,39,stoploss,14
39,EUR_CHF,3.072104425,4.207506415,-0.04074409052,120,time_exit,39
40,NZD_CAD,-1.022268577,2.637814223,-1.103306793,96,stoploss,20
41,AUD_USD,-1.006529528,6.305347993,-1.382083526,85,stoploss,14
44,AUD_CHF,-1.022265547,1.976067271,-1.148531118,61,stoploss,16
48,CAD_CHF,-1.025341086,0.922837875,-1.214260362,35,stoploss,9
49,USD_CHF,-1.001665916,1.294416997,-1.204457514,34,stoploss,12
65,CAD_JPY,-1.001497218,0.8384421384,-1.305574187,39,stoploss,18
67,EUR_CAD,-1.002085551,1.887423497,-1.109513039,46,stoploss,23
68,NZD_CAD,-1.050376846,1.667647312,-1.028382509,75,stoploss,36
75,AUD_CAD,-1.036205322,2.175939853,-1.010128484,96,stoploss,20
82,EUR_CAD,-1.002692152,3.491721638,-1.192623505,88,stoploss,15
83,AUD_CAD,-1.003473889,0.9066851533,-1.135961859,30,stoploss,12
85,AUD_CAD,-1.003534281,1.24053261,-1.152175586,41,stoploss,20
88,NZD_CAD,-1.052866829,1.344994329,-1.236150858,39,stoploss,21
92,EUR_NZD,-1.006114522,2.239953318,-2.700580661,62,stoploss,21
96,NZD_CAD,-1.069386828,1.410240404,-1.25646419,35,stoploss,13
99,EUR_JPY,-1.003029653,1.817791813,-1.130060577,99,stoploss,12
107,CHF_JPY,-1.087236322,3.923695924,-1.221308514,108,stoploss,59
117,EUR_NZD,-1.006542225,2.000986324,-3.247747537,53,stoploss,12
126,CAD_JPY,-1.001528458,1.907515333,-2.005336632,37,stoploss,18
128,EUR_CAD,-1.002509664,5.722034643,-1.049039685,89,stoploss,40
129,NZD_JPY,-1.002474821,1.06293583,-1.483655483,34,stoploss,14
148,NZD_CHF,-1.007772873,1.397173956,-1.191192817,58,stoploss,14
152,AUD_JPY,-1.001766287,1.192243526,-1.559631161,22,stoploss,10
159,NZD_JPY,0.2572299958,1.474967742,-0.8674671136,120,time_exit,47
161,GBP_JPY,-1.000952186,2.347137878,-1.090252686,95,stoploss,45
162,USD_JPY,-1.00257487,2.701038341,-1.506298789,42,stoploss,20
169,USD_CAD,1.651704043,3.93063747,-0.6421634165,120,time_exit,68
177,NZD_CHF,-1.010367256,4.525307153,-1.067827347,107,stoploss,38
181,NZD_CHF,-1.006900881,1.628607847,-1.425031866,48,stoploss,19
185,EUR_AUD,-1.024958,1.988320692,-1.034370458,57,stoploss,28
190,AUD_NZD,-1.08294216,0.6434300868,-1.090815069,22,stoploss,8
192,AUD_JPY,-1.00468122,3.162164124,-1.776522998,83,stoploss,15
193,EUR_AUD,2.98382238,3.817119901,-0.533310413,120,time_exit,58
197,AUD_CHF,-1.042633717,1.391865472,-1.075874392,35,stoploss,7
200,EUR_CHF,2.843208475,3.631609078,-0.850479391,120,time_exit,62
201,EUR_CHF,-1.005386579,1.352031289,-1.443603129,38,stoploss,21
206,GBP_CHF,-1.100513699,0.887091833,-1.197983042,24,stoploss,8
207,EUR_CHF,-1.002673315,1.88201341,-1.293884219,99,stoploss,20
208,AUD_CHF,1.725230389,2.859745305,-0.7229333768,120,time_exit,31
211,EUR_CAD,-1.006580006,0.7172207069,-1.033061018,17,stoploss,9
212,USD_CAD,0.1705170769,3.919207459,-0.9358299415,120,time_exit,63
213,EUR_CAD,-1.001377764,1.902692202,-1.004390018,63,stoploss,17
215,AUD_JPY,-1.001483126,0.6792715162,-1.539484353,16,stoploss,8
216,EUR_GBP,-1.002334935,1.480348946,-1.013361897,37,stoploss,16
218,AUD_JPY,-1.001439466,1.308474509,-1.043612782,39,stoploss,23
219,CAD_CHF,-1.048859586,2.770338554,-1.109112614,31,stoploss,15
230,EUR_AUD,-1.009895175,0.5194966814,-1.009307838,47,stoploss,17
235,EUR_GBP,-1.077706931,0.8769782205,-1.00130931,23,stoploss,8
240,USD_CAD,-1.001181701,1.733555407,-2.000619839,94,stoploss,43
243,USD_CHF,1.432175,2.998616406,-0.06713320312,120,time_exit,36
246,EUR_AUD,-1.01549276,1.574064384,-1.121675801,33,stoploss,16
247,EUR_CAD,-1.005569095,1.546816084,-1.01496753,34,stoploss,16
251,GBP_CHF,1.09139561,2.619047557,-0.5087141363,120,time_exit,63
254,EUR_CHF,-1.003228454,2.721586879,-1.811162798,115,stoploss,21
256,EUR_GBP,-1.002732798,2.06326263,-1.084920879,114,stoploss,64
271,USD_JPY,-1.001614663,0.4601790145,-1.157713521,37,stoploss,13
272,GBP_JPY,-1.001053964,3.10708595,-1.511384414,110,stoploss,50
275,CHF_JPY,-1.003033479,1.305912858,-1.129971056,51,stoploss,8
276,USD_JPY,-1.00146093,0.965674692,-1.085470947,25,stoploss,10
278,NZD_JPY,-1.004098806,1.036998034,-1.034265497,17,stoploss,9
280,NZD_JPY,1.277349469,2.473346832,-0.2076299992,120,time_exit,44
281,AUD_JPY,2.319786167,3.200244987,-0.3023189657,120,time_exit,56
282,USD_JPY,1.854160762,2.533719682,-0.6375552782,120,time_exit,45
293,USD_JPY,-1.001903979,1.989658193,-1.243298373,33,stoploss,12
294,CHF_JPY,-1.002852168,2.971958716,-1.480275023,113,stoploss,26
298,EUR_JPY,-1.004833817,0.9413857675,-1.270085291,59,stoploss,16
302,CHF_JPY,-1.002952483,1.222328005,-1.511671349,23,stoploss,9
303,GBP_AUD,1.022316813,3.470351127,-0.8767978431,120,time_exit,53
307,CHF_JPY,-1.001905367,3.197206333,-1.044141281,78,stoploss,29
308,EUR_CHF,-1.082058673,0.7633943171,-1.002110455,28,stoploss,11
315,EUR_CHF,-1.00276028,1.32493453,-1.137235471,40,stoploss,13
316,CHF_JPY,-1.007458493,1.195223423,-1.120638498,29,stoploss,15
317,EUR_JPY,-1.001880206,1.004029938,-2.267528288,25,stoploss,14
322,EUR_CHF,-1.006298884,2.188862289,-1.143247498,66,stoploss,16
339,EUR_JPY,-1.001042858,1.901130901,-1.302530168,106,stoploss,41
345,AUD_NZD,1.752944114,3.948901855,-0.1754681422,120,time_exit,39
352,USD_CHF,-1.001401553,1.226359154,-1.380530019,35,stoploss,8
354,EUR_JPY,-0.6033732933,1.441205011,-0.9235477011,120,time_exit,46
364,AUD_JPY,-1.001150184,1.048967758,-1.051268126,40,stoploss,9
366,AUD_NZD,-1.019018362,0.4545388599,-1.238095388,17,stoploss,5
368,CHF_JPY,-1.004466559,1.63178279,-1.012419979,38,stoploss,15
369,GBP_AUD,-1.003589985,2.979687831,-1.127255396,58,stoploss,22
371,AUD_NZD,-1.029227308,0.6471761094,-1.018780456,17,stoploss,7
381,GBP_JPY,1.381576724,2.607766322,-0.2568315705,120,time_exit,31
393,NZD_CHF,-1.023548322,4.987962773,-1.130319461,113,stoploss,47
397,EUR_CHF,-1.005689677,2.477854182,-1.265953055,119,stoploss,29
404,EUR_USD,2.555529835,4.302371447,-0.1895069848,120,time_exit,30
406,EUR_JPY,1.794663646,3.716801407,-0.3766931676,120,time_exit,25
430,EUR_AUD,-1.002002269,2.822197983,-1.014149187,81,stoploss,35
435,AUD_NZD,0.9934716096,2.147442723,-0.9772184953,120,time_exit,65
