trade_id,pair,final_r,mfe_r,mae_r,bars_held,exit_reason,time_to_peak_mfe
38,AUD_CAD,-1.005953004,0.3591645566,-1.053681655,18,stoploss,11
50,USD_CHF,-1.001821122,0.358760937,-1.058071596,3,stoploss,1
86,USD_JPY,-1.002563957,0.1666572362,-1.012763205,5,stoploss,4
133,NZD_JPY,-1.002499656,0.4524377967,-1.159840539,16,stoploss,13
155,NZD_JPY,-1.003422099,0.3798530089,-1.173780019,7,stoploss,3
196,EUR_CHF,-1.007332425,0.1613133591,-1.444487807,6,stoploss,3
236,AUD_CHF,-1.034145718,0.364820045,-1.446700178,15,stoploss,5
249,EUR_CHF,-1.00300332,0.2432689234,-1.276411018,23,stoploss,19
267,AUD_USD,-1.006810449,0.2065836224,-1.418843561,2,stoploss,1
287,EUR_JPY,-1.001671801,1.312363928,-1.061593751,5,stoploss,4
300,GBP_JPY,-1.0009117,0.3418875696,-1.162417737,6,stoploss,3
367,AUD_CHF,-1.057139568,0.7495366885,-1.993162584,9,stoploss,3
370,AUD_CHF,-1.007418919,0.06231891712,-1.097999968,11,stoploss,6
372,AUD_CHF,-1.007321018,0.4996594636,-1.045075288,3,stoploss,1
380,EUR_NZD,-1.005342057,0.2762606416,-1.092832151,31,stoploss,11
384,EUR_AUD,-1.000898678,0.3999118763,-1.081110084,9,stoploss,4
386,EUR_CAD,-1.001075886,0.1409411257,-1.059748159,5,stoploss,3
412,GBP_NZD,-1.015468024,0.1631876548,-1.009288576,3,stoploss,1
447,EUR_USD,-1.001889521,0.1681673406,-1.936758698,28,stoploss,17
464,USD_CHF,-1.002182764,0.3165007173,-1.233261416,7,stoploss,3
554,EUR_JPY,-1.000843869,0.421090782,-1.594069113,6,stoploss,3
587,EUR_CHF,-1.001670484,0.1921056405,-1.174350133,2,stoploss,1
596,GBP_CHF,-1.001225305,0.322255092,-1.251035928,3,stoploss,1
608,GBP_JPY,-1.000712364,0.205873181,-1.200333253,10,stoploss,8
636,EUR_CAD,-1.000602901,0.1043019593,-1.328192002,22,stoploss,19
639,AUD_CAD,-1.001807012,0.2692447968,-1.635345913,9,stoploss,5
659,AUD_CAD,-1.001710823,0.04619220769,-1.011096102,5,stoploss,2
693,GBP_CHF,-1.001407752,0.3378604673,-1.565420165,12,stoploss,10
697,EUR_CHF,-1.002203598,0.6632829215,-1.042301734,3,stoploss,1
705,USD_CAD,-1.001558049,0.8148595914,-1.051683029,29,stoploss,14
722,NZD_USD,-1.001874215,0.163056715,-1.006453516,9,stoploss,3
724,EUR_AUD,-1.00104042,0.4151275392,-1.676116455,6,stoploss,3
728,EUR_AUD,-1.000953018,0.2258652488,-1.117890029,5,stoploss,2
729,GBP_AUD,-1.000856274,0.1601231745,-1.021534477,4,stoploss,2
778,CHF_JPY,-1.002743536,0.4197609456,-1.06449181,20,stoploss,17
780,CAD_JPY,-1.002722135,0.09663580293,-1.37059512,5,stoploss,2
801,NZD_USD,-1.002050004,0.2193504424,-1.277152576,6,stoploss,2
904,EUR_AUD,-1.000713708,1.29966169,-1.468096703,5,stoploss,3
923,GBP_JPY,-1.000514961,0.1838412387,-1.638092382,6,stoploss,2
996,USD_CHF,-1.001527171,0.5299283833,-1.119416441,2,stoploss,1
1017,EUR_JPY,-1.00090248,0.4828268468,-1.112757948,10,stoploss,5
1049,GBP_CAD,-1.000608044,0.2541623799,-1.049483894,45,stoploss,17
1053,GBP_CAD,-1.000932503,0.1743780697,-1.347466903,16,stoploss,11
1111,USD_CAD,-1.001324831,0.1629541967,-1.32880536,5,stoploss,3
1129,GBP_CHF,-1.000637001,0.2325055134,-5.085182229,3,stoploss,1
1179,EUR_USD,-1.000980272,0.0872441893,-1.061634348,12,stoploss,10
1209,NZD_CAD,-1.00122644,0.1091531609,-1.043700449,17,stoploss,11
1252,AUD_NZD,-1.004665768,0.1975174978,-1.121339495,31,stoploss,24
1318,AUD_USD,-1.001403836,0.1474027885,-1.045857881,6,stoploss,2
1337,CAD_JPY,-1.00106486,0.2225556758,-1.274637052,6,stoploss,2
1373,CAD_CHF,-1.001650456,0.3614499691,-1.005127996,12,stoploss,8
1374,CAD_CHF,-1.001927936,0.3682358428,-1.243518946,3,stoploss,1
1390,GBP_JPY,-1.000595015,0.07199682173,-1.104942958,3,stoploss,1
1391,EUR_CHF,-1.001801692,0.3405197014,-1.508015821,7,stoploss,5
1464,EUR_AUD,-1.003559856,0.2180411794,-1.277098337,2,stoploss,1
1467,AUD_USD,-1.002102292,0.2796048226,-1.149953669,5,stoploss,2
1508,USD_CHF,-1.001942292,0.7438976847,-1.066318091,3,stoploss,1
1510,USD_CHF,-1.001734802,0.2654247706,-1.042616256,15,stoploss,13
1518,AUD_CHF,-1.002485807,0.3579562756,-1.019181062,5,stoploss,2
1537,EUR_CHF,-1.001343128,0.2565373642,-1.038237605,10,stoploss,9
1552,GBP_NZD,-1.000868959,0.358880128,-3.049177649,11,stoploss,4
1587,CHF_JPY,-1.001251615,0.2859941324,-1.786681068,2,stoploss,1
1615,USD_CAD,-1.001416999,0.2536428222,-1.302222087,16,stoploss,8
1652,USD_JPY,-1.001694791,0.3542112333,-1.181269041,10,stoploss,8
1684,NZD_CAD,-1.002614884,0.2013460712,-1.017189892,13,stoploss,10
1704,NZD_JPY,-1.000617152,0.4350918949,-1.032494667,3,stoploss,1
1708,EUR_JPY,-1.000310274,0.06174458073,-1.516930931,17,stoploss,9
1710,USD_JPY,-1.000326287,0.2189383061,-1.032697077,16,stoploss,9
1714,GBP_NZD,-1.002743127,0.2324799839,-1.015642644,9,stoploss,4
1721,EUR_NZD,-1.000899196,0.09261723118,-1.547517038,5,stoploss,2
