feature,importance,importance_std,fold,classifier,cluster_id
atr_14,0.0016840653929485415,0.000720612886741259,1,lgbm,0
atr_percentile_100,0.0007977151861334964,0.00017451295200581786,1,lgbm,0
atr_vs_trailing_100,0.00017727004136294244,0.00023429933530373604,1,lgbm,0
d1_atr_percentile_100,-0.002166633838881271,0.0009410186476731349,1,lgbm,0
d1_close_slope_magnitude,0.00013787669883784658,0.0006768895126034727,1,lgbm,0
d1_close_slope_sign,-1.9696671262603437e-05,0.00032304942814374436,1,lgbm,0
day_of_week,0.00349615914910375,0.0006569659279163843,1,lgbm,0
distance_to_round_number,0.0009552885562339241,0.0003679641853903778,1,lgbm,0
hour_of_day,0.0006007484735079283,0.00035563265876044397,1,lgbm,0
kijun_26_distance,0.0018022454205238736,0.0004969263664188674,1,lgbm,0
prior_session_high_distance,0.0010537719125467194,0.00036927975692835563,1,lgbm,0
prior_session_low_distance,0.0029840456962773043,0.0005662578889684849,1,lgbm,0
range_close_ratio,0.00031514674020087784,0.00026352350128538944,1,lgbm,0
session_dead,5.9090013787610476e-05,7.237019133689465e-05,1,lgbm,0
session_ldn_ny_overlap,-3.939334252516247e-05,8.471858643925131e-05,1,lgbm,0
session_london,-0.0003446917470947941,9.848335631279515e-05,1,lgbm,0
session_ny,0.00011818002757528756,8.58557995576263e-05,1,lgbm,0
session_tokyo,-1.9696671262603437e-05,0.00010139482116392742,1,lgbm,0
spread_percentile_100,-0.00016742170573176286,0.00025794368433541576,1,lgbm,0
spread_vs_trailing_100,-0.0008666535355525307,0.000653709937966364,1,lgbm,0
swing_high_distance_14,0.0015067953515855547,0.0003504125837040817,1,lgbm,0
swing_low_distance_14,0.00025605672641320075,0.00027221341266665437,1,lgbm,0
w1_close_slope_sign,0.009572582233602467,0.0009870960814123348,1,lgbm,0
atr_14,0.0006204451447705317,0.00032752194501310433,2,lgbm,0
atr_percentile_100,-0.00017727004136300906,6.67946620359178e-05,2,lgbm,0
atr_vs_trailing_100,-0.00046287177467008167,0.00015757337010047223,2,lgbm,0
d1_atr_percentile_100,-0.0002659050620444914,0.000183189632043911,2,lgbm,0
d1_close_slope_magnitude,-0.00045302343903879104,0.00026499161014526,2,lgbm,0
d1_close_slope_sign,0.00017727004136300906,7.369819552437639e-05,2,lgbm,0
day_of_week,0.000817411857396122,0.00032304942814372875,2,lgbm,0
distance_to_round_number,2.2204460492503132e-17,0.0001357499384684799,2,lgbm,0
hour_of_day,2.2204460492503132e-17,0.00012061698556151727,2,lgbm,0
kijun_26_distance,0.0005121134528264903,0.0002881374598843638,2,lgbm,0
prior_session_high_distance,0.0009651368918653036,0.0002301225417677558,2,lgbm,0
prior_session_low_distance,0.0004825684459326629,0.0002704260432882937,2,lgbm,0
range_close_ratio,-0.0004234784321449636,0.00017227551393083897,2,lgbm,0
session_dead,0.0,0.0,2,lgbm,0
session_ldn_ny_overlap,0.0,0.0,2,lgbm,0
session_london,4.924167815640867e-05,4.4043095873548594e-05,2,lgbm,0
session_ny,1.9696671262581235e-05,2.4123397112332458e-05,2,lgbm,0
session_tokyo,6.893834941898991e-05,2.412339711227807e-05,2,lgbm,0
