pair,bar_time,swing_low_N,low,close,sweep_atr,reclaim_ratio,fired_signal
AUD_CHF,2020-10-07 00:00:00,0.65139,0.65062,0.65229,0.3446426688,1.168831169,1
GBP_CAD,2020-10-07 16:00:00,1.70942,1.70588,1.71467,0.57110454,1.483050847,1
GBP_CHF,2020-10-07 16:00:00,1.17827,1.17694,1.18382,0.2899984266,4.172932331,1
NZD_CAD,2020-10-09 00:00:00,0.8676,0.86665,0.86975,0.3927806852,2.263157895,1
EUR_GBP,2020-10-12 08:00:00,0.90625,0.90484,0.90748,0.5735030014,0.8723404255,1
AUD_JPY,2020-10-13 04:00:00,75.529,75.46,75.73,0.295701006,2.913043478,1
EUR_CAD,2020-10-13 12:00:00,1.5452,1.54444,1.5473,0.2779589138,2.763157895,1
EUR_NZD,2020-10-13 12:00:00,1.76906,1.76751,1.77305,0.3346260885,2.574193548,1
CAD_JPY,2020-10-14 04:00:00,80.121,80.074,80.249,0.2865132735,2.723404255,1
CHF_JPY,2020-10-14 04:00:00,115.167,115.038,115.239,0.5311308692,0.5581395349,1
EUR_USD,2020-10-14 12:00:00,1.17284,1.17195,1.1761,0.3775050382,3.662921348,1
EUR_CHF,2020-10-15 16:00:00,1.06932,1.06883,1.06978,0.3573028794,0.9387755102,1
NZD_USD,2020-10-15 16:00:00,0.65823,0.6576,0.65915,0.2859344273,1.46031746,1
USD_CAD,2020-10-20 20:00:00,1.31129,1.3104,1.31272,0.3042701697,1.606741573,1
NZD_CAD,2020-10-21 00:00:00,0.86324,0.86249,0.86448,0.3681774879,1.653333333,1
CAD_CHF,2020-10-22 00:00:00,0.68787,0.68735,0.68863,0.302292948,1.461538462,1
EUR_NZD,2020-10-22 20:00:00,1.76889,1.7675,1.76994,0.2742055454,0.7553956835,1
GBP_AUD,2020-10-23 12:00:00,1.82989,1.82747,1.8326,0.3983781223,1.119834711,1
GBP_NZD,2020-10-23 12:00:00,1.95463,1.95011,1.95653,0.7096172889,0.4203539823,0
GBP_NZD,2020-10-26 08:00:00,1.94696,1.94526,1.94865,0.2874866489,0.9941176471,1
AUD_NZD,2020-10-27 16:00:00,1.06254,1.06159,1.06288,0.4658999296,0.3578947368,0
EUR_GBP,2020-10-28 08:00:00,0.90208,0.90146,0.9056,0.2571260788,5.677419355,1
EUR_NZD,2020-10-28 08:00:00,1.75425,1.75219,1.76004,0.4055468565,2.810679612,1
CHF_JPY,2020-10-28 12:00:00,114.29,114.19,114.497,0.348312109,2.07,1
USD_JPY,2020-10-28 12:00:00,104.16,104.113,104.337,0.2512522323,3.765957447,1
NZD_JPY,2020-10-28 16:00:00,69.284,69.145,69.407,0.5868182306,0.8848920863,1
NZD_USD,2020-10-28 16:00:00,0.66369,0.66283,0.66533,0.3515875061,1.906976744,1
AUD_CHF,2020-10-29 12:00:00,0.64086,0.64012,0.64208,0.329138517,1.648648649,1
AUD_JPY,2020-10-29 12:00:00,73.262,73.134,73.353,0.4377049659,0.7109375,1
NZD_CAD,2020-10-30 20:00:00,0.88031,0.87954,0.88088,0.3121356031,0.7402597403,1
AUD_CAD,2020-11-02 00:00:00,0.93532,0.93414,0.93602,0.4416897188,0.593220339,1
EUR_CHF,2020-11-02 00:00:00,1.06713,1.0661,1.06761,0.7018387828,0.4660194175,0
EUR_USD,2020-11-02 08:00:00,1.163,1.16221,1.16401,0.3040094661,1.278481013,1
GBP_USD,2020-11-02 08:00:00,1.28804,1.28535,1.29097,0.606057815,1.089219331,1
EUR_CAD,2020-11-03 00:00:00,1.53811,1.53635,1.53909,0.4365452508,0.5568181818,1
GBP_AUD,2020-11-03 12:00:00,1.82136,1.81897,1.82452,0.3476190213,1.322175732,1
USD_CAD,2020-11-03 16:00:00,1.31367,1.31037,1.31572,0.7922767385,0.6212121212,1
EUR_AUD,2020-11-04 00:00:00,1.63343,1.62932,1.63618,0.606470141,0.6690997567,1
USD_CHF,2020-11-04 00:00:00,0.91167,0.90888,0.91443,1.198029348,0.9892473118,1
GBP_CAD,2020-11-05 00:00:00,1.70255,1.69761,1.70554,0.74361928,0.6052631579,1
CAD_CHF,2020-11-09 00:00:00,0.68788,0.68717,0.69128,0.2772437505,4.788732394,1
EUR_GBP,2020-11-10 12:00:00,0.89031,0.8884,0.89207,0.5851509477,0.9214659686,1
EUR_NZD,2020-11-10 12:00:00,1.72761,1.72519,1.73187,0.3756617525,1.760330579,1
CAD_JPY,2020-11-18 16:00:00,79.334,79.239,79.582,0.3750163578,2.610526316,1
CHF_JPY,2020-11-18 16:00:00,113.986,113.827,114.126,0.6733688828,0.8805031447,1
AUD_USD,2020-11-19 12:00:00,0.7265,0.72544,0.72709,0.4188628054,0.5566037736,1
AUD_CAD,2020-11-20 00:00:00,0.94995,0.94933,0.95281,0.2561609391,4.612903226,1
AUD_NZD,2020-11-20 00:00:00,1.05229,1.05172,1.05339,0.2993458351,1.929824561,1
EUR_GBP,2020-11-23 16:00:00,0.88738,0.88664,0.8895,0.3251987577,2.864864865,1
GBP_AUD,2020-11-25 00:00:00,1.81412,1.81262,1.81488,0.3047407926,0.5066666667,1
USD_CHF,2020-11-27 00:00:00,0.90597,0.90547,0.90634,0.2570999356,0.74,1
GBP_JPY,2020-11-27 12:00:00,138.919,138.608,139.018,0.8830841302,0.3183279743,0
USD_CAD,2020-11-27 16:00:00,1.29799,1.29719,1.29873,0.331486984,0.925,1
GBP_NZD,2020-11-27 20:00:00,1.89204,1.88959,1.89401,0.4684530905,0.8040816327,1
CAD_CHF,2020-11-30 00:00:00,0.69536,0.69415,0.6959,0.7160541528,0.4462809917,0
USD_CHF,2020-12-03 08:00:00,0.8937,0.89253,0.89406,0.5404928512,0.3076923077,0
GBP_CAD,2020-12-07 00:00:00,1.71465,1.7127,1.71661,0.3083015931,1.005128205,1
AUD_CHF,2020-12-07 12:00:00,0.65903,0.65819,0.66043,0.4147455056,1.666666667,1
NZD_CHF,2020-12-07 12:00:00,0.62607,0.62542,0.62663,0.3685435095,0.8615384615,1
EUR_NZD,2020-12-09 12:00:00,1.71171,1.70944,1.71307,0.5230195407,0.5991189427,1
GBP_CAD,2020-12-10 16:00:00,1.69308,1.6871,1.69458,0.7745266607,0.2508361204,0
USD_CHF,2020-12-10 16:00:00,0.88632,0.88519,0.88792,0.5460186987,1.415929204,1
EUR_AUD,2020-12-11 04:00:00,1.60713,1.60582,1.60855,0.2725754811,1.083969466,1
EUR_JPY,2020-12-16 08:00:00,125.784,125.706,126.077,0.2570435354,3.756410256,1
CAD_CHF,2020-12-16 12:00:00,0.69325,0.69213,0.69467,0.5875446449,1.267857143,1
EUR_GBP,2020-12-17 12:00:00,0.8992,0.8982,0.90063,0.2902758393,1.43,1
CAD_JPY,2020-12-21 04:00:00,80.523,80.402,80.576,0.5658247366,0.4380165289,0
GBP_CHF,2020-12-21 04:00:00,1.18321,1.18195,1.18469,0.2608911358,1.174603175,1
GBP_JPY,2020-12-21 04:00:00,138.027,137.865,138.29,0.3047135557,1.62345679,1
AUD_JPY,2020-12-21 12:00:00,77.729,77.49,77.874,0.8675264797,0.6066945607,1
AUD_USD,2020-12-21 12:00:00,0.74937,0.74618,0.75217,0.9919534078,0.8777429467,1
CAD_JPY,2020-12-21 12:00:00,80.336,80.147,80.367,0.8325398733,0.164021164,0
GBP_USD,2020-12-21 12:00:00,1.32141,1.31877,1.33156,0.3776963796,3.84469697,1
NZD_USD,2020-12-21 12:00:00,0.70201,0.70025,0.70357,0.6105300077,0.8863636364,1
CHF_JPY,2020-12-23 00:00:00,116.386,116.309,116.583,0.273219571,2.558441558,1
EUR_AUD,2020-12-28 00:00:00,1.60238,1.6004,1.605,0.4707895822,1.323232323,1
EUR_NZD,2020-12-28 00:00:00,1.71106,1.70896,1.71425,0.4035781408,1.519047619,1
AUD_NZD,2020-12-29 16:00:00,1.06375,1.06277,1.06413,0.464595855,0.387755102,0
USD_CAD,2020-12-29 16:00:00,1.27947,1.27797,1.28158,0.5095422287,1.406666667,1
EUR_GBP,2020-12-31 12:00:00,0.8989,0.89752,0.89988,0.4816911024,0.7101449275,1
GBP_AUD,2021-01-05 20:00:00,1.75561,1.75249,1.75562,0.5098426025,0.003205128205,0
EUR_AUD,2021-01-06 12:00:00,1.5797,1.5779,1.58384,0.3394563366,2.3,1
EUR_NZD,2021-01-06 12:00:00,1.68828,1.68688,1.69305,0.2568210175,3.407142857,1
USD_CAD,2021-01-06 12:00:00,1.26462,1.26302,1.27041,0.3995193266,3.61875,1
GBP_CAD,2021-01-06 16:00:00,1.7233,1.71955,1.72444,0.6835715227,0.304,0
GBP_CAD,2021-01-11 00:00:00,1.7188,1.71748,1.72187,0.2584583047,2.325757576,1
AUD_USD,2021-01-11 16:00:00,0.76765,0.7666,0.77102,0.2885199415,3.20952381,1
NZD_USD,2021-01-11 16:00:00,0.71638,0.71465,0.71803,0.5599804807,0.9537572254,1
EUR_CHF,2021-01-12 00:00:00,1.08134,1.08078,1.08217,0.3299081608,1.482142857,1
NZD_CAD,2021-01-12 00:00:00,0.91516,0.91379,0.91604,0.542879762,0.6423357664,1
NZD_CHF,2021-01-13 16:00:00,0.63673,0.6362,0.63826,0.2632553143,2.886792453,1
NZD_JPY,2021-01-13 16:00:00,74.549,74.488,74.727,0.2596400074,2.918032787,1
CHF_JPY,2021-01-15 08:00:00,116.693,116.582,116.814,0.4700737578,1.09009009,1
AUD_CHF,2021-01-15 16:00:00,0.68533,0.68333,0.68708,0.9185601304,0.875,1
AUD_JPY,2021-01-15 16:00:00,80.088,79.717,80.147,1.418055789,0.1590296496,0
CAD_JPY,2021-01-15 16:00:00,81.452,81.314,81.65,0.6397094177,1.434782609,1
EUR_CHF,2021-01-15 16:00:00,1.07588,1.07504,1.07628,0.5374183581,0.4761904762,0
GBP_JPY,2021-01-15 16:00:00,141.101,140.956,141.234,0.4137420632,0.9172413793,1
EUR_CHF,2021-01-18 12:00:00,1.07504,1.0739,1.07531,0.7576501818,0.2368421053,0
NZD_CHF,2021-01-19 12:00:00,0.63215,0.63125,0.63249,0.4426556456,0.3777777778,0
CAD_CHF,2021-01-19 16:00:00,0.69626,0.69573,0.69812,0.2804491145,3.509433962,1
AUD_NZD,2021-01-25 12:00:00,1.0714,1.0708,1.07206,0.3328940139,1.1,1
AUD_JPY,2021-01-26 08:00:00,79.726,79.603,79.867,0.5340002319,1.146341463,1
AUD_USD,2021-01-26 08:00:00,0.76829,0.76689,0.76954,0.5591768137,0.8928571429,1
CAD_JPY,2021-01-26 08:00:00,81.238,81.162,81.412,0.3770647694,2.289473684,1
GBP_USD,2021-01-26 08:00:00,1.36356,1.36099,1.36584,0.743540011,0.8871595331,1
EUR_NZD,2021-01-27 12:00:00,1.6775,1.67586,1.68573,0.3410607169,5.018292683,1
EUR_JPY,2021-01-27 16:00:00,125.689,125.597,126.106,0.3844196055,4.532608696,1
EUR_USD,2021-01-27 16:00:00,1.20983,1.20586,1.21177,1.42014173,0.4886649874,0
NZD_USD,2021-01-27 16:00:00,0.71667,0.71464,0.71929,0.7470687754,1.290640394,1
AUD_CAD,2021-01-28 12:00:00,0.97724,0.97587,0.98015,0.5762777827,2.124087591,1
EUR_CAD,2021-02-02 12:00:00,1.54317,1.54024,1.54441,0.7294733932,0.4232081911,0
