trade_id,cluster_id
1,2
2,1
3,0
4,2
5,1
6,1
7,1
8,1
9,1
10,2
11,1
12,2
13,3
14,0
15,3
16,4
17,4
18,2
19,2
20,1
21,4
22,4
23,0
24,1
25,3
26,3
27,1
28,3
29,3
30,3
31,4
32,4
33,2
34,4
35,0
36,1
37,3
38,3
39,3
40,2
41,2
42,4
43,1
44,1
45,2
46,3
47,0
48,1
49,0
50,2
51,1
52,1
53,2
54,1
55,1
56,0
57,2
58,3
59,4
60,4
61,2
62,1
63,1
64,4
65,1
66,4
67,4
68,4
69,4
70,4
71,3
72,1
73,2
74,4
75,1
76,3
77,2
78,3
79,4
80,1
81,4
82,3
83,2
84,1
85,3
86,2
87,1
88,1
89,3
90,4
91,2
92,1
93,0
94,2
95,2
96,0
97,1
98,4
99,0
100,0
101,2
102,1
103,2
104,3
105,3
106,1
107,1
108,2
109,3
110,3
111,1
112,4
113,1
114,1
115,4
116,3
117,1
118,0
119,2
120,3
121,4
122,4
123,3
124,2
125,1
126,0
127,1
128,0
129,4
130,4
131,4
132,1
133,1
134,3
135,3
136,1
137,2
138,4
139,4
140,0
141,4
142,0
143,1
144,2
145,3
146,2
147,4
148,3
149,1
150,1
151,1
152,3
153,4
154,2
155,2
156,1
157,2
158,2
159,2
160,4
161,1
162,4
163,2
164,3
165,2
166,2
167,4
168,1
169,1
170,2
171,1
172,2
173,1
174,1
175,2
176,2
177,0
178,1
179,4
180,3
181,4
182,2
183,2
184,2
185,4
186,2
187,2
188,4
189,2
190,2
191,2
192,4
193,4
194,1
195,0
196,4
197,2
198,2
199,2
200,1
201,1
202,4
203,2
204,4
205,2
206,2
207,1
208,2
209,1
210,2
211,2
212,2
213,0
214,1
215,1
216,1
217,0
218,1
219,4
220,0
221,1
222,1
223,1
224,1
225,1
226,3
227,1
228,2
229,2
230,4
231,2
232,1
233,1
234,2
235,0
236,1
237,4
238,1
239,1
240,2
241,2
242,2
243,4
244,1
245,4
246,0
247,3
248,2
249,3
250,4
251,2
252,4
253,0
254,4
255,2
256,3
257,3
258,3
259,4
260,2
261,3
262,1
263,1
264,4
265,0
266,4
267,0
268,0
269,4
270,0
271,4
272,2
273,4
274,2
275,1
276,2
277,2
278,1
279,4
280,1
281,2
282,4
283,2
284,0
285,4
286,3
287,3
288,1
289,4
290,4
291,4
292,2
293,3
294,2
295,0
296,4
297,1
298,1
299,3
300,4
301,1
302,4
303,2
304,3
305,0
306,4
307,3
308,2
309,1
310,4
311,2
312,4
313,4
314,4
315,3
316,3
317,0
318,2
319,4
320,2
321,2
322,4
323,2
324,4
325,4
326,4
327,3
328,1
329,2
330,2
331,1
332,2
333,3
334,3
335,2
336,3
337,3
338,3
339,4
340,4
341,4
342,0
343,1
344,1
345,2
346,1
347,1
348,1
349,3
350,0
351,3
352,4
353,2
354,3
355,3
356,4
357,4
358,1
359,1
360,1
361,4
362,4
363,0
364,2
365,4
366,2
367,1
368,4
369,4
370,1
371,1
372,1
373,4
374,1
375,4
376,4
377,1
378,1
379,2
380,1
381,3
382,1
383,2
384,1
385,2
386,0
387,3
388,1
389,0
390,3
391,0
392,4
393,1
394,1
395,1
396,0
397,4
398,4
399,4
400,3
401,3
402,2
403,2
404,4
405,1
406,4
407,1
408,1
409,1
410,0
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,2
419,1
420,2
421,4
422,2
423,4
424,1
425,0
426,4
427,4
428,2
429,3
430,0
431,1
432,1
433,1
434,1
435,1
436,4
437,4
438,0
439,2
440,2
441,3
442,2
443,1
444,2
445,1
446,4
447,2
448,2
449,4
450,4
451,1
452,2
453,1
454,1
455,2
456,4
457,1
458,3
459,0
460,0
461,2
462,0
463,1
464,2
465,4
466,4
467,0
468,0
469,1
470,2
471,4
472,2
473,4
474,4
475,1
476,1
477,1
478,3
479,4
480,3
481,4
482,2
483,2
484,2
485,0
486,3
487,4
488,0
489,4
490,0
491,0
492,3
493,3
494,2
495,4
496,0
497,2
498,1
499,1
500,3
501,1
502,1
503,4
504,1
505,1
506,4
507,4
508,1
509,1
510,1
511,0
512,0
513,2
514,2
515,3
516,1
517,3
518,1
519,2
520,1
521,3
522,1
523,1
524,2
525,1
526,0
527,4
528,2
529,1
530,4
531,2
532,0
533,2
534,1
535,1
536,2
537,1
538,2
539,4
540,2
541,2
542,1
543,1
544,1
545,2
546,2
547,1
548,1
549,2
550,2
551,1
552,1
553,1
554,4
555,2
556,2
557,1
558,3
559,0
560,4
561,1
562,3
563,2
564,1
565,4
566,2
567,2
568,2
569,1
570,4
571,2
572,1
573,3
574,4
575,2
576,4
577,3
578,2
579,4
580,2
581,1
582,1
583,2
584,4
585,0
586,2
587,2
588,4
589,4
590,2
591,4
592,2
593,2
594,4
595,2
596,4
597,2
598,2
599,2
600,4
601,1
602,2
603,2
604,0
605,4
606,2
607,1
608,1
609,1
610,2
611,2
612,1
613,3
614,3
615,2
616,2
617,2
618,3
619,4
620,4
621,2
622,3
623,1
624,2
625,3
626,0
627,1
628,1
629,4
630,4
631,2
632,3
633,1
634,2
635,4
636,2
637,2
638,1
639,3
640,2
641,0
642,1
643,2
644,2
645,4
646,4
647,2
648,4
649,3
650,2
651,4
652,4
653,1
654,4
655,4
656,1
657,2
658,1
659,1
660,2
661,2
662,1
663,4
664,4
665,3
666,3
667,3
668,2
669,0
670,3
671,1
672,2
673,2
674,4
675,4
676,2
677,4
678,1
679,0
680,1
681,2
682,4
683,2
684,2
685,2
686,4
687,4
688,4
689,4
690,0
691,1
692,4
693,1
694,1
695,1
696,1
697,4
698,3
699,2
700,4
701,2
702,2
703,1
704,1
705,0
706,4
707,3
708,4
709,1
710,2
711,4
712,4
713,1
714,2
715,2
716,1
717,4
718,2
719,1
720,2
721,4
722,0
723,1
724,1
725,3
726,4
727,2
728,3
729,1
730,2
731,1
732,3
733,2
734,0
735,0
736,3
737,1
738,3
739,0
740,2
741,1
742,4
743,3
744,1
745,4
746,1
747,2
748,4
749,1
750,4
751,4
752,4
753,4
754,4
755,4
756,3
757,3
758,1
759,4
760,1
761,3
762,1
763,3
764,3
765,3
766,2
767,4
768,4
769,3
770,2
771,2
772,4
773,3
774,3
775,2
776,2
777,4
778,4
779,4
780,3
781,0
782,1
783,2
784,2
785,4
786,2
787,1
788,2
789,4
790,4
791,4
792,0
793,1
794,4
795,2
796,1
797,1
798,0
799,0
800,1
801,0
802,4
803,1
804,0
805,3
806,2
807,2
808,2
809,1
810,1
811,2
812,2
813,3
814,3
815,1
816,3
817,3
818,3
819,2
820,4
821,4
822,2
823,4
824,3
825,3
826,1
827,1
828,1
829,0
830,4
831,4
832,2
833,0
834,1
835,3
836,1
837,0
838,4
839,2
840,3
841,2
842,2
843,4
844,0
845,2
846,1
847,1
848,4
849,1
850,4
851,2
852,2
853,3
854,3
855,2
856,3
857,0
858,2
859,4
860,2
861,1
862,1
863,2
864,1
865,1
866,2
867,4
868,1
869,1
870,0
871,2
872,4
873,2
874,1
875,3
876,4
877,4
878,3
879,4
880,2
881,1
882,2
883,2
884,1
885,3
886,2
887,1
888,3
889,0
890,2
891,3
892,1
893,1
894,3
895,2
896,4
897,2
898,1
899,1
900,0
901,2
902,2
903,2
904,4
905,2
906,2
907,2
908,2
909,2
910,4
911,2
912,2
913,4
914,3
915,4
916,3
917,1
918,4
919,2
920,3
921,3
922,2
923,3
924,3
925,4
926,1
927,1
928,3
929,4
930,1
931,4
932,1
933,2
934,2
935,2
936,2
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,0
945,2
946,2
947,3
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,4
959,1
960,4
961,1
962,4
963,3
964,1
965,4
966,2
967,2
968,2
969,1
970,1
971,1
972,2
973,1
974,2
975,1
976,1
977,1
978,3
979,4
980,1
981,1
982,1
983,4
984,2
985,4
986,3
987,3
988,3
989,3
990,3
991,4
992,4
993,1
994,1
995,3
996,1
997,2
998,1
999,1
1000,3
1001,2
1002,1
1003,1
1004,1
1005,4
1006,2
1007,0
1008,3
1009,4
1010,4
1011,4
1012,0
1013,0
1014,2
1015,3
1016,2
1017,1
1018,2
1019,4
1020,0
1021,4
1022,2
1023,2
1024,4
1025,1
1026,2
1027,1
1028,2
1029,2
1030,1
1031,1
1032,2
1033,3
1034,2
1035,4
1036,1
1037,4
1038,0
1039,2
1040,0
1041,0
1042,2
1043,2
1044,2
1045,3
1046,2
1047,3
1048,4
1049,1
1050,2
1051,2
1052,2
1053,0
1054,4
1055,2
1056,2
1057,2
1058,1
1059,0
1060,3
1061,4
1062,2
1063,1
1064,1
1065,0
1066,1
1067,0
1068,1
1069,1
1070,4
1071,4
1072,4
1073,4
1074,4
1075,0
1076,2
1077,4
1078,2
1079,3
1080,3
1081,3
