metric,value
unit_id,agg_c0_c2
n,738
sl_atr_mult,2
fwd_mfe_p5,0.03262403697
fwd_mfe_p10,0.07607633872
fwd_mfe_p25,0.2063024624
fwd_mfe_p50,0.455364656
fwd_mfe_p75,1.052200176
fwd_mfe_p90,1.94359542
fwd_mfe_p95,2.501648331
fwd_mfe_p99,4.20668943
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,-1
final_r_p95,-1
final_r_p99,0.3245491383
fwd_mfe_mean,0.7814155134
final_r_mean,-0.9714010402
hartigan_dip_stat,0.007254503484
hartigan_dip_pvalue,0.9960870072
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.2601626016
mass_final_r_le_0R_count,730
mass_final_r_le_0R_frac,0.9891598916
mass_final_r_0R_to_0.5R_count,0
mass_final_r_0R_to_0.5R_frac,0
mass_final_r_0.5R_to_1R_count,2
mass_final_r_0.5R_to_1R_frac,0.0027100271
mass_final_r_1R_to_2R_count,4
mass_final_r_1R_to_2R_frac,0.005420054201
mass_final_r_2R_to_5R_count,2
mass_final_r_2R_to_5R_frac,0.0027100271
mass_final_r_gt_5R_count,0
mass_final_r_gt_5R_frac,0
