trade_id,pair,entry_time,signal_bar_time,expected_d1_date_max,d1_date_joined,lag_correct
85,GBP_JPY,2021-02-26 12:00:00,2021-02-26 08:00:00,2021-02-25 00:00:00,2021-02-25 00:00:00,1
573,EUR_NZD,2023-01-18 12:00:00,2023-01-18 08:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,1
817,USD_JPY,2023-12-28 20:00:00,2023-12-28 16:00:00,2023-12-27 00:00:00,2023-12-27 00:00:00,1
947,NZD_USD,2024-07-29 20:00:00,2024-07-29 16:00:00,2024-07-28 00:00:00,2024-07-26 00:00:00,1
1265,AUD_USD,2025-11-21 16:00:00,2025-11-21 12:00:00,2025-11-20 00:00:00,2025-11-20 00:00:00,1
142,NZD_USD,2021-05-13 16:00:00,2021-05-13 12:00:00,2021-05-12 00:00:00,2021-05-12 00:00:00,1
690,AUD_NZD,2023-07-07 16:00:00,2023-07-07 12:00:00,2023-07-06 00:00:00,2023-07-06 00:00:00,1
997,AUD_JPY,2024-10-08 04:00:00,2024-10-08 00:00:00,2024-10-07 00:00:00,2024-10-07 00:00:00,1
1028,CAD_JPY,2024-11-29 12:00:00,2024-11-29 08:00:00,2024-11-28 00:00:00,2024-11-28 00:00:00,1
1257,EUR_AUD,2025-11-13 12:00:00,2025-11-13 08:00:00,2025-11-12 00:00:00,2025-11-12 00:00:00,1
228,EUR_NZD,2021-08-24 16:00:00,2021-08-24 12:00:00,2021-08-23 00:00:00,2021-08-23 00:00:00,1
492,EUR_CAD,2022-09-05 12:00:00,2022-09-05 08:00:00,2022-09-04 00:00:00,2022-09-02 00:00:00,1
598,EUR_JPY,2023-02-24 04:00:00,2023-02-24 00:00:00,2023-02-23 00:00:00,2023-02-23 00:00:00,1
665,GBP_JPY,2023-06-06 16:00:00,2023-06-06 12:00:00,2023-06-05 00:00:00,2023-06-05 00:00:00,1
1090,AUD_JPY,2025-02-28 08:00:00,2025-02-28 04:00:00,2025-02-27 00:00:00,2025-02-27 00:00:00,1
