t,rank,feature,importance
3,1,close_r_at_t,0.13750704638595118
3,2,mae_so_far_r_at_t,0.09309558943781143
3,3,monotonicity_so_far_at_t,0.05506844996084059
3,4,velocity_first_t,0.05001983149120265
3,5,mfe_so_far_r_at_t,0.04955023395477316
5,1,close_r_at_t,0.14421506338265
5,2,monotonicity_so_far_at_t,0.09406453939193068
5,3,mae_so_far_r_at_t,0.08994211434884952
5,4,mfe_so_far_r_at_t,0.050938536649407604
5,5,velocity_first_t,0.04972913179615962
8,1,monotonicity_so_far_at_t,0.13381401336077475
8,2,mae_so_far_r_at_t,0.12073864631503961
8,3,close_r_at_t,0.10126548148046817
8,4,bars_in_profit_at_t,0.06149588014343369
8,5,mfe_so_far_r_at_t,0.05708095055355354
12,1,monotonicity_so_far_at_t,0.13424970546482218
12,2,mae_so_far_r_at_t,0.12317330343582333
12,3,close_r_at_t,0.09188527555399625
12,4,bars_in_profit_at_t,0.07350674234601376
12,5,mfe_so_far_r_at_t,0.0640622071656409
