config_id,arch,sl_atr,exit_policy,exposure,extra,verdict,worst_fold_roi_pct,worst_fold_dd_pct,worst_fold_ratio,mean_fold_roi_pct,mean_fold_dd_pct,mean_fold_ratio,sign_pos_folds,sign_total_folds,n_trades_total,any_daily_breach,max_dd_across_folds
30,A6,1.5,sl_plus_tp_3r,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,0.017486156105117834,0.01982587227108657,1.7486916390452576,0.05902097115105942,0.009290834622288203,7.46819486317921,11,11,4434,0,0.01982587227108657
27,A6,1.5,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,0.004962375664643526,0.01490656191464783,0.9937172795281443,0.02577398439056537,0.007249481452503309,5.1967526530332115,11,11,2842,0,0.01490656191464783
24,A6,1.5,sl_plus_tp_2r,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,0.004905941802619607,0.01982587227108628,0.6525227431480116,0.041466365358831775,0.007940839622402975,6.568556693188344,11,11,4434,0,0.01982587227108628
33,A6,1.5,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,0.0024313294862401413,0.014906561914647967,0.48687449036097724,0.03311662659429324,0.007700630575390466,4.757296717536886,11,11,2842,0,0.014906561914647967
42,A6,2.0,sl_plus_tp_2r,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,0.004905941802619607,0.01982587227108628,0.39536742137433967,0.03311922697554769,0.009740317335378461,4.3732214253380794,11,11,4434,0,0.01982587227108628
4,A1,1.5,sl_plus_tp_3r,unlimited,{},FAIL,0.04485054829301771,0.2620518999035764,0.1711513952370532,0.3484712608342973,0.17226038059263848,2.3174963037456977,11,11,4434,0,0.2620518999035764
2,A1,1.5,sl_plus_tp_2r,unlimited,{},FAIL,0.014931960595292448,0.1885058415327107,0.07921219031666646,0.3273632313887944,0.12807835726426411,3.0660138194932496,11,11,4434,0,0.1885058415327107
20,A6,1.5,sl_only,unlimited,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4434,0,0.0
50,A6,2.0,sl_plus_tp_3r,unlimited,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4434,0,0.0
53,A6,2.0,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2842,0,0.0
56,A6,2.5,sl_only,unlimited,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4434,0,0.0
59,A6,2.5,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2842,0,0.0
68,A6,2.5,sl_plus_tp_3r,unlimited,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4434,0,0.0
71,A6,2.5,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2842,0,0.0
28,A6,1.5,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,0.0,0.0,0.0,0.0009090909090908897,0.0,181.63636363636363,2,11,2842,0,0.0
23,A6,1.5,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2842,0,0.0
