trade_id,pair,signal_bar_time,entry_time,y,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,n_swing_lows,most_recent_sl_lag,swing_low_dist_atr,mother_bar_range_atr,inside_bar_range_atr,ib_range_ratio,break_bar_body_atr,break_close_above_high_atr,d1_trend_state,d1_atr_ratio_to_4h,d1_pos_in_20d_range,d1_ret_5d_atr,d1_rsi_14,d1_close_above_kijun,d1_bars_since_swing_high,d1_bars_since_swing_low,session_london,session_ny_overlap,hour_sin,hour_cos
1,EUR_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,0,0.677002584,0.1162790698,0.2067183463,0.9177469676,0.6189456293,3.092356707,0.841382366,64.14210068,3,11,4.503363027,0.9177469676,0.4814021561,0.5245478036,0.6213170685,0.1399149124,0,2.611968112,0.7451688257,1.006875257,56.78252431,1,9,14,0,0,0,1
2,GBP_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,0,0.5900383142,0.101532567,0.3084291188,0.8176639512,0.4323280661,0.8818865987,0.7084019769,55.04561902,3,11,4.241827547,1.746542731,0.3931679152,0.2251121076,0.4824530593,0.2772538685,0,2.49767503,0.7470245632,0.3248614481,54.72190346,1,7,18,0,0,0,1
3,AUD_JPY,2020-10-08 04:00:00,2020-10-08 08:00:00,0,0.4720812183,0.09137055838,0.4365482234,0.7297362397,0.2407759167,0.981624891,0.6317923763,53.65394002,2,7,2.889311,0.5148900372,0.3778329769,0.7338129496,0.3444947731,0.01852122436,1,2.865943879,0.4455972333,0.1486379979,48.60490481,0,27,9,0,0,0.8660254038,0.5
4,CAD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.8370786517,0.05617977528,0.106741573,1.233546785,2.155241854,1.489958195,1.286432161,66.05122928,5,7,3.548179516,1.185036518,0.4088722489,0.3450292398,1.032575679,0.9424851838,1,2.860743174,0.6782511211,0.1647273325,52.08777943,0,21,6,1,0,0.8660254038,-0.5
5,CAD_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.7744360902,0.1428571429,0.08270676692,0.6746343203,1.435500095,2.987666276,1.010416667,66.51989854,2,7,6.604314925,1.004342823,0.4413021494,0.4393939394,0.5224611653,0.2739116789,1,3.06984648,0.631056394,1.273956241,54.59068665,1,28,11,1,0,0.8660254038,-0.5
6,GBP_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.6214099217,0.3028720627,0.07571801567,0.7441060339,1.373584768,1.303642686,0.8998097654,58.6978346,2,8,4.350008903,0.6819352948,0.3807957771,0.5584045584,0.4623948722,0.3516532432,1,2.618553328,0.718685446,0.4963645387,52.3040486,0,26,11,1,0,0.8660254038,-0.5
7,USD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,0,0.3524229075,0.1365638767,0.5110132159,1.261083948,0.8833143075,-0.1166641538,0.6511976048,49.53455294,1,29,0.6777631794,0.7333175383,0.3555478974,0.4848484848,0.4444348717,0.2388837435,0,3.113576033,0.5,-0.6298445423,50.4484794,0,8,27,1,0,0.8660254038,-0.5
8,AUD_CHF,2020-10-09 00:00:00,2020-10-09 04:00:00,0,0.4751381215,0.2928176796,0.2320441989,0.9415945799,1.31615154,-0.2340981,0.7922987165,55.55851434,4,5,3.53228022,1.25372538,0.5098136399,0.4066390041,0.44738748,0.01560654,1,2.733705944,0.4153132251,-0.6413033062,47.6642077,0,26,10,0,0,0,1
9,CHF_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,0,0.8644067797,0.1210653753,0.01452784504,1.593824914,2.02990776,1.740472243,1.30406291,67.31203975,2,4,7.455858922,0.7100818021,0.6174624366,0.8695652174,1.377713062,1.269657135,1,3.035757379,0.6309267241,1.030966027,53.87053295,1,29,8,1,0,0.8660254038,-0.5
10,EUR_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,0,0.8927444795,0.08832807571,0.01892744479,1.166416841,1.276803293,1.188494132,1.058195926,63.59874569,3,4,7.046335178,0.9346052925,0.6512800661,0.6968503937,1.041312196,0.8536552278,1,3.232278243,0.611481976,0.7934481623,53.83975706,1,27,8,1,0,0.8660254038,-0.5
11,NZD_CAD,2020-10-09 12:00:00,2020-10-09 16:00:00,0,0.3085501859,0.3197026022,0.3717472119,1.14655676,1.206228859,-3.963932293,0.3203272498,42.32458133,1,8,1.55999916,0.8396716792,0.6180324542,0.7360406091,0.3537703014,0.1193441981,0,2.560639169,0,-2.636635359,36.24272395,0,14,35,1,1,1.224646799e-16,-1
12,GBP_CHF,2020-10-12 04:00:00,2020-10-12 08:00:00,0,0.4271356784,0,0.5728643216,0.5489356442,1.577845168,1.630256109,0.8138256088,53.23300955,4,4,2.857775515,0.7392701138,0.6289312909,0.8507462687,0.2344699988,0.09378799951,1,2.748167351,0.722739726,-0.4065183956,51.51352954,1,9,20,0,0,0.8660254038,0.5
