calibrator,threshold,precision,recall,n_admitted
uncal,0,0.1717647059,1,425
uncal,0.01,0.1717647059,1,425
uncal,0.02,0.1717647059,1,425
uncal,0.03,0.1717647059,1,425
uncal,0.04,0.172985782,1,422
uncal,0.05,0.175059952,1,417
uncal,0.06,0.1780487805,1,410
uncal,0.07,0.182278481,0.9863013699,395
uncal,0.08,0.1848958333,0.9726027397,384
uncal,0.09,0.1885245902,0.9452054795,366
uncal,0.1,0.1959654179,0.9315068493,347
uncal,0.11,0.2054380665,0.9315068493,331
uncal,0.12,0.2026143791,0.8493150685,306
uncal,0.13,0.2042253521,0.7945205479,284
uncal,0.14,0.2091254753,0.7534246575,263
uncal,0.15,0.22406639,0.7397260274,241
uncal,0.16,0.2293577982,0.6849315068,218
uncal,0.17,0.243902439,0.6849315068,205
uncal,0.18,0.2551020408,0.6849315068,196
uncal,0.19,0.2737430168,0.6712328767,179
uncal,0.2,0.2716049383,0.602739726,162
uncal,0.21,0.2814814815,0.5205479452,135
uncal,0.22,0.2831858407,0.4383561644,113
uncal,0.23,0.2673267327,0.3698630137,101
uncal,0.24,0.2823529412,0.3287671233,85
uncal,0.25,0.296875,0.2602739726,64
uncal,0.26,0.36,0.2465753425,50
uncal,0.27,0.4,0.1917808219,35
uncal,0.28,0.4230769231,0.1506849315,26
uncal,0.29,0.35,0.09589041096,20
uncal,0.3,0.4166666667,0.06849315068,12
uncal,0.31,0.4285714286,0.04109589041,7
uncal,0.32,0.25,0.01369863014,4
uncal,0.33,0.5,0.01369863014,2
uncal,0.34,0,0,1
uncal,0.35,0,0,0
uncal,0.36,0,0,0
uncal,0.37,0,0,0
uncal,0.38,0,0,0
uncal,0.39,0,0,0
uncal,0.4,0,0,0
uncal,0.41,0,0,0
uncal,0.42,0,0,0
uncal,0.43,0,0,0
uncal,0.44,0,0,0
uncal,0.45,0,0,0
uncal,0.46,0,0,0
uncal,0.47,0,0,0
uncal,0.48,0,0,0
uncal,0.49,0,0,0
uncal,0.5,0,0,0
uncal,0.51,0,0,0
uncal,0.52,0,0,0
uncal,0.53,0,0,0
uncal,0.54,0,0,0
uncal,0.55,0,0,0
uncal,0.56,0,0,0
uncal,0.57,0,0,0
uncal,0.58,0,0,0
