metric,mean,std
uncal_auc,0.6264050321,0.05119243654
platt_auc,0.6264050321,0.05119243654
iso_auc,0.6247187696,0.05251036632
uncal_precision_at_40,0,0
uncal_recall_at_40,0,0
uncal_precision_at_50,0,0
uncal_recall_at_50,0,0
uncal_precision_at_60,0,0
uncal_recall_at_60,0,0
uncal_precision_at_70,0,0
uncal_recall_at_70,0,0
platt_precision_at_40,0.2272727273,0.4359846839
platt_recall_at_40,0.01095890411,0.01786082851
platt_precision_at_50,0.05,0.1118033989
platt_recall_at_50,0.002739726027,0.006126213637
platt_precision_at_60,0,0
platt_recall_at_60,0,0
platt_precision_at_70,0,0
platt_recall_at_70,0,0
iso_precision_at_40,0.09945054945,0.1386804915
iso_recall_at_40,0.04657534247,0.06821862793
iso_precision_at_50,0.06666666667,0.1490711985
iso_recall_at_50,0.002739726027,0.006126213637
iso_precision_at_60,0.06666666667,0.1490711985
iso_recall_at_60,0.002739726027,0.006126213637
iso_precision_at_70,0.06666666667,0.1490711985
iso_recall_at_70,0.002739726027,0.006126213637
