feature,importance_gain,importance_split,origin
swing_low_dist_atr,1710.912624,537,arc_specific
inside_bar_range_atr,1574.019949,577,arc_specific
ret_20bar_atr,1564.156878,499,base
d1_atr_ratio_to_4h,1533.731476,458,D1
d1_ret_5d_atr,1393.986403,459,D1
upper_wick_ratio,1341.666418,497,base
break_close_above_high_atr,1321.725317,512,arc_specific
d1_bars_since_swing_low,1314.031798,497,D1
d1_pos_in_20d_range,1284.161178,467,D1
body_to_range_ratio,1259.548411,464,base
mother_bar_range_atr,1259.247573,475,arc_specific
ib_range_ratio,1240.942573,426,arc_specific
d1_bars_since_swing_high,1228.936288,377,D1
d1_rsi_14,1154.643416,428,D1
range_to_atr_14,1135.374964,410,base
ret_5bar_atr,1119.842211,543,base
break_bar_body_atr,1028.030626,371,arc_specific
lower_wick_ratio,992.5583513,372,base
rsi_14,885.7579559,347,base
pos_in_20bar_range,800.0910214,373,base
most_recent_sl_lag,781.0681144,237,arc_specific
n_swing_lows,449.8142885,143,arc_specific
hour_cos,308.8603591,83,session
hour_sin,254.5254928,83,session
d1_trend_state,132.2165306,36,D1
session_london,124.6949782,46,session
d1_close_above_kijun,6.187237024,4,D1
session_ny_overlap,0,0,session
