pair,signal_ts,signal_date,lookup_date,d1_date_used,days_lag,leak_flag,no_d1_available,is_monday,is_early_hours_utc
AUD_CAD,2024-10-21 00:00:00,2024-10-21,2024-10-20,2024-10-18,3,0,0,1,1
AUD_CAD,2023-06-07 08:00:00,2023-06-07,2023-06-06,2023-06-06,1,0,0,0,0
AUD_CAD,2021-11-12 08:00:00,2021-11-12,2021-11-11,2021-11-11,1,0,0,0,0
AUD_CAD,2022-02-01 12:00:00,2022-02-01,2022-01-31,2022-01-31,1,0,0,0,0
AUD_CAD,2021-05-20 04:00:00,2021-05-20,2021-05-19,2021-05-19,1,0,0,0,0
AUD_CAD,2022-12-21 12:00:00,2022-12-21,2022-12-20,2022-12-20,1,0,0,0,0
AUD_CAD,2025-01-21 00:00:00,2025-01-21,2025-01-20,2025-01-20,1,0,0,0,1
AUD_CAD,2023-03-31 00:00:00,2023-03-31,2023-03-30,2023-03-30,1,0,0,0,1
AUD_CAD,2024-06-18 16:00:00,2024-06-18,2024-06-17,2024-06-17,1,0,0,0,0
AUD_CAD,2021-01-18 00:00:00,2021-01-18,2021-01-17,2021-01-15,3,0,0,1,1
AUD_CAD,2021-01-08 08:00:00,2021-01-08,2021-01-07,2021-01-07,1,0,0,0,0
AUD_CAD,2023-02-24 00:00:00,2023-02-24,2023-02-23,2023-02-23,1,0,0,0,1
AUD_CAD,2021-05-05 00:00:00,2021-05-05,2021-05-04,2021-05-04,1,0,0,0,1
AUD_CAD,2023-10-05 00:00:00,2023-10-05,2023-10-04,2023-10-04,1,0,0,0,1
AUD_CAD,2021-10-12 08:00:00,2021-10-12,2021-10-11,2021-10-11,1,0,0,0,0
AUD_CAD,2025-08-15 08:00:00,2025-08-15,2025-08-14,2025-08-14,1,0,0,0,0
AUD_CAD,2025-06-16 08:00:00,2025-06-16,2025-06-15,2025-06-13,3,0,0,1,0
AUD_CAD,2021-10-15 16:00:00,2021-10-15,2021-10-14,2021-10-14,1,0,0,0,0
AUD_CAD,2022-01-03 08:00:00,2022-01-03,2022-01-02,2021-12-31,3,0,0,1,0
AUD_CAD,2021-03-09 16:00:00,2021-03-09,2021-03-08,2021-03-08,1,0,0,0,0
AUD_CHF,2021-07-12 16:00:00,2021-07-12,2021-07-11,2021-07-09,3,0,0,1,0
AUD_CHF,2021-11-19 00:00:00,2021-11-19,2021-11-18,2021-11-18,1,0,0,0,1
AUD_CHF,2022-07-18 08:00:00,2022-07-18,2022-07-17,2022-07-15,3,0,0,1,0
AUD_CHF,2024-04-23 16:00:00,2024-04-23,2024-04-22,2024-04-22,1,0,0,0,0
AUD_CHF,2022-08-22 00:00:00,2022-08-22,2022-08-21,2022-08-19,3,0,0,1,1
AUD_CHF,2025-07-03 08:00:00,2025-07-03,2025-07-02,2025-07-02,1,0,0,0,0
AUD_CHF,2020-10-09 00:00:00,2020-10-09,2020-10-08,2020-10-08,1,0,0,0,1
AUD_CHF,2021-05-10 08:00:00,2021-05-10,2021-05-09,2021-05-07,3,0,0,1,0
AUD_CHF,2023-12-19 00:00:00,2023-12-19,2023-12-18,2023-12-18,1,0,0,0,1
AUD_CHF,2021-06-17 04:00:00,2021-06-17,2021-06-16,2021-06-16,1,0,0,0,0
AUD_CHF,2024-06-19 00:00:00,2024-06-19,2024-06-18,2024-06-18,1,0,0,0,1
AUD_CHF,2021-01-08 04:00:00,2021-01-08,2021-01-07,2021-01-07,1,0,0,0,0
AUD_CHF,2022-05-06 00:00:00,2022-05-06,2022-05-05,2022-05-05,1,0,0,0,1
AUD_CHF,2022-04-13 16:00:00,2022-04-13,2022-04-12,2022-04-12,1,0,0,0,0
AUD_CHF,2023-10-17 00:00:00,2023-10-17,2023-10-16,2023-10-16,1,0,0,0,1
AUD_CHF,2024-10-17 00:00:00,2024-10-17,2024-10-16,2024-10-16,1,0,0,0,1
AUD_CHF,2023-08-18 16:00:00,2023-08-18,2023-08-17,2023-08-17,1,0,0,0,0
AUD_CHF,2022-08-16 16:00:00,2022-08-16,2022-08-15,2022-08-15,1,0,0,0,0
AUD_CHF,2023-03-28 16:00:00,2023-03-28,2023-03-27,2023-03-27,1,0,0,0,0
AUD_CHF,2022-10-05 20:00:00,2022-10-05,2022-10-04,2022-10-04,1,0,0,0,0
AUD_JPY,2021-04-20 00:00:00,2021-04-20,2021-04-19,2021-04-19,1,0,0,0,1
AUD_JPY,2025-04-09 20:00:00,2025-04-09,2025-04-08,2025-04-08,1,0,0,0,0
AUD_JPY,2022-04-04 16:00:00,2022-04-04,2022-04-03,2022-04-01,3,0,0,1,0
AUD_JPY,2025-06-16 08:00:00,2025-06-16,2025-06-15,2025-06-13,3,0,0,1,0
AUD_JPY,2021-06-16 00:00:00,2021-06-16,2021-06-15,2021-06-15,1,0,0,0,1
AUD_JPY,2022-10-12 04:00:00,2022-10-12,2022-10-11,2022-10-11,1,0,0,0,0
AUD_JPY,2024-08-06 00:00:00,2024-08-06,2024-08-05,2024-08-05,1,0,0,0,1
AUD_JPY,2022-02-01 16:00:00,2022-02-01,2022-01-31,2022-01-31,1,0,0,0,0
AUD_JPY,2021-10-26 00:00:00,2021-10-26,2021-10-25,2021-10-25,1,0,0,0,1
AUD_JPY,2023-09-28 04:00:00,2023-09-28,2023-09-27,2023-09-27,1,0,0,0,0
AUD_JPY,2025-06-09 00:00:00,2025-06-09,2025-06-08,2025-06-06,3,0,0,1,1
AUD_JPY,2021-12-06 16:00:00,2021-12-06,2021-12-05,2021-12-03,3,0,0,1,0
AUD_JPY,2021-11-19 00:00:00,2021-11-19,2021-11-18,2021-11-18,1,0,0,0,1
AUD_JPY,2020-10-08 04:00:00,2020-10-08,2020-10-07,2020-10-07,1,0,0,0,0
AUD_JPY,2023-02-02 08:00:00,2023-02-02,2023-02-01,2023-02-01,1,0,0,0,0
AUD_JPY,2021-07-23 08:00:00,2021-07-23,2021-07-22,2021-07-22,1,0,0,0,0
AUD_JPY,2021-05-28 00:00:00,2021-05-28,2021-05-27,2021-05-27,1,0,0,0,1
AUD_JPY,2021-05-20 04:00:00,2021-05-20,2021-05-19,2021-05-19,1,0,0,0,0
AUD_JPY,2022-05-16 12:00:00,2022-05-16,2022-05-15,2022-05-13,3,0,0,1,0
AUD_JPY,2022-08-03 12:00:00,2022-08-03,2022-08-02,2022-08-02,1,0,0,0,0
AUD_NZD,2024-04-30 00:00:00,2024-04-30,2024-04-29,2024-04-29,1,0,0,0,1
AUD_NZD,2021-08-18 12:00:00,2021-08-18,2021-08-17,2021-08-17,1,0,0,0,0
AUD_NZD,2022-03-10 04:00:00,2022-03-10,2022-03-09,2022-03-09,1,0,0,0,0
AUD_NZD,2025-04-23 00:00:00,2025-04-23,2025-04-22,2025-04-22,1,0,0,0,1
AUD_NZD,2023-08-28 16:00:00,2023-08-28,2023-08-27,2023-08-25,3,0,0,1,0
AUD_NZD,2025-02-10 08:00:00,2025-02-10,2025-02-09,2025-02-07,3,0,0,1,0
AUD_NZD,2022-02-28 00:00:00,2022-02-28,2022-02-27,2022-02-25,3,0,0,1,1
AUD_NZD,2021-03-03 16:00:00,2021-03-03,2021-03-02,2021-03-02,1,0,0,0,0
AUD_NZD,2021-09-20 12:00:00,2021-09-20,2021-09-19,2021-09-17,3,0,0,1,0
AUD_NZD,2023-04-12 04:00:00,2023-04-12,2023-04-11,2023-04-11,1,0,0,0,0
AUD_NZD,2020-11-04 12:00:00,2020-11-04,2020-11-03,2020-11-03,1,0,0,0,0
AUD_NZD,2022-10-25 00:00:00,2022-10-25,2022-10-24,2022-10-24,1,0,0,0,1
AUD_NZD,2021-02-17 00:00:00,2021-02-17,2021-02-16,2021-02-16,1,0,0,0,1
AUD_NZD,2024-10-01 12:00:00,2024-10-01,2024-09-30,2024-09-30,1,0,0,0,0
AUD_NZD,2021-05-03 08:00:00,2021-05-03,2021-05-02,2021-04-30,3,0,0,1,0
AUD_NZD,2024-12-02 00:00:00,2024-12-02,2024-12-01,2024-11-29,3,0,0,1,1
AUD_NZD,2023-09-06 16:00:00,2023-09-06,2023-09-05,2023-09-05,1,0,0,0,0
AUD_NZD,2022-03-17 08:00:00,2022-03-17,2022-03-16,2022-03-16,1,0,0,0,0
AUD_NZD,2022-08-19 00:00:00,2022-08-19,2022-08-18,2022-08-18,1,0,0,0,1
AUD_NZD,2024-02-15 08:00:00,2024-02-15,2024-02-14,2024-02-14,1,0,0,0,0
AUD_USD,2025-06-26 16:00:00,2025-06-26,2025-06-25,2025-06-25,1,0,0,0,0
AUD_USD,2021-01-21 00:00:00,2021-01-21,2021-01-20,2021-01-20,1,0,0,0,1
AUD_USD,2024-12-20 16:00:00,2024-12-20,2024-12-19,2024-12-19,1,0,0,0,0
