scheme,fold,train_idx_min,train_idx_max,test_idx_min,test_idx_max,train_date_min,train_date_max,test_date_min,test_date_max,overlap,oos_start,oos_end,n_train,n_oos,overlap_train_into_oos
TimeSeriesSplit(5),1,0,362,363,720,2020-10-08,2021-07-16,2021-07-16,2022-05-16,0,,,,,
TimeSeriesSplit(5),2,0,720,721,1078,2020-10-08,2022-05-16,2022-05-16,2023-03-15,0,,,,,
TimeSeriesSplit(5),3,0,1078,1079,1436,2020-10-08,2023-03-15,2023-03-16,2024-02-16,0,,,,,
TimeSeriesSplit(5),4,0,1436,1437,1794,2020-10-08,2024-02-16,2024-02-16,2025-01-14,0,,,,,
TimeSeriesSplit(5),5,0,1794,1795,2152,2020-10-08,2025-01-14,2025-01-15,2025-12-31,0,,,,,
KH-24 anchored expanding (Step 5),1,,,,,,—,,,,2020-10-01,2021-07-01,0,336,0
KH-24 anchored expanding (Step 5),2,,,,,,2021-06-30,,,,2021-07-01,2022-04-01,336,324,0
KH-24 anchored expanding (Step 5),3,,,,,,2022-03-31,,,,2022-04-01,2023-01-01,660,335,0
KH-24 anchored expanding (Step 5),4,,,,,,2022-12-30,,,,2023-01-01,2023-10-01,995,297,0
KH-24 anchored expanding (Step 5),5,,,,,,2023-09-29,,,,2023-10-01,2024-07-01,1292,277,0
KH-24 anchored expanding (Step 5),6,,,,,,2024-06-26,,,,2024-07-01,2025-04-01,1569,295,0
KH-24 anchored expanding (Step 5),7,,,,,,2025-03-31,,,,2025-04-01,2026-01-01,1864,289,0
