cell,fold,auc
rf_baseline_16,1,0.621954191
rf_baseline_16,2,0.4953703704
rf_baseline_16,3,0.5566235249
rf_baseline_16,4,0.4473123732
rf_baseline_16,5,0.4579154634
rf_baseline_16,mean,0.5158351846
rf_baseline_16,std,0.07313311603
rf_expanded_28,1,0.8692738791
rf_expanded_28,2,0.7611476608
rf_expanded_28,3,0.7242101256
rf_expanded_28,4,0.7449290061
rf_expanded_28,5,0.7797847204
rf_expanded_28,mean,0.7758690784
rf_expanded_28,std,0.05608574834
lgbm_baseline_16,1,0.5944809942
lgbm_baseline_16,2,0.5140107212
lgbm_baseline_16,3,0.5005709935
lgbm_baseline_16,4,0.4640973631
lgbm_baseline_16,5,0.5500131268
lgbm_baseline_16,mean,0.5246346398
lgbm_baseline_16,std,0.04969725699
lgbm_expanded_28,1,0.8483796296
lgbm_expanded_28,2,0.735745614
lgbm_expanded_28,3,0.7172630377
lgbm_expanded_28,4,0.7144016227
lgbm_expanded_28,5,0.7380414807
lgbm_expanded_28,mean,0.750766277
lgbm_expanded_28,std,0.05558948303
