threshold,precision,recall,n_admitted
0,0.1759776536,1,1790
0.01,0.2753623188,0.7841269841,897
0.02,0.2921052632,0.7047619048,760
0.03,0.3124087591,0.6793650794,685
0.04,0.3290734824,0.653968254,626
0.05,0.3373702422,0.619047619,578
0.06,0.3450184502,0.5936507937,542
0.07,0.3581213307,0.580952381,511
0.08,0.3649484536,0.5619047619,485
0.09,0.3733905579,0.5523809524,466
0.1,0.3777777778,0.5396825397,450
0.11,0.3835616438,0.5333333333,438
0.12,0.3862559242,0.5174603175,422
0.13,0.391198044,0.5079365079,409
0.14,0.3980099502,0.5079365079,402
0.15,0.4040920716,0.5015873016,391
0.16,0.4059139785,0.4793650794,372
0.17,0.4099722992,0.4698412698,361
0.18,0.4145658263,0.4698412698,357
0.19,0.4171428571,0.4634920635,350
0.2,0.418128655,0.453968254,342
0.21,0.4196428571,0.4476190476,336
0.22,0.4194528875,0.4380952381,329
0.23,0.429022082,0.4317460317,317
0.24,0.4336569579,0.4253968254,309
0.25,0.4342105263,0.419047619,304
0.26,0.4395973154,0.4158730159,298
0.27,0.4436860068,0.4126984127,293
0.28,0.4526315789,0.4095238095,285
0.29,0.4568345324,0.4031746032,278
0.3,0.4632352941,0.4,272
0.31,0.4696969697,0.3936507937,264
0.32,0.4671814672,0.3841269841,259
0.33,0.4651162791,0.380952381,258
0.34,0.4642857143,0.3714285714,252
0.35,0.4674796748,0.3650793651,246
0.36,0.4710743802,0.3619047619,242
0.37,0.4666666667,0.3555555556,240
0.38,0.4641350211,0.3492063492,237
0.39,0.4692982456,0.3396825397,228
0.4,0.4692982456,0.3396825397,228
0.41,0.4642857143,0.3301587302,224
0.42,0.4724770642,0.326984127,218
0.43,0.4719626168,0.3206349206,214
0.44,0.4716981132,0.3174603175,212
0.45,0.4830917874,0.3174603175,207
0.46,0.4900990099,0.3142857143,202
0.47,0.4873096447,0.3047619048,197
0.48,0.4974093264,0.3047619048,193
0.49,0.4973262032,0.2952380952,187
0.5,0.5027027027,0.2952380952,185
0.51,0.5081967213,0.2952380952,183
0.52,0.510989011,0.2952380952,182
0.53,0.5166666667,0.2952380952,180
0.54,0.5170454545,0.2888888889,176
0.55,0.5174418605,0.2825396825,172
0.56,0.5176470588,0.2793650794,170
0.57,0.5207100592,0.2793650794,169
0.58,0.5243902439,0.273015873,164
0.59,0.5341614907,0.273015873,161
0.6,0.5384615385,0.2666666667,156
0.61,0.5424836601,0.2634920635,153
0.62,0.54,0.2571428571,150
0.63,0.5410958904,0.2507936508,146
0.64,0.5422535211,0.2444444444,142
0.65,0.5367647059,0.2317460317,136
0.66,0.5378787879,0.2253968254,132
0.67,0.5271317829,0.2158730159,129
0.68,0.528,0.2095238095,125
0.69,0.5333333333,0.2031746032,120
0.7,0.5294117647,0.2,119
0.71,0.5338983051,0.2,118
0.72,0.5350877193,0.1936507937,114
0.73,0.5272727273,0.1841269841,110
0.74,0.5229357798,0.180952381,109
0.75,0.5196078431,0.1682539683,102
0.76,0.5151515152,0.1619047619,99
0.77,0.5106382979,0.1523809524,94
0.78,0.5054945055,0.146031746,91
0.79,0.5,0.1428571429,90
0.8,0.5057471264,0.1396825397,87
0.81,0.5060240964,0.1333333333,83
0.82,0.5,0.1206349206,76
0.83,0.5138888889,0.1174603175,72
0.84,0.5285714286,0.1174603175,70
0.85,0.5151515152,0.1079365079,66
0.86,0.5,0.1015873016,64
0.87,0.5,0.09523809524,60
0.88,0.5084745763,0.09523809524,59
0.89,0.5090909091,0.08888888889,55
0.9,0.5384615385,0.08888888889,52
0.91,0.54,0.08571428571,50
0.92,0.5319148936,0.07936507937,47
0.93,0.5454545455,0.07619047619,44
0.94,0.5714285714,0.07619047619,42
0.95,0.5625,0.05714285714,32
0.96,0.5454545455,0.0380952381,22
0.97,0.5833333333,0.02222222222,12
0.98,0.6,0.01904761905,10
0.99,0.5,0.006349206349,4
1,0,0,0
