trade_id,fold,prob
342,2,0.7355621657
350,2,0.5122850321
351,2,0.6413641022
363,2,0.7922769064
374,2,0.614777237
375,2,0.4359936354
391,2,0.8279226097
402,2,0.7127567216
408,2,0.9653452505
410,2,0.9336685086
411,2,0.9654885342
412,2,0.9543363364
415,2,0.9859940992
417,2,0.725605726
442,2,0.9517903063
444,2,0.9929714118
452,2,0.6622449546
460,2,0.5677502893
471,2,0.6897689209
481,2,0.6298133967
486,2,0.8975096036
490,2,0.4894337068
514,2,0.9238294364
532,2,0.8507627207
533,2,0.7822589607
534,2,0.8874031317
535,2,0.5710725305
537,2,0.5053355201
538,2,0.9807756111
541,2,0.8499726358
544,2,0.9003768092
545,2,0.7542552467
550,2,0.8351646879
569,2,0.7635507468
586,2,0.8845890217
588,2,0.9933841421
589,2,0.6762609712
590,2,0.4222154795
592,2,0.5088215444
601,2,0.9407177123
605,2,0.5401900107
609,2,0.8517363498
624,2,0.8333409394
632,2,0.6690338472
633,2,0.4991261408
634,2,0.6945437784
639,2,0.5101616804
644,2,0.9199597641
651,2,0.6492289452
657,2,0.5724109887
668,3,0.6295063941
693,3,0.9247190832
696,3,0.470055419
704,3,0.9112626971
714,3,0.497515252
716,3,0.9565907463
720,3,0.7926069083
723,3,0.8104162253
725,3,0.7535238244
790,3,0.9158218
791,3,0.5100451708
794,3,0.9468541304
805,3,0.935294308
823,3,0.5484223481
861,3,0.4874681878
870,3,0.9289940092
877,3,0.6486081476
879,3,0.9354868311
887,3,0.9238449859
951,3,0.9795720284
952,3,0.8030256723
971,3,0.5057178311
974,3,0.7099286705
977,3,0.9767375031
996,4,0.9954200572
1002,4,0.7477458957
1014,4,0.8085657516
1018,4,0.680571201
1022,4,0.5293962801
1025,4,0.9455208554
1075,4,0.4614228337
1078,4,0.7449148619
1081,4,0.8678239218
1092,4,0.4150030599
1097,4,0.7505029535
1100,4,0.5302119788
1119,4,0.4211701869
1130,4,0.9328142893
1169,4,0.6669508886
1177,4,0.9819135819
1181,4,0.8767579587
1182,4,0.6618097498
1187,4,0.6307359411
1198,4,0.5434486081
1206,4,0.4054194676
1208,4,0.9890937093
1211,4,0.9959874828
1216,4,0.8823412729
1224,4,0.7486122
1232,4,0.5158819091
1233,4,0.4247779499
1240,4,0.9835182926
1252,4,0.9100096889
1256,4,0.9231912419
1262,4,0.7179150713
1288,4,0.9128435221
1295,5,0.4151024803
1297,5,0.9009168763
1299,5,0.742384032
1302,5,0.7338136277
1303,5,0.949987385
1315,5,0.5524418613
1328,5,0.9833075049
1333,5,0.5616476017
1355,5,0.9272254535
1356,5,0.9967604336
1362,5,0.5259861722
1366,5,0.937040084
1367,5,0.5028026474
1369,5,0.8181745078
1375,5,0.7811795603
1379,5,0.7668340496
1384,5,0.4078260994
1386,5,0.5486524594
1391,5,0.9194843201
1392,5,0.8867808298
1395,5,0.956667913
1396,5,0.7639410202
1408,5,0.6954535283
1410,5,0.8646877652
1433,5,0.929714015
1453,5,0.5640787566
1457,5,0.9665046605
1475,5,0.9651615495
1476,5,0.9768740237
1493,5,0.9033428112
1494,5,0.44688293
1495,5,0.6535394931
1522,5,0.8255737484
1525,5,0.5265279183
1530,5,0.5313807251
1533,5,0.5021054634
1547,5,0.9210681863
1554,5,0.7988351735
1558,5,0.8288671802
1596,6,0.4677352597
1608,6,0.4011394331
1611,6,0.8780419899
1612,6,0.7274093699
1613,6,0.423852005
1614,6,0.8974218784
1615,6,0.9225208673
1617,6,0.6472180969
1618,6,0.9876147586
1619,6,0.8996576913
1622,6,0.8299395385
1623,6,0.8311917707
1624,6,0.86333282
1626,6,0.8680437074
1629,6,0.5379593798
1631,6,0.9532890374
1632,6,0.6964513717
1633,6,0.776144261
1634,6,0.482908456
1642,6,0.8413759488
1655,6,0.8558945396
1686,6,0.6690485072
1707,6,0.8105360033
1710,6,0.4664952313
1722,6,0.4793150458
1725,6,0.6969091417
1726,6,0.4499099795
1731,6,0.9736521663
1742,6,0.7217156472
1780,6,0.5521405109
1794,6,0.4696754502
1798,6,0.9842514306
1800,6,0.5591368483
1810,6,0.4652628122
1818,6,0.626796722
1819,6,0.963007493
1820,6,0.9265952308
1821,6,0.9493242549
1826,6,0.7814659097
1829,6,0.9527046349
1836,6,0.4118090189
1850,6,0.5818996089
1852,6,0.823687906
1856,6,0.4603829151
1875,7,0.8236703945
1883,7,0.8464536633
1884,7,0.727466931
1887,7,0.5702090046
1896,7,0.4393145711
1903,7,0.6879691494
1913,7,0.6851748273
1945,7,0.5133385557
1958,7,0.6840288873
1964,7,0.7821527172
1972,7,0.7537909961
1991,7,0.7414417758
1992,7,0.8139970397
1995,7,0.499229276
1996,7,0.7144422212
2000,7,0.5131186277
2011,7,0.953970733
2013,7,0.5539595576
2018,7,0.4589103099
2022,7,0.6190657004
2023,7,0.9055914923
2025,7,0.6788372609
2026,7,0.6470496553
2033,7,0.9595594099
2037,7,0.7930611716
2042,7,0.9453341613
2044,7,0.8277514096
2050,7,0.4016125334
2052,7,0.9942932916
2053,7,0.8329708888
2062,7,0.8688952578
2070,7,0.9140095001
2071,7,0.5520144089
2072,7,0.9846644674
2073,7,0.7889411156
2077,7,0.4075829473
2081,7,0.5499831494
2095,7,0.5116973196
2100,7,0.4648077281
2101,7,0.5458996273
2105,7,0.5017475719
2113,7,0.9366266912
2120,7,0.4954666173
2126,7,0.9531180713
2132,7,0.4480297586
2137,7,0.872380584
2139,7,0.4271158707
