trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold,classifier_prob
341,NZD_CAD,2021-07-06 04:00:00,2021-07-06 08:00:00,2021-07-13 12:00:00,stoploss,32,0,-1.021217989,0.7451757795,-1.256104959,3.4,2.5,2,0.1139228345
342,CAD_CHF,2021-07-07 08:00:00,2021-07-07 12:00:00,2021-07-08 08:00:00,stoploss,6,0,-1.023622873,0.565705639,-3.012537941,1.5,1.9,2,0.7355621657
345,GBP_CAD,2021-07-07 16:00:00,2021-07-07 20:00:00,2021-07-08 16:00:00,trail_stop,6,1,0.2663699012,1.224287731,-0.2712430578,2.8,2.8,2,0.1635542707
346,EUR_AUD,2021-07-08 00:00:00,2021-07-08 04:00:00,2021-07-09 12:00:00,trail_stop,9,1,1.141639821,2.162521737,-0.0464692826,2.4,2.4,2,0.07893097259
347,EUR_NZD,2021-07-08 00:00:00,2021-07-08 04:00:00,2021-07-09 20:00:00,trail_stop,11,1,0.8502947834,1.9574049,-0.03705116001,3.8,3.8,2,0.06063833404
350,EUR_JPY,2021-07-09 00:00:00,2021-07-09 04:00:00,2021-07-13 12:00:00,trail_stop,15,1,0.6833325919,1.57394939,-0.2732440058,1,1,2,0.5122850321
351,AUD_CAD,2021-07-09 08:00:00,2021-07-09 12:00:00,2021-07-15 16:00:00,trail_stop,26,1,0.1950195318,1.246466159,-0.4015811476,1.9,1.9,2,0.6413641022
352,GBP_JPY,2021-07-09 08:00:00,2021-07-09 12:00:00,2021-07-13 12:00:00,trail_stop,13,1,1.018312207,1.855380334,-0.0943238047,2.4,2.4,2,0.1932452384
355,AUD_JPY,2021-07-13 00:00:00,2021-07-13 04:00:00,2021-07-15 04:00:00,stoploss,13,0,-1.006854501,0.217059211,-1.217816416,0.9,0.9,2,0.14070861
363,EUR_GBP,2021-07-15 20:00:00,2021-07-16 00:00:00,2021-07-21 12:00:00,trail_stop,22,1,2.42349005,3.436413833,-0.397014911,0.8,0.8,2,0.7922769064
370,CHF_JPY,2021-07-21 08:00:00,2021-07-21 12:00:00,2021-07-22 16:00:00,trail_stop,8,1,0.1916253863,1.157814888,-0.3026653027,2.2,2.2,2,0.2689652091
371,EUR_JPY,2021-07-21 08:00:00,2021-07-21 12:00:00,2021-08-02 16:00:00,trail_stop,50,1,0.2943222118,1.23224283,-0.3141573687,1,1,2,0.2631327186
374,EUR_CAD,2021-07-22 00:00:00,2021-07-22 04:00:00,2021-08-10 08:00:00,stoploss,80,0,-1.009437763,0.9710409743,-1.038153957,1.8,1.8,2,0.614777237
375,GBP_NZD,2021-07-22 00:00:00,2021-07-22 04:00:00,2021-07-29 16:00:00,trail_stop,34,1,1.811459373,2.97094166,-0.3767556323,10,4.8,2,0.4359936354
